Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
122,52.0,52.0,56.0,51.0,51.0,47.0,52.0,49.0,49.0,49.0
123,60.0,60.0,60.0,52.0,52.0,49.0,55.0,53.0,53.0,53.0
124,54.0,54.0,59.0,53.0,53.0,54.0,56.0,50.0,54.0,50.0
125,54.0,54.0,55.0,50.0,50.0,51.0,54.0,53.0,53.0,53.0
126,61.0,61.0,61.0,53.0,53.0,50.0,56.0,53.0,53.0,53.0
127,55.0,55.0,60.0,51.0,51.0,51.0,54.0,50.0,54.0,50.0
128,55.0,55.0,56.0,51.0,51.0,52.0,55.0,50.0,50.0,50.0
129,59.0,59.0,59.0,52.0,51.0,49.0,59.0,53.0,53.0,53.0
130,53.0,53.0,58.0,53.0,52.0,53.0,58.0,54.0,54.0,54.0
131,53.0,53.0,54.0,50.0,49.0,50.0,53.0,53.0,53.0,53.0
132,60.0,60.0,60.0,53.0,52.0,50.0,60.0,54.0,54.0,54.0
133,54.0,54.0,59.0,54.0,53.0,50.0,59.0,55.0,55.0,55.0
134,54.0,54.0,55.0,51.0,50.0,51.0,54.0,54.0,54.0,54.0
135,55.0,55.0,55.0,54.0,53.0,45.0,56.0,54.0,54.0,53.0
136,50.0,50.0,54.0,51.0,52.0,46.0,54.0,51.0,55.0,50.0
137,50.0,50.0,54.0,52.0,51.0,46.0,54.0,50.0,50.0,50.0
138,53.0,53.0,53.0,50.0,50.0,49.0,50.0,48.0,48.0,50.0
139,45.0,45.0,47.0,43.0,43.0,41.0,51.0,43.0,43.0,47.0
140,48.0,48.0,48.0,45.0,45.0,44.0,51.0,44.0,44.0,48.0
141,53.0,53.0,53.0,50.0,49.0,49.0,55.0,48.0,52.0,51.0
142,53.0,53.0,53.0,50.0,49.0,50.0,52.0,50.0,50.0,50.0
143,54.0,54.0,54.0,50.0,50.0,49.0,52.0,50.0,50.0,50.0
144,53.0,53.0,54.0,51.0,50.0,49.0,56.0,49.0,49.0,49.0
145,54.0,54.0,54.0,51.0,50.0,51.0,50.0,51.0,51.0,50.0
146,55.0,55.0,55.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0
147,52.0,53.0,52.0,49.0,48.0,48.0,54.0,47.0,51.0,50.0
148,52.0,52.0,58.0,49.0,48.0,52.0,53.0,49.0,49.0,49.0
149,53.0,53.0,53.0,49.0,49.0,53.0,53.0,49.0,50.0,49.0
150,53.0,53.0,53.0,50.0,49.0,49.0,55.0,48.0,52.0,48.0
151,53.0,53.0,59.0,50.0,49.0,53.0,54.0,50.0,50.0,49.0
152,54.0,54.0,54.0,50.0,50.0,54.0,54.0,50.0,50.0,50.0
153,53.0,53.0,54.0,48.0,48.0,49.0,53.0,48.0,49.0,48.0
154,54.0,54.0,60.0,46.0,46.0,51.0,54.0,46.0,47.0,46.0
155,55.0,55.0,55.0,51.0,50.0,50.0,50.0,51.0,51.0,50.0
156,51.0,52.0,51.0,48.0,47.0,47.0,53.0,47.0,51.0,49.0
157,52.0,52.0,57.0,48.0,48.0,51.0,57.0,48.0,48.0,48.0
158,52.0,52.0,52.0,48.0,48.0,52.0,52.0,48.0,49.0,48.0
159,52.0,53.0,52.0,49.0,48.0,48.0,54.0,48.0,52.0,47.0
160,53.0,53.0,58.0,49.0,49.0,52.0,58.0,49.0,49.0,49.0
161,53.0,53.0,53.0,49.0,49.0,53.0,53.0,49.0,49.0,49.0
162,53.0,53.0,53.0,47.0,48.0,49.0,53.0,49.0,49.0,48.0
163,54.0,54.0,59.0,49.0,50.0,50.0,59.0,48.0,48.0,50.0
164,54.0,54.0,54.0,50.0,49.0,50.0,54.0,50.0,50.0,49.0
165,48.0,48.0,52.0,48.0,49.0,44.0,53.0,48.0,48.0,49.0
166,48.0,48.0,53.0,45.0,51.0,44.0,54.0,45.0,47.0,51.0
167,49.0,49.0,49.0,46.0,45.0,44.0,50.0,46.0,46.0,45.0
