Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
66,48.0,49.0,47.0,47.0,47.0,47.0,47.0,45.0,45.0,45.0,47.0,45.0,45.0,44.0,49.0
67,49.0,51.0,49.0,49.0,49.0,49.0,49.0,46.0,46.0,46.0,48.0,51.0,51.0,46.0,51.0
68,49.0,55.0,48.0,48.0,48.0,48.0,53.0,47.0,47.0,47.0,49.0,51.0,46.0,48.0,55.0
69,48.0,48.0,47.0,51.0,48.0,46.0,46.0,45.0,45.0,46.0,48.0,45.0,46.0,45.0,48.0
70,49.0,55.0,48.0,48.0,48.0,48.0,53.0,46.0,46.0,46.0,48.0,51.0,46.0,47.0,55.0
71,54.0,50.0,48.0,48.0,54.0,48.0,48.0,47.0,47.0,47.0,49.0,46.0,48.0,48.0,50.0
72,48.0,48.0,46.0,50.0,47.0,46.0,46.0,45.0,45.0,45.0,47.0,48.0,48.0,44.0,48.0
73,49.0,54.0,48.0,48.0,48.0,48.0,52.0,46.0,46.0,46.0,48.0,50.0,50.0,47.0,54.0
74,54.0,50.0,48.0,48.0,53.0,48.0,48.0,47.0,47.0,47.0,49.0,46.0,47.0,47.0,50.0
75,47.0,48.0,46.0,46.0,47.0,46.0,46.0,44.0,44.0,44.0,46.0,49.0,49.0,44.0,48.0
76,49.0,51.0,49.0,49.0,49.0,49.0,49.0,46.0,46.0,46.0,48.0,51.0,51.0,46.0,51.0
77,49.0,50.0,48.0,48.0,49.0,48.0,48.0,46.0,46.0,46.0,48.0,46.0,46.0,46.0,50.0
78,42.0,46.0,41.0,41.0,41.0,41.0,41.0,44.0,44.0,44.0,46.0,46.0,46.0,43.0,47.0
79,43.0,48.0,43.0,43.0,43.0,43.0,43.0,45.0,45.0,45.0,47.0,47.0,47.0,44.0,48.0
80,43.0,52.0,42.0,42.0,42.0,42.0,47.0,47.0,47.0,47.0,49.0,47.0,47.0,45.0,50.0
81,42.0,45.0,41.0,45.0,42.0,40.0,40.0,44.0,44.0,44.0,46.0,44.0,44.0,42.0,48.0
82,43.0,52.0,42.0,42.0,42.0,42.0,47.0,47.0,47.0,47.0,49.0,45.0,45.0,43.0,50.0
83,48.0,48.0,42.0,42.0,48.0,42.0,46.0,47.0,47.0,47.0,49.0,45.0,45.0,43.0,49.0
84,42.0,45.0,40.0,44.0,41.0,40.0,40.0,44.0,44.0,44.0,46.0,44.0,44.0,41.0,47.0
85,43.0,51.0,42.0,42.0,42.0,42.0,46.0,46.0,46.0,46.0,48.0,45.0,45.0,43.0,49.0
86,48.0,48.0,43.0,42.0,47.0,42.0,46.0,46.0,46.0,46.0,48.0,44.0,45.0,46.0,49.0
87,41.0,45.0,40.0,40.0,41.0,40.0,40.0,44.0,44.0,44.0,46.0,44.0,44.0,42.0,47.0
88,43.0,48.0,43.0,43.0,43.0,43.0,43.0,45.0,45.0,45.0,47.0,46.0,46.0,44.0,48.0
89,45.0,48.0,44.0,42.0,44.0,42.0,46.0,47.0,47.0,47.0,49.0,45.0,46.0,47.0,49.0
90,41.0,43.0,39.0,43.0,40.0,39.0,41.0,45.0,45.0,45.0,47.0,44.0,42.0,42.0,47.0
91,43.0,48.0,42.0,42.0,42.0,42.0,46.0,47.0,47.0,47.0,49.0,45.0,45.0,43.0,48.0
92,45.0,44.0,44.0,41.0,45.0,41.0,42.0,47.0,47.0,47.0,49.0,45.0,45.0,47.0,49.0
93,41.0,42.0,39.0,44.0,40.0,39.0,40.0,44.0,44.0,46.0,48.0,43.0,43.0,42.0,47.0
94,44.0,48.0,43.0,46.0,43.0,42.0,46.0,47.0,47.0,47.0,49.0,44.0,45.0,46.0,48.0
95,45.0,43.0,44.0,45.0,46.0,41.0,41.0,47.0,47.0,47.0,49.0,45.0,45.0,47.0,48.0
96,41.0,42.0,39.0,43.0,40.0,39.0,40.0,45.0,45.0,45.0,47.0,43.0,42.0,42.0,47.0
97,45.0,48.0,44.0,47.0,44.0,42.0,46.0,47.0,47.0,47.0,49.0,44.0,44.0,47.0,49.0
98,45.0,44.0,44.0,46.0,45.0,41.0,42.0,47.0,47.0,47.0,49.0,45.0,45.0,47.0,49.0
99,40.0,41.0,38.0,43.0,39.0,38.0,39.0,44.0,44.0,45.0,47.0,42.0,42.0,41.0,46.0
100,43.0,46.0,42.0,45.0,42.0,42.0,44.0,46.0,46.0,46.0,48.0,44.0,44.0,45.0,47.0
101,44.0,43.0,43.0,44.0,45.0,41.0,41.0,46.0,46.0,46.0,48.0,47.0,47.0,46.0,47.0
102,40.0,41.0,38.0,42.0,40.0,38.0,39.0,44.0,44.0,44.0,46.0,43.0,43.0,41.0,46.0
103,44.0,47.0,43.0,46.0,43.0,42.0,45.0,46.0,46.0,46.0,48.0,44.0,44.0,46.0,48.0
104,45.0,43.0,43.0,45.0,46.0,41.0,41.0,46.0,46.0,46.0,48.0,48.0,48.0,46.0,48.0
105,40.0,41.0,38.0,38.0,39.0,38.0,39.0,44.0,44.0,44.0,46.0,44.0,44.0,41.0,44.0
106,43.0,44.0,41.0,42.0,43.0,42.0,42.0,45.0,45.0,45.0,47.0,45.0,45.0,43.0,45.0
107,42.0,44.0,40.0,41.0,42.0,41.0,42.0,46.0,46.0,46.0,48.0,49.0,49.0,43.0,49.0
108,34.0,40.0,33.0,33.0,33.0,33.0,33.0,41.0,41.0,41.0,43.0,39.0,39.0,36.0,44.0
109,35.0,42.0,35.0,35.0,35.0,35.0,35.0,42.0,42.0,42.0,44.0,46.0,46.0,37.0,45.0
110,35.0,46.0,35.0,35.0,37.0,35.0,39.0,43.0,43.0,43.0,46.0,45.0,41.0,38.0,49.0
111,34.0,39.0,33.0,37.0,34.0,32.0,32.0,42.0,42.0,42.0,43.0,39.0,39.0,35.0,43.0
112,35.0,46.0,34.0,34.0,37.0,34.0,39.0,43.0,43.0,43.0,46.0,46.0,45.0,36.0,49.0
113,40.0,45.0,34.0,34.0,40.0,34.0,38.0,43.0,43.0,43.0,46.0,43.0,44.0,36.0,49.0
114,34.0,39.0,32.0,36.0,33.0,32.0,32.0,41.0,41.0,41.0,43.0,38.0,38.0,34.0,43.0
115,35.0,45.0,34.0,34.0,36.0,34.0,38.0,42.0,42.0,42.0,45.0,45.0,44.0,36.0,48.0
116,40.0,45.0,36.0,34.0,39.0,34.0,38.0,45.0,45.0,45.0,45.0,42.0,43.0,39.0,49.0
117,33.0,39.0,32.0,32.0,33.0,32.0,32.0,41.0,41.0,41.0,43.0,39.0,39.0,35.0,44.0
118,35.0,42.0,35.0,35.0,35.0,35.0,35.0,42.0,42.0,42.0,44.0,46.0,45.0,37.0,45.0
119,38.0,45.0,37.0,34.0,37.0,34.0,38.0,46.0,46.0,46.0,46.0,43.0,43.0,40.0,49.0
120,34.0,40.0,32.0,36.0,33.0,32.0,33.0,42.0,42.0,42.0,44.0,39.0,38.0,35.0,44.0
121,35.0,45.0,34.0,34.0,34.0,34.0,38.0,43.0,43.0,43.0,46.0,43.0,44.0,36.0,49.0
122,38.0,41.0,37.0,34.0,38.0,34.0,37.0,46.0,46.0,46.0,46.0,44.0,43.0,40.0,45.0
123,34.0,39.0,32.0,37.0,33.0,32.0,32.0,41.0,41.0,41.0,45.0,38.0,39.0,35.0,43.0
124,37.0,45.0,36.0,38.0,36.0,34.0,38.0,45.0,45.0,45.0,46.0,45.0,45.0,39.0,49.0
125,38.0,40.0,37.0,38.0,39.0,34.0,37.0,46.0,46.0,46.0,46.0,44.0,44.0,40.0,44.0
126,34.0,39.0,32.0,36.0,33.0,32.0,32.0,42.0,42.0,42.0,44.0,39.0,39.0,35.0,43.0
127,38.0,45.0,37.0,39.0,37.0,34.0,38.0,46.0,46.0,46.0,46.0,45.0,44.0,40.0,49.0
128,38.0,41.0,37.0,39.0,38.0,34.0,37.0,46.0,46.0,46.0,46.0,44.0,44.0,40.0,45.0
129,33.0,38.0,31.0,36.0,32.0,31.0,31.0,40.0,40.0,40.0,44.0,37.0,39.0,34.0,42.0
