Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
107,55.0,55.0,55.0,55.0,56.0,58.0,55.0,56.0,55.0,55.0,54.0
108,52.0,48.0,49.0,49.0,48.0,52.0,47.0,48.0,47.0,49.0,47.0
109,52.0,49.0,47.0,47.0,49.0,52.0,47.0,50.0,47.0,49.0,47.0
110,49.0,49.0,47.0,47.0,49.0,52.0,45.0,51.0,45.0,49.0,45.0
111,56.0,52.0,52.0,49.0,52.0,56.0,47.0,54.0,47.0,49.0,47.0
112,58.0,55.0,52.0,53.0,54.0,58.0,47.0,58.0,48.0,49.0,47.0
113,56.0,55.0,53.0,53.0,54.0,56.0,47.0,55.0,48.0,49.0,48.0
114,55.0,52.0,53.0,48.0,52.0,56.0,48.0,54.0,47.0,49.0,48.0
115,57.0,54.0,54.0,54.0,54.0,57.0,52.0,57.0,53.0,55.0,53.0
116,55.0,54.0,58.0,53.0,54.0,58.0,53.0,57.0,53.0,55.0,53.0
117,53.0,49.0,49.0,49.0,50.0,53.0,49.0,50.0,48.0,50.0,48.0
118,58.0,55.0,54.0,54.0,55.0,58.0,53.0,53.0,54.0,56.0,54.0
119,55.0,55.0,54.0,54.0,55.0,58.0,54.0,55.0,54.0,56.0,54.0
120,55.0,55.0,52.0,50.0,55.0,55.0,47.0,55.0,48.0,50.0,47.0
121,56.0,56.0,53.0,54.0,55.0,56.0,48.0,56.0,55.0,53.0,48.0
122,57.0,56.0,53.0,53.0,55.0,58.0,47.0,56.0,54.0,53.0,49.0
123,58.0,54.0,53.0,53.0,54.0,58.0,48.0,55.0,49.0,55.0,48.0
124,59.0,56.0,58.0,54.0,55.0,59.0,53.0,57.0,54.0,55.0,53.0
125,60.0,56.0,58.0,58.0,55.0,60.0,53.0,60.0,54.0,54.0,54.0
126,58.0,53.0,53.0,49.0,54.0,58.0,49.0,55.0,48.0,50.0,48.0
127,60.0,56.0,54.0,54.0,56.0,60.0,54.0,58.0,54.0,56.0,54.0
128,60.0,56.0,58.0,54.0,56.0,60.0,54.0,60.0,54.0,55.0,54.0
129,57.0,53.0,54.0,53.0,53.0,57.0,48.0,55.0,48.0,54.0,48.0
130,58.0,57.0,57.0,53.0,57.0,58.0,52.0,56.0,53.0,54.0,53.0
131,59.0,57.0,59.0,58.0,57.0,61.0,53.0,60.0,53.0,53.0,54.0
132,57.0,53.0,53.0,48.0,54.0,57.0,49.0,55.0,48.0,49.0,48.0
133,59.0,58.0,54.0,54.0,58.0,59.0,53.0,57.0,54.0,55.0,54.0
134,59.0,58.0,58.0,53.0,58.0,59.0,54.0,59.0,54.0,54.0,54.0
135,54.0,50.0,48.0,48.0,50.0,54.0,48.0,50.0,48.0,50.0,48.0
136,58.0,55.0,54.0,54.0,56.0,58.0,53.0,53.0,54.0,56.0,54.0
137,56.0,55.0,54.0,54.0,56.0,59.0,53.0,56.0,53.0,54.0,52.0
138,56.0,56.0,52.0,51.0,56.0,56.0,47.0,55.0,49.0,49.0,47.0
139,56.0,56.0,53.0,55.0,55.0,58.0,48.0,51.0,54.0,53.0,49.0
140,58.0,56.0,52.0,52.0,53.0,58.0,46.0,51.0,51.0,50.0,50.0
141,60.0,56.0,53.0,55.0,56.0,60.0,48.0,56.0,53.0,54.0,49.0
142,59.0,56.0,58.0,58.0,57.0,60.0,53.0,55.0,54.0,54.0,53.0
143,61.0,57.0,55.0,56.0,57.0,61.0,52.0,55.0,55.0,55.0,54.0
144,56.0,55.0,52.0,53.0,56.0,56.0,48.0,57.0,48.0,50.0,48.0
145,58.0,56.0,58.0,56.0,57.0,58.0,54.0,54.0,54.0,55.0,54.0
146,61.0,57.0,54.0,52.0,57.0,61.0,53.0,56.0,50.0,54.0,49.0
147,59.0,55.0,53.0,55.0,56.0,59.0,49.0,56.0,53.0,54.0,48.0
148,60.0,57.0,59.0,58.0,57.0,60.0,53.0,55.0,54.0,55.0,53.0
149,61.0,58.0,55.0,56.0,58.0,61.0,52.0,56.0,55.0,56.0,53.0
150,59.0,54.0,54.0,53.0,55.0,59.0,50.0,57.0,48.0,54.0,48.0
151,60.0,58.0,58.0,55.0,58.0,60.0,54.0,55.0,54.0,54.0,54.0
152,61.0,59.0,55.0,55.0,59.0,61.0,53.0,56.0,53.0,54.0,53.0
153,58.0,53.0,52.0,52.0,54.0,58.0,51.0,54.0,49.0,50.0,48.0
154,60.0,56.0,54.0,55.0,56.0,60.0,53.0,54.0,54.0,55.0,54.0
155,61.0,55.0,54.0,51.0,56.0,61.0,50.0,56.0,54.0,54.0,49.0
156,58.0,54.0,52.0,54.0,55.0,59.0,48.0,55.0,52.0,53.0,47.0
157,59.0,56.0,58.0,57.0,56.0,60.0,52.0,55.0,53.0,54.0,52.0
158,60.0,57.0,54.0,55.0,57.0,61.0,51.0,56.0,54.0,55.0,52.0
159,58.0,53.0,53.0,53.0,54.0,58.0,49.0,56.0,47.0,54.0,47.0
160,59.0,57.0,57.0,54.0,57.0,59.0,53.0,55.0,53.0,53.0,53.0
161,60.0,58.0,55.0,55.0,58.0,61.0,52.0,56.0,52.0,53.0,53.0
162,57.0,53.0,53.0,51.0,54.0,57.0,50.0,54.0,48.0,49.0,48.0
163,59.0,58.0,54.0,54.0,58.0,59.0,52.0,53.0,54.0,54.0,54.0
164,60.0,58.0,55.0,50.0,58.0,60.0,50.0,56.0,53.0,53.0,49.0
165,55.0,50.0,48.0,48.0,50.0,54.0,47.0,49.0,47.0,50.0,46.0
166,58.0,55.0,54.0,54.0,56.0,58.0,53.0,49.0,53.0,53.0,52.0
167,57.0,52.0,52.0,50.0,51.0,56.0,49.0,49.0,49.0,52.0,48.0
