Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
113,50.0,49.0,47.0,50.0,49.0,50.0,47.0,48.0,48.0,48.0
114,47.0,46.0,45.0,48.0,46.0,47.0,46.0,45.0,45.0,46.0
115,48.0,48.0,46.0,47.0,46.0,47.0,46.0,46.0,46.0,46.0
116,49.0,48.0,46.0,49.0,48.0,49.0,46.0,47.0,47.0,47.0
117,47.0,47.0,45.0,46.0,47.0,46.0,46.0,44.0,44.0,46.0
118,48.0,47.0,46.0,43.0,46.0,44.0,46.0,46.0,46.0,46.0
119,50.0,49.0,47.0,45.0,48.0,46.0,46.0,46.0,46.0,47.0
120,52.0,47.0,52.0,52.0,46.0,52.0,49.0,48.0,48.0,49.0
121,49.0,48.0,48.0,49.0,48.0,49.0,49.0,49.0,49.0,49.0
122,50.0,47.0,49.0,50.0,48.0,50.0,49.0,49.0,49.0,49.0
123,51.0,48.0,51.0,51.0,50.0,51.0,48.0,47.0,47.0,48.0
124,49.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0,48.0,48.0
125,49.0,47.0,49.0,49.0,48.0,49.0,48.0,48.0,48.0,48.0
126,49.0,49.0,49.0,49.0,51.0,49.0,49.0,46.0,46.0,49.0
127,50.0,50.0,50.0,48.0,50.0,48.0,47.0,47.0,47.0,47.0
128,48.0,48.0,48.0,48.0,49.0,48.0,49.0,49.0,49.0,49.0
129,50.0,47.0,50.0,50.0,49.0,50.0,47.0,46.0,46.0,47.0
130,48.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0,47.0,47.0
131,48.0,47.0,48.0,49.0,49.0,48.0,47.0,47.0,47.0,47.0
132,48.0,48.0,48.0,48.0,50.0,48.0,48.0,45.0,45.0,48.0
133,49.0,49.0,49.0,47.0,49.0,47.0,46.0,46.0,46.0,46.0
134,48.0,48.0,48.0,47.0,49.0,47.0,48.0,48.0,48.0,48.0
135,49.0,49.0,49.0,43.0,49.0,45.0,48.0,45.0,45.0,48.0
136,48.0,47.0,47.0,43.0,47.0,44.0,46.0,46.0,46.0,46.0
137,49.0,49.0,49.0,43.0,49.0,44.0,46.0,46.0,46.0,46.0
138,49.0,45.0,49.0,49.0,44.0,49.0,45.0,45.0,45.0,45.0
139,47.0,46.0,46.0,47.0,46.0,47.0,45.0,41.0,41.0,39.0
140,47.0,47.0,45.0,47.0,45.0,47.0,44.0,44.0,44.0,44.0
141,51.0,46.0,51.0,51.0,46.0,51.0,49.0,45.0,45.0,49.0
142,48.0,48.0,48.0,48.0,45.0,48.0,46.0,44.0,44.0,40.0
143,49.0,48.0,49.0,49.0,46.0,49.0,44.0,44.0,44.0,44.0
144,50.0,46.0,50.0,50.0,46.0,50.0,50.0,46.0,46.0,50.0
145,46.0,47.0,46.0,45.0,46.0,45.0,41.0,45.0,45.0,41.0
146,47.0,48.0,47.0,47.0,46.0,47.0,45.0,45.0,45.0,45.0
147,52.0,47.0,52.0,52.0,47.0,52.0,48.0,44.0,44.0,48.0
148,47.0,47.0,47.0,47.0,48.0,47.0,45.0,43.0,43.0,39.0
149,50.0,48.0,50.0,50.0,47.0,50.0,43.0,43.0,43.0,43.0
150,50.0,48.0,50.0,50.0,48.0,50.0,49.0,45.0,45.0,49.0
151,47.0,48.0,47.0,45.0,49.0,45.0,44.0,44.0,44.0,40.0
152,49.0,48.0,49.0,49.0,47.0,49.0,44.0,44.0,44.0,44.0
153,49.0,49.0,49.0,49.0,49.0,49.0,48.0,44.0,44.0,48.0
154,47.0,46.0,46.0,41.0,47.0,41.0,40.0,41.0,45.0,39.0
155,47.0,48.0,47.0,45.0,47.0,45.0,43.0,45.0,43.0,43.0
156,51.0,46.0,51.0,51.0,46.0,51.0,47.0,43.0,43.0,47.0
157,46.0,46.0,46.0,46.0,47.0,46.0,44.0,42.0,42.0,38.0
158,49.0,47.0,49.0,49.0,47.0,49.0,42.0,42.0,42.0,42.0
159,49.0,47.0,49.0,49.0,47.0,49.0,48.0,44.0,44.0,48.0
160,46.0,47.0,46.0,44.0,48.0,44.0,43.0,43.0,43.0,39.0
161,48.0,48.0,48.0,48.0,47.0,48.0,43.0,43.0,43.0,43.0
162,48.0,48.0,48.0,48.0,48.0,48.0,47.0,43.0,43.0,47.0
163,46.0,46.0,45.0,41.0,46.0,42.0,43.0,40.0,44.0,38.0
164,46.0,47.0,46.0,44.0,46.0,44.0,42.0,44.0,42.0,42.0
165,45.0,45.0,45.0,42.0,45.0,44.0,47.0,44.0,44.0,47.0
166,41.0,44.0,41.0,37.0,42.0,38.0,39.0,40.0,44.0,39.0
167,44.0,45.0,44.0,40.0,44.0,41.0,42.0,44.0,42.0,42.0
