Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
97,50.0,51.0,50.0,50.0,50.0,49.0,49.0,49.0,49.0,52.0
98,50.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0
99,48.0,52.0,52.0,52.0,52.0,51.0,51.0,51.0,51.0,52.0
100,53.0,54.0,51.0,51.0,51.0,51.0,51.0,52.0,50.0,52.0
101,49.0,52.0,51.0,51.0,51.0,52.0,53.0,51.0,52.0,52.0
102,49.0,52.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,51.0
103,54.0,52.0,52.0,52.0,52.0,51.0,51.0,50.0,51.0,52.0
104,50.0,53.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0
105,49.0,50.0,49.0,49.0,49.0,50.0,50.0,50.0,50.0,49.0
106,50.0,47.0,50.0,50.0,50.0,49.0,49.0,47.0,49.0,50.0
107,51.0,51.0,52.0,52.0,52.0,50.0,51.0,50.0,50.0,54.0
108,43.0,43.0,40.0,40.0,40.0,41.0,41.0,44.0,41.0,46.0
109,44.0,42.0,37.0,37.0,37.0,43.0,42.0,45.0,43.0,44.0
110,47.0,44.0,42.0,42.0,42.0,45.0,45.0,48.0,45.0,44.0
111,43.0,48.0,44.0,44.0,44.0,44.0,44.0,47.0,44.0,47.0
112,47.0,45.0,40.0,40.0,40.0,45.0,45.0,47.0,45.0,46.0
113,48.0,48.0,45.0,45.0,45.0,48.0,48.0,48.0,48.0,47.0
114,46.0,49.0,45.0,45.0,45.0,45.0,44.0,47.0,45.0,48.0
115,46.0,48.0,45.0,45.0,45.0,45.0,45.0,49.0,45.0,47.0
116,47.0,49.0,46.0,46.0,46.0,48.0,48.0,48.0,48.0,48.0
117,47.0,46.0,44.0,44.0,44.0,46.0,45.0,45.0,46.0,47.0
118,44.0,46.0,42.0,42.0,42.0,43.0,43.0,47.0,43.0,48.0
119,47.0,49.0,46.0,46.0,46.0,46.0,46.0,49.0,46.0,49.0
120,43.0,51.0,44.0,44.0,44.0,44.0,44.0,46.0,44.0,48.0
121,47.0,48.0,44.0,44.0,44.0,47.0,47.0,46.0,47.0,46.0
122,47.0,48.0,46.0,46.0,46.0,49.0,48.0,48.0,49.0,50.0
123,45.0,52.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0,49.0
124,46.0,53.0,49.0,49.0,49.0,48.0,48.0,51.0,47.0,48.0
125,47.0,52.0,50.0,50.0,50.0,49.0,48.0,51.0,49.0,51.0
126,46.0,49.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0
127,46.0,51.0,46.0,46.0,46.0,45.0,45.0,47.0,45.0,49.0
128,48.0,53.0,51.0,51.0,51.0,48.0,48.0,52.0,48.0,51.0
129,45.0,52.0,49.0,49.0,49.0,48.0,48.0,47.0,48.0,49.0
130,49.0,54.0,50.0,50.0,50.0,48.0,48.0,51.0,46.0,48.0
131,47.0,52.0,51.0,51.0,51.0,48.0,48.0,51.0,48.0,51.0
132,46.0,50.0,50.0,50.0,50.0,49.0,49.0,48.0,49.0,49.0
133,50.0,52.0,47.0,47.0,47.0,47.0,46.0,49.0,47.0,49.0
134,47.0,53.0,52.0,52.0,52.0,48.0,48.0,52.0,48.0,52.0
135,47.0,47.0,45.0,45.0,45.0,47.0,47.0,46.0,47.0,47.0
