Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
156,49.0,46.0,50.0,48.0,46.0,49.0,42.0
157,50.0,48.0,50.0,45.0,46.0,50.0,47.0
158,51.0,49.0,49.0,47.0,45.0,51.0,45.0
159,49.0,46.0,49.0,47.0,46.0,49.0,43.0
160,50.0,48.0,48.0,46.0,47.0,50.0,48.0
161,51.0,49.0,48.0,48.0,46.0,51.0,46.0
162,45.0,45.0,46.0,46.0,46.0,45.0,44.0
163,46.0,46.0,46.0,45.0,47.0,46.0,49.0
164,49.0,49.0,48.0,47.0,46.0,49.0,46.0
165,42.0,42.0,44.0,46.0,44.0,42.0,42.0
166,46.0,46.0,43.0,41.0,46.0,46.0,46.0
167,43.0,43.0,48.0,46.0,42.0,43.0,43.0
