Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
116,52.0,52.0,49.0,49.0,49.0,49.0,52.0,49.0,49.0,53.0
117,49.0,49.0,44.0,45.0,44.0,44.0,49.0,44.0,44.0,50.0
118,51.0,51.0,49.0,47.0,46.0,46.0,51.0,46.0,46.0,51.0
119,51.0,51.0,48.0,47.0,46.0,46.0,51.0,46.0,46.0,52.0
120,48.0,48.0,43.0,49.0,48.0,48.0,48.0,48.0,48.0,48.0
121,50.0,50.0,47.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0
122,50.0,50.0,46.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0
123,51.0,51.0,46.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
124,51.0,51.0,50.0,53.0,52.0,52.0,51.0,52.0,52.0,51.0
125,53.0,53.0,49.0,53.0,52.0,52.0,53.0,52.0,52.0,53.0
126,50.0,50.0,45.0,50.0,49.0,49.0,50.0,49.0,49.0,50.0
127,50.0,50.0,49.0,52.0,51.0,51.0,50.0,51.0,51.0,50.0
128,52.0,52.0,48.0,52.0,51.0,51.0,52.0,51.0,51.0,52.0
129,50.0,50.0,45.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0
130,51.0,51.0,49.0,53.0,52.0,52.0,51.0,52.0,52.0,51.0
131,52.0,52.0,48.0,53.0,52.0,52.0,52.0,52.0,52.0,52.0
132,51.0,51.0,46.0,50.0,49.0,49.0,51.0,49.0,49.0,51.0
133,52.0,52.0,50.0,52.0,51.0,51.0,52.0,51.0,51.0,52.0
134,53.0,53.0,48.0,52.0,51.0,51.0,53.0,51.0,51.0,53.0
135,50.0,50.0,45.0,45.0,44.0,44.0,50.0,44.0,44.0,50.0
136,51.0,51.0,49.0,47.0,46.0,46.0,51.0,46.0,46.0,51.0
137,52.0,52.0,47.0,47.0,46.0,47.0,52.0,47.0,46.0,52.0
138,48.0,48.0,44.0,49.0,49.0,49.0,48.0,49.0,49.0,48.0
139,45.0,45.0,46.0,47.0,47.0,47.0,46.0,47.0,47.0,46.0
140,47.0,47.0,45.0,50.0,50.0,50.0,45.0,50.0,50.0,45.0
141,51.0,51.0,47.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
142,49.0,49.0,49.0,47.0,46.0,47.0,49.0,47.0,46.0,49.0
143,48.0,48.0,48.0,52.0,51.0,51.0,48.0,51.0,51.0,48.0
144,50.0,50.0,46.0,50.0,49.0,49.0,50.0,49.0,49.0,50.0
145,49.0,49.0,48.0,47.0,47.0,47.0,48.0,47.0,47.0,48.0
146,49.0,49.0,47.0,51.0,50.0,50.0,47.0,50.0,50.0,47.0
147,50.0,50.0,47.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0
148,49.0,49.0,49.0,47.0,46.0,46.0,49.0,46.0,46.0,49.0
149,48.0,48.0,48.0,52.0,51.0,51.0,48.0,51.0,51.0,48.0
150,51.0,51.0,47.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
151,49.0,49.0,50.0,47.0,46.0,46.0,50.0,46.0,46.0,48.0
152,49.0,49.0,49.0,52.0,51.0,51.0,49.0,51.0,51.0,49.0
153,50.0,50.0,46.0,50.0,49.0,49.0,50.0,49.0,49.0,50.0
154,49.0,49.0,49.0,46.0,45.0,45.0,49.0,45.0,45.0,47.0
155,50.0,50.0,48.0,51.0,50.0,50.0,48.0,50.0,50.0,48.0
156,49.0,49.0,46.0,50.0,49.0,49.0,49.0,49.0,49.0,49.0
157,48.0,48.0,48.0,46.0,45.0,45.0,48.0,45.0,45.0,48.0
158,49.0,49.0,48.0,51.0,50.0,50.0,49.0,50.0,50.0,49.0
159,50.0,50.0,46.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0
160,48.0,48.0,49.0,47.0,46.0,46.0,49.0,46.0,46.0,49.0
161,50.0,50.0,49.0,52.0,51.0,51.0,50.0,51.0,51.0,50.0
162,50.0,50.0,45.0,50.0,49.0,49.0,50.0,49.0,49.0,50.0
163,49.0,49.0,50.0,46.0,45.0,45.0,50.0,45.0,45.0,50.0
164,51.0,51.0,48.0,51.0,50.0,50.0,51.0,50.0,50.0,51.0
165,49.0,49.0,44.0,44.0,44.0,44.0,49.0,44.0,44.0,49.0
166,46.0,46.0,49.0,39.0,38.0,38.0,49.0,38.0,38.0,49.0
167,50.0,50.0,46.0,44.0,43.0,43.0,50.0,43.0,43.0,50.0
