Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
122,51.0,48.0,48.0,48.0,48.0,51.0,48.0,46.0,45.0,47.0,47.0
123,45.0,46.0,46.0,46.0,46.0,45.0,46.0,45.0,43.0,45.0,43.0
124,46.0,48.0,48.0,48.0,48.0,47.0,48.0,46.0,45.0,46.0,46.0
125,50.0,49.0,48.0,48.0,48.0,50.0,49.0,46.0,45.0,47.0,47.0
126,46.0,45.0,46.0,46.0,46.0,46.0,45.0,44.0,43.0,46.0,44.0
127,46.0,49.0,48.0,48.0,48.0,47.0,49.0,46.0,46.0,47.0,47.0
128,48.0,49.0,48.0,48.0,48.0,48.0,49.0,46.0,45.0,48.0,48.0
129,44.0,45.0,45.0,45.0,45.0,44.0,45.0,44.0,42.0,44.0,42.0
130,45.0,47.0,47.0,47.0,47.0,46.0,47.0,45.0,44.0,45.0,45.0
131,49.0,48.0,47.0,47.0,47.0,49.0,48.0,47.0,44.0,46.0,46.0
132,45.0,45.0,45.0,45.0,45.0,45.0,45.0,44.0,42.0,45.0,43.0
133,45.0,48.0,47.0,47.0,47.0,47.0,48.0,45.0,45.0,46.0,46.0
134,47.0,48.0,47.0,47.0,47.0,47.0,48.0,47.0,44.0,47.0,47.0
135,44.0,44.0,45.0,45.0,45.0,45.0,45.0,43.0,42.0,43.0,43.0
136,45.0,46.0,47.0,47.0,47.0,46.0,46.0,45.0,43.0,44.0,44.0
137,48.0,47.0,47.0,47.0,47.0,48.0,47.0,46.0,44.0,48.0,48.0
138,46.0,45.0,46.0,45.0,45.0,47.0,45.0,43.0,43.0,45.0,42.0
139,51.0,48.0,47.0,47.0,47.0,51.0,48.0,44.0,45.0,47.0,47.0
140,48.0,48.0,44.0,44.0,44.0,49.0,48.0,46.0,45.0,47.0,44.0
141,47.0,47.0,46.0,45.0,45.0,47.0,47.0,46.0,43.0,45.0,43.0
142,50.0,49.0,47.0,47.0,47.0,50.0,49.0,45.0,44.0,47.0,47.0
143,49.0,49.0,46.0,46.0,46.0,49.0,49.0,46.0,47.0,47.0,46.0
144,46.0,46.0,46.0,45.0,45.0,47.0,46.0,45.0,43.0,45.0,42.0
145,48.0,48.0,47.0,47.0,47.0,48.0,48.0,45.0,45.0,48.0,48.0
146,48.0,47.0,46.0,46.0,46.0,49.0,47.0,46.0,47.0,46.0,46.0
147,47.0,47.0,45.0,44.0,44.0,47.0,47.0,46.0,44.0,45.0,42.0
148,49.0,48.0,46.0,46.0,46.0,49.0,48.0,46.0,44.0,47.0,47.0
149,50.0,48.0,45.0,45.0,45.0,50.0,48.0,46.0,46.0,47.0,46.0
150,46.0,47.0,45.0,45.0,45.0,46.0,47.0,46.0,45.0,45.0,43.0
151,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,45.0,48.0,48.0
152,50.0,47.0,45.0,45.0,45.0,50.0,47.0,46.0,46.0,47.0,46.0
153,46.0,46.0,45.0,45.0,45.0,46.0,46.0,45.0,44.0,45.0,42.0
154,48.0,46.0,47.0,47.0,47.0,48.0,47.0,45.0,46.0,48.0,48.0
155,48.0,47.0,45.0,45.0,45.0,48.0,47.0,46.0,45.0,47.0,46.0
156,46.0,46.0,44.0,44.0,44.0,46.0,46.0,45.0,43.0,44.0,41.0
157,48.0,47.0,45.0,45.0,45.0,48.0,47.0,45.0,43.0,46.0,46.0
158,49.0,48.0,46.0,46.0,46.0,49.0,48.0,47.0,45.0,46.0,45.0
159,45.0,46.0,44.0,44.0,44.0,45.0,46.0,45.0,44.0,44.0,42.0
160,46.0,46.0,46.0,46.0,46.0,47.0,47.0,45.0,44.0,47.0,47.0
161,49.0,48.0,46.0,46.0,46.0,49.0,48.0,47.0,45.0,46.0,45.0
162,45.0,45.0,44.0,44.0,44.0,45.0,45.0,44.0,43.0,44.0,42.0
163,47.0,45.0,46.0,46.0,46.0,47.0,47.0,44.0,45.0,47.0,47.0
164,47.0,47.0,46.0,46.0,46.0,47.0,47.0,46.0,44.0,46.0,45.0
165,43.0,44.0,42.0,42.0,42.0,44.0,44.0,43.0,40.0,41.0,41.0
166,45.0,45.0,43.0,43.0,43.0,46.0,46.0,43.0,43.0,44.0,44.0
167,46.0,46.0,43.0,43.0,43.0,46.0,46.0,45.0,42.0,43.0,43.0
