Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
84,58.0,61.0,57.0,57.0,57.0,57.0,61.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
85,59.0,59.0,58.0,58.0,58.0,58.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
86,64.0,60.0,61.0,61.0,63.0,63.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
87,59.0,58.0,57.0,57.0,57.0,57.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
88,59.0,57.0,59.0,59.0,58.0,58.0,57.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
89,64.0,60.0,62.0,62.0,63.0,63.0,60.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
90,59.0,57.0,55.0,55.0,59.0,59.0,57.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
91,60.0,58.0,57.0,57.0,54.0,54.0,58.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
92,61.0,60.0,56.0,55.0,55.0,55.0,60.0,55.0,56.0,55.0,56.0,56.0,55.0,56.0,56.0,56.0
93,59.0,60.0,58.0,58.0,59.0,59.0,60.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0
94,59.0,59.0,61.0,61.0,53.0,53.0,59.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
95,64.0,62.0,60.0,59.0,55.0,55.0,62.0,59.0,60.0,59.0,60.0,60.0,59.0,60.0,60.0,60.0
96,60.0,60.0,57.0,58.0,60.0,60.0,60.0,58.0,57.0,58.0,57.0,57.0,58.0,57.0,57.0,58.0
97,60.0,57.0,62.0,62.0,54.0,54.0,57.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
98,64.0,62.0,59.0,59.0,55.0,55.0,62.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
99,59.0,60.0,57.0,57.0,58.0,58.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
100,59.0,58.0,60.0,60.0,52.0,52.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
101,63.0,61.0,63.0,63.0,54.0,54.0,61.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
102,59.0,60.0,57.0,57.0,59.0,59.0,60.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
103,60.0,56.0,61.0,61.0,53.0,53.0,56.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
104,64.0,61.0,63.0,63.0,54.0,54.0,61.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
105,59.0,57.0,57.0,58.0,58.0,58.0,57.0,58.0,57.0,58.0,57.0,57.0,58.0,57.0,57.0,57.0
106,60.0,54.0,59.0,59.0,54.0,54.0,54.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0
107,64.0,58.0,59.0,58.0,54.0,54.0,58.0,58.0,59.0,58.0,59.0,59.0,58.0,59.0,59.0,59.0
108,49.0,48.0,53.0,49.0,47.0,47.0,48.0,49.0,53.0,49.0,53.0,48.0,49.0,53.0,48.0,53.0
109,53.0,50.0,49.0,50.0,52.0,52.0,50.0,50.0,49.0,50.0,49.0,48.0,50.0,49.0,48.0,49.0
110,53.0,49.0,53.0,50.0,52.0,52.0,49.0,50.0,53.0,50.0,53.0,48.0,50.0,53.0,48.0,53.0
111,50.0,53.0,52.0,50.0,51.0,51.0,53.0,50.0,52.0,50.0,52.0,49.0,50.0,52.0,49.0,54.0
112,56.0,55.0,53.0,52.0,54.0,54.0,55.0,52.0,53.0,52.0,53.0,51.0,52.0,53.0,51.0,53.0
113,56.0,53.0,53.0,51.0,55.0,55.0,53.0,51.0,53.0,51.0,53.0,51.0,51.0,53.0,51.0,53.0
114,50.0,53.0,53.0,50.0,50.0,50.0,53.0,50.0,53.0,50.0,53.0,49.0,50.0,53.0,49.0,53.0
115,55.0,54.0,54.0,56.0,53.0,53.0,54.0,56.0,54.0,56.0,54.0,54.0,56.0,54.0,54.0,54.0
116,56.0,55.0,57.0,55.0,55.0,55.0,55.0,55.0,57.0,55.0,57.0,53.0,55.0,57.0,53.0,57.0
117,50.0,50.0,54.0,50.0,49.0,49.0,50.0,50.0,54.0,50.0,54.0,48.0,50.0,54.0,48.0,54.0
118,55.0,51.0,55.0,57.0,53.0,53.0,51.0,57.0,55.0,57.0,55.0,55.0,57.0,55.0,55.0,55.0
119,55.0,55.0,58.0,56.0,55.0,55.0,55.0,56.0,58.0,56.0,58.0,54.0,56.0,58.0,54.0,58.0
120,54.0,53.0,52.0,50.0,51.0,51.0,53.0,50.0,52.0,50.0,52.0,53.0,50.0,52.0,53.0,54.0
121,56.0,57.0,53.0,54.0,53.0,53.0,57.0,54.0,53.0,54.0,53.0,51.0,54.0,53.0,51.0,53.0
122,57.0,55.0,52.0,51.0,56.0,56.0,55.0,51.0,52.0,51.0,52.0,52.0,51.0,52.0,52.0,52.0
123,54.0,57.0,56.0,52.0,51.0,51.0,57.0,52.0,56.0,52.0,56.0,53.0,52.0,56.0,53.0,58.0
124,56.0,56.0,57.0,58.0,52.0,52.0,56.0,58.0,57.0,58.0,57.0,55.0,58.0,57.0,55.0,57.0
125,56.0,56.0,56.0,55.0,56.0,56.0,56.0,55.0,56.0,55.0,56.0,56.0,55.0,56.0,56.0,56.0
126,54.0,57.0,57.0,51.0,52.0,52.0,57.0,51.0,57.0,51.0,57.0,50.0,51.0,57.0,50.0,59.0
127,56.0,56.0,58.0,57.0,53.0,53.0,56.0,57.0,58.0,57.0,58.0,55.0,57.0,58.0,55.0,58.0
128,57.0,56.0,55.0,55.0,56.0,56.0,56.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
129,53.0,57.0,55.0,52.0,50.0,50.0,57.0,52.0,55.0,52.0,55.0,52.0,52.0,55.0,52.0,57.0
130,55.0,55.0,56.0,57.0,51.0,51.0,55.0,57.0,56.0,57.0,56.0,54.0,57.0,56.0,54.0,56.0
131,55.0,56.0,59.0,57.0,55.0,55.0,56.0,57.0,59.0,57.0,59.0,55.0,57.0,59.0,55.0,59.0
132,53.0,57.0,56.0,51.0,51.0,51.0,57.0,51.0,56.0,51.0,56.0,49.0,51.0,56.0,49.0,58.0
133,55.0,55.0,57.0,57.0,52.0,52.0,55.0,57.0,57.0,57.0,57.0,54.0,57.0,57.0,54.0,57.0
134,56.0,56.0,59.0,57.0,55.0,55.0,56.0,57.0,59.0,57.0,59.0,55.0,57.0,59.0,55.0,59.0
135,50.0,51.0,53.0,50.0,50.0,50.0,51.0,50.0,53.0,50.0,53.0,50.0,50.0,53.0,50.0,53.0
136,55.0,52.0,55.0,57.0,52.0,52.0,52.0,57.0,55.0,57.0,55.0,54.0,57.0,55.0,54.0,55.0
137,56.0,56.0,55.0,54.0,55.0,55.0,56.0,54.0,55.0,54.0,55.0,55.0,54.0,55.0,55.0,55.0
138,54.0,54.0,55.0,52.0,54.0,54.0,54.0,52.0,55.0,52.0,55.0,51.0,52.0,55.0,51.0,55.0
139,56.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,51.0,52.0,52.0,51.0,52.0,52.0
140,56.0,55.0,48.0,51.0,56.0,56.0,55.0,51.0,48.0,51.0,48.0,51.0,51.0,48.0,51.0,48.0
141,55.0,55.0,59.0,53.0,55.0,55.0,55.0,53.0,59.0,53.0,59.0,55.0,53.0,59.0,55.0,59.0
142,56.0,60.0,55.0,56.0,56.0,56.0,60.0,56.0,55.0,56.0,55.0,56.0,56.0,55.0,56.0,56.0
143,59.0,55.0,52.0,55.0,56.0,56.0,55.0,55.0,52.0,55.0,52.0,55.0,55.0,52.0,55.0,52.0
144,55.0,55.0,59.0,52.0,55.0,55.0,55.0,52.0,59.0,52.0,59.0,53.0,52.0,59.0,53.0,58.0
145,56.0,60.0,54.0,53.0,56.0,56.0,60.0,53.0,54.0,53.0,54.0,57.0,53.0,54.0,57.0,54.0
146,59.0,55.0,52.0,54.0,57.0,57.0,55.0,54.0,52.0,54.0,52.0,55.0,54.0,52.0,55.0,52.0
147,56.0,55.0,58.0,53.0,55.0,55.0,55.0,53.0,58.0,53.0,58.0,55.0,53.0,58.0,55.0,58.0
148,59.0,60.0,54.0,56.0,56.0,56.0,60.0,56.0,54.0,56.0,54.0,56.0,56.0,54.0,56.0,56.0
149,59.0,56.0,54.0,55.0,56.0,56.0,56.0,55.0,54.0,55.0,54.0,55.0,55.0,54.0,55.0,54.0
150,56.0,56.0,58.0,53.0,55.0,55.0,56.0,53.0,58.0,53.0,58.0,53.0,53.0,58.0,53.0,58.0
151,60.0,60.0,54.0,55.0,56.0,56.0,60.0,55.0,54.0,55.0,54.0,57.0,55.0,54.0,57.0,54.0
