Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
103,44.0,44.0,46.0,43.0,42.0,45.0,45.0,43.0,40.0,43.0
104,48.0,45.0,48.0,48.0,46.0,48.0,48.0,48.0,45.0,48.0
105,37.0,40.0,37.0,41.0,40.0,37.0,37.0,41.0,39.0,37.0
106,40.0,45.0,42.0,43.0,42.0,41.0,41.0,43.0,40.0,38.0
107,43.0,45.0,43.0,44.0,46.0,43.0,43.0,44.0,45.0,43.0
108,40.0,41.0,39.0,40.0,40.0,38.0,38.0,40.0,40.0,38.0
109,40.0,42.0,44.0,42.0,40.0,44.0,44.0,42.0,41.0,40.0
110,45.0,46.0,40.0,42.0,40.0,40.0,40.0,42.0,41.0,40.0
111,41.0,42.0,41.0,40.0,40.0,41.0,41.0,40.0,40.0,41.0
112,44.0,46.0,42.0,42.0,40.0,42.0,42.0,42.0,41.0,39.0
113,44.0,46.0,44.0,42.0,44.0,43.0,44.0,41.0,44.0,44.0
114,40.0,41.0,40.0,39.0,39.0,40.0,40.0,39.0,39.0,40.0
115,44.0,45.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,38.0
116,43.0,46.0,43.0,44.0,43.0,42.0,43.0,44.0,44.0,43.0
117,39.0,42.0,38.0,39.0,39.0,38.0,38.0,39.0,40.0,38.0
118,39.0,43.0,42.0,41.0,41.0,42.0,42.0,41.0,41.0,39.0
119,44.0,45.0,38.0,44.0,42.0,38.0,38.0,44.0,41.0,38.0
120,41.0,41.0,40.0,38.0,42.0,40.0,40.0,38.0,40.0,40.0
121,43.0,45.0,43.0,41.0,39.0,42.0,43.0,40.0,41.0,43.0
122,44.0,46.0,43.0,42.0,45.0,43.0,43.0,42.0,45.0,43.0
123,41.0,41.0,41.0,38.0,42.0,42.0,42.0,38.0,41.0,42.0
124,43.0,45.0,46.0,41.0,40.0,46.0,46.0,41.0,41.0,42.0
125,43.0,46.0,43.0,42.0,46.0,43.0,43.0,42.0,46.0,43.0
126,42.0,41.0,42.0,39.0,40.0,41.0,41.0,39.0,40.0,41.0
127,43.0,45.0,47.0,42.0,40.0,47.0,47.0,42.0,42.0,43.0
128,44.0,46.0,44.0,42.0,46.0,43.0,44.0,42.0,45.0,44.0
129,41.0,40.0,41.0,38.0,41.0,41.0,41.0,38.0,40.0,41.0
130,42.0,44.0,45.0,40.0,40.0,45.0,45.0,40.0,40.0,41.0
131,47.0,45.0,47.0,41.0,45.0,47.0,47.0,41.0,45.0,47.0
132,42.0,41.0,42.0,39.0,39.0,42.0,42.0,39.0,39.0,42.0
133,43.0,44.0,46.0,41.0,40.0,46.0,46.0,41.0,41.0,42.0
134,48.0,45.0,48.0,42.0,45.0,48.0,48.0,42.0,44.0,48.0
135,37.0,41.0,37.0,38.0,39.0,37.0,37.0,38.0,39.0,37.0
136,38.0,43.0,42.0,40.0,40.0,42.0,42.0,40.0,41.0,38.0
137,43.0,45.0,43.0,42.0,43.0,43.0,43.0,42.0,40.0,43.0
138,41.0,42.0,41.0,37.0,42.0,41.0,41.0,37.0,39.0,41.0
139,43.0,45.0,42.0,42.0,40.0,42.0,42.0,42.0,40.0,42.0
140,41.0,44.0,40.0,42.0,45.0,40.0,40.0,42.0,45.0,40.0
141,41.0,42.0,42.0,41.0,42.0,41.0,41.0,41.0,40.0,41.0
142,43.0,45.0,46.0,42.0,43.0,46.0,46.0,42.0,40.0,42.0
143,45.0,44.0,45.0,42.0,46.0,45.0,45.0,42.0,46.0,45.0
144,42.0,42.0,43.0,41.0,42.0,41.0,41.0,41.0,40.0,41.0
145,43.0,45.0,46.0,42.0,43.0,46.0,46.0,42.0,41.0,42.0
146,44.0,45.0,44.0,42.0,46.0,44.0,44.0,42.0,45.0,44.0
147,41.0,42.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,41.0
148,46.0,45.0,46.0,41.0,43.0,46.0,46.0,41.0,40.0,46.0
149,47.0,44.0,47.0,42.0,47.0,47.0,47.0,42.0,46.0,47.0
150,42.0,42.0,42.0,41.0,42.0,42.0,42.0,41.0,40.0,42.0
151,47.0,45.0,47.0,41.0,43.0,47.0,47.0,41.0,41.0,47.0
152,48.0,45.0,48.0,42.0,47.0,48.0,48.0,42.0,46.0,48.0
153,41.0,41.0,41.0,37.0,40.0,41.0,41.0,37.0,39.0,41.0
154,42.0,45.0,46.0,41.0,40.0,46.0,46.0,41.0,41.0,42.0
155,46.0,45.0,43.0,42.0,46.0,43.0,43.0,42.0,45.0,44.0
156,40.0,41.0,40.0,40.0,41.0,40.0,40.0,40.0,39.0,40.0
157,45.0,44.0,45.0,40.0,42.0,45.0,45.0,40.0,39.0,45.0
158,46.0,43.0,46.0,41.0,47.0,46.0,46.0,41.0,45.0,46.0
159,41.0,41.0,41.0,40.0,41.0,41.0,41.0,40.0,39.0,41.0
160,46.0,44.0,46.0,40.0,42.0,46.0,46.0,40.0,40.0,46.0
161,47.0,44.0,47.0,41.0,47.0,47.0,47.0,41.0,45.0,47.0
162,41.0,40.0,41.0,37.0,39.0,40.0,40.0,37.0,39.0,40.0
163,42.0,44.0,46.0,40.0,40.0,46.0,46.0,40.0,40.0,42.0
164,45.0,44.0,43.0,42.0,45.0,43.0,43.0,42.0,44.0,43.0
165,36.0,40.0,36.0,37.0,38.0,36.0,36.0,37.0,38.0,36.0
166,37.0,42.0,41.0,39.0,40.0,41.0,41.0,39.0,40.0,37.0
167,41.0,45.0,38.0,41.0,43.0,38.0,38.0,41.0,40.0,38.0
