Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
97,60.0,53.0,54.0,54.0,53.0,55.0,64.0,64.0,59.0,65.0,56.0
98,65.0,59.0,59.0,59.0,59.0,59.0,65.0,65.0,65.0,67.0,60.0
99,67.0,67.0,67.0,67.0,67.0,62.0,67.0,66.0,66.0,64.0,66.0
100,59.0,58.0,59.0,59.0,58.0,58.0,65.0,64.0,58.0,64.0,57.0
101,64.0,64.0,64.0,64.0,64.0,60.0,64.0,63.0,63.0,66.0,63.0
102,67.0,68.0,68.0,68.0,68.0,62.0,68.0,67.0,67.0,64.0,66.0
103,59.0,59.0,60.0,60.0,59.0,56.0,66.0,65.0,59.0,64.0,57.0
104,64.0,65.0,65.0,65.0,65.0,60.0,65.0,64.0,64.0,66.0,63.0
105,63.0,68.0,68.0,68.0,68.0,58.0,68.0,68.0,63.0,60.0,62.0
106,55.0,59.0,60.0,60.0,59.0,51.0,66.0,66.0,55.0,60.0,53.0
107,60.0,65.0,65.0,65.0,65.0,56.0,65.0,65.0,60.0,62.0,59.0
108,55.0,51.0,52.0,52.0,51.0,56.0,58.0,57.0,53.0,51.0,48.0
109,56.0,52.0,53.0,53.0,52.0,57.0,56.0,49.0,50.0,52.0,52.0
110,57.0,57.0,58.0,58.0,57.0,57.0,58.0,50.0,50.0,53.0,54.0
111,61.0,54.0,55.0,55.0,54.0,62.0,54.0,52.0,59.0,57.0,53.0
112,57.0,53.0,54.0,54.0,53.0,56.0,54.0,50.0,55.0,53.0,54.0
113,57.0,58.0,59.0,59.0,58.0,60.0,59.0,49.0,55.0,55.0,59.0
114,60.0,60.0,61.0,61.0,60.0,61.0,61.0,60.0,58.0,56.0,58.0
115,57.0,53.0,57.0,53.0,56.0,57.0,53.0,57.0,55.0,53.0,53.0
116,57.0,58.0,58.0,58.0,58.0,59.0,58.0,57.0,56.0,54.0,58.0
117,56.0,60.0,61.0,61.0,60.0,57.0,61.0,61.0,55.0,52.0,54.0
118,57.0,52.0,53.0,53.0,52.0,52.0,53.0,53.0,56.0,53.0,53.0
119,57.0,57.0,58.0,58.0,57.0,55.0,58.0,58.0,56.0,54.0,54.0
120,57.0,53.0,54.0,54.0,53.0,58.0,54.0,50.0,56.0,56.0,55.0
121,55.0,50.0,51.0,51.0,50.0,60.0,51.0,48.0,52.0,53.0,55.0
122,56.0,55.0,55.0,55.0,55.0,61.0,55.0,49.0,53.0,55.0,59.0
123,62.0,57.0,57.0,57.0,57.0,62.0,57.0,56.0,60.0,58.0,55.0
124,57.0,54.0,54.0,54.0,54.0,60.0,57.0,56.0,56.0,58.0,54.0
125,60.0,59.0,59.0,59.0,59.0,60.0,58.0,57.0,57.0,60.0,59.0
126,62.0,57.0,57.0,57.0,57.0,56.0,57.0,57.0,61.0,58.0,55.0
127,57.0,49.0,51.0,51.0,49.0,56.0,57.0,57.0,57.0,58.0,55.0
128,60.0,54.0,54.0,54.0,54.0,58.0,58.0,58.0,58.0,60.0,59.0
129,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,59.0,57.0,61.0
130,57.0,54.0,55.0,55.0,54.0,59.0,58.0,59.0,56.0,57.0,53.0
131,59.0,58.0,59.0,59.0,58.0,61.0,59.0,58.0,57.0,59.0,58.0
132,61.0,61.0,62.0,62.0,61.0,57.0,62.0,61.0,60.0,57.0,61.0
133,57.0,55.0,56.0,56.0,55.0,57.0,59.0,60.0,57.0,57.0,54.0
134,59.0,58.0,60.0,60.0,58.0,61.0,60.0,59.0,57.0,59.0,58.0
135,57.0,61.0,62.0,62.0,61.0,52.0,62.0,62.0,56.0,53.0,57.0
136,52.0,55.0,56.0,56.0,55.0,52.0,59.0,59.0,52.0,53.0,50.0
137,55.0,58.0,60.0,60.0,58.0,57.0,60.0,60.0,53.0,55.0,54.0
138,55.0,50.0,50.0,50.0,50.0,53.0,49.0,47.0,53.0,54.0,55.0
139,55.0,42.0,52.0,52.0,42.0,54.0,52.0,43.0,44.0,51.0,47.0
140,56.0,47.0,53.0,53.0,47.0,55.0,53.0,44.0,50.0,53.0,52.0
141,58.0,54.0,54.0,55.0,54.0,57.0,55.0,54.0,57.0,58.0,55.0
142,60.0,46.0,54.0,54.0,46.0,55.0,52.0,50.0,48.0,55.0,46.0
143,61.0,51.0,56.0,55.0,51.0,56.0,53.0,51.0,54.0,57.0,52.0
