Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
124,52.0,52.0,52.0,52.0,52.0,52.0,55.0,56.0,51.0,51.0,52.0,51.0,51.0,51.0,52.0
125,52.0,52.0,52.0,55.0,55.0,53.0,55.0,57.0,51.0,51.0,52.0,51.0,52.0,52.0,55.0
126,51.0,51.0,51.0,53.0,53.0,52.0,56.0,50.0,50.0,50.0,52.0,50.0,52.0,52.0,53.0
127,50.0,50.0,50.0,52.0,52.0,51.0,55.0,52.0,49.0,49.0,52.0,49.0,51.0,51.0,52.0
128,51.0,51.0,51.0,55.0,55.0,51.0,55.0,52.0,50.0,50.0,52.0,50.0,52.0,52.0,55.0
129,52.0,52.0,52.0,52.0,52.0,52.0,56.0,55.0,51.0,51.0,52.0,51.0,52.0,52.0,51.0
130,52.0,52.0,52.0,52.0,52.0,52.0,55.0,56.0,51.0,51.0,52.0,51.0,52.0,52.0,51.0
131,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
132,53.0,53.0,53.0,53.0,53.0,53.0,56.0,50.0,52.0,52.0,53.0,52.0,53.0,53.0,52.0
133,52.0,52.0,52.0,52.0,52.0,52.0,55.0,52.0,51.0,51.0,52.0,51.0,52.0,52.0,51.0
134,55.0,55.0,55.0,55.0,55.0,55.0,55.0,52.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
135,50.0,51.0,50.0,50.0,49.0,51.0,49.0,43.0,49.0,50.0,50.0,49.0,50.0,50.0,50.0
136,50.0,50.0,50.0,49.0,49.0,50.0,50.0,45.0,49.0,50.0,50.0,49.0,49.0,49.0,49.0
137,53.0,53.0,53.0,53.0,53.0,53.0,50.0,45.0,52.0,52.0,53.0,52.0,53.0,53.0,52.0
138,51.0,51.0,52.0,56.0,56.0,52.0,56.0,51.0,51.0,51.0,52.0,51.0,52.0,52.0,56.0
139,48.0,48.0,48.0,52.0,53.0,49.0,52.0,53.0,47.0,47.0,42.0,47.0,42.0,42.0,52.0
140,51.0,51.0,54.0,58.0,58.0,54.0,52.0,53.0,53.0,53.0,46.0,53.0,46.0,46.0,58.0
141,53.0,53.0,56.0,56.0,56.0,56.0,56.0,55.0,55.0,55.0,56.0,55.0,56.0,56.0,55.0
142,52.0,52.0,52.0,55.0,55.0,53.0,55.0,57.0,51.0,51.0,52.0,51.0,52.0,52.0,55.0
143,55.0,55.0,58.0,58.0,58.0,58.0,55.0,57.0,57.0,57.0,56.0,57.0,56.0,56.0,57.0
144,52.0,52.0,52.0,56.0,56.0,52.0,56.0,51.0,51.0,51.0,53.0,51.0,53.0,53.0,56.0
145,51.0,51.0,51.0,55.0,55.0,51.0,55.0,52.0,50.0,50.0,52.0,50.0,52.0,52.0,55.0
146,54.0,54.0,56.0,58.0,58.0,56.0,55.0,53.0,55.0,55.0,56.0,55.0,56.0,56.0,58.0
147,55.0,55.0,55.0,55.0,55.0,55.0,56.0,55.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
148,55.0,55.0,55.0,55.0,55.0,55.0,55.0,57.0,54.0,54.0,55.0,54.0,55.0,55.0,54.0
149,57.0,57.0,57.0,57.0,57.0,57.0,55.0,57.0,56.0,56.0,55.0,56.0,55.0,55.0,56.0
