Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
72,47.0,46.0,48.0,46.0,48.0,48.0,49.0,48.0,48.0,47.0,48.0,45.0,45.0,47.0,47.0,46.0
73,51.0,50.0,50.0,50.0,50.0,50.0,52.0,52.0,50.0,50.0,50.0,49.0,50.0,50.0,50.0,50.0
74,51.0,50.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0,52.0,53.0,51.0,51.0,52.0,50.0,51.0
75,48.0,47.0,48.0,47.0,48.0,48.0,49.0,48.0,49.0,48.0,48.0,46.0,46.0,47.0,48.0,47.0
76,48.0,47.0,48.0,48.0,48.0,50.0,52.0,50.0,50.0,50.0,50.0,47.0,48.0,48.0,51.0,48.0
77,52.0,51.0,52.0,52.0,52.0,53.0,52.0,52.0,53.0,53.0,53.0,51.0,52.0,52.0,51.0,52.0
78,47.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,47.0,48.0,47.0,46.0,48.0,45.0,46.0
79,49.0,48.0,49.0,48.0,49.0,49.0,52.0,48.0,49.0,49.0,49.0,47.0,48.0,48.0,51.0,48.0
80,53.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0,51.0,52.0
81,47.0,46.0,49.0,48.0,49.0,48.0,48.0,47.0,48.0,47.0,48.0,47.0,47.0,48.0,46.0,48.0
82,53.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0,52.0
83,52.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0,51.0,52.0
84,47.0,47.0,49.0,47.0,49.0,47.0,47.0,47.0,47.0,46.0,47.0,46.0,46.0,48.0,45.0,47.0
85,52.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0
86,51.0,50.0,52.0,52.0,52.0,52.0,52.0,53.0,52.0,51.0,52.0,51.0,51.0,52.0,50.0,51.0
87,48.0,48.0,49.0,48.0,49.0,47.0,47.0,47.0,48.0,47.0,47.0,47.0,47.0,48.0,46.0,47.0
88,49.0,48.0,49.0,49.0,49.0,49.0,53.0,49.0,49.0,49.0,49.0,48.0,48.0,48.0,52.0,48.0
89,52.0,51.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,51.0,52.0
90,48.0,45.0,48.0,47.0,48.0,47.0,47.0,46.0,47.0,47.0,47.0,46.0,46.0,47.0,45.0,48.0
91,52.0,51.0,52.0,52.0,52.0,52.0,53.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,51.0,52.0
92,51.0,50.0,53.0,50.0,53.0,52.0,51.0,51.0,52.0,52.0,52.0,49.0,50.0,50.0,49.0,50.0
93,47.0,45.0,48.0,47.0,48.0,47.0,47.0,46.0,47.0,46.0,47.0,46.0,45.0,47.0,44.0,47.0
94,52.0,51.0,52.0,52.0,52.0,52.0,53.0,52.0,52.0,51.0,52.0,51.0,51.0,52.0,50.0,51.0
95,51.0,50.0,53.0,50.0,53.0,52.0,51.0,52.0,52.0,51.0,52.0,49.0,50.0,50.0,49.0,50.0
96,47.0,46.0,47.0,47.0,48.0,47.0,47.0,46.0,47.0,47.0,47.0,46.0,46.0,47.0,45.0,48.0
