Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
55,53.0,53.0,53.0,51.0,53.0,53.0,53.0,51.0,52.0,53.0,52.0,51.0,50.0,52.0,51.0,52.0
56,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,50.0,50.0,49.0,50.0,50.0,49.0,49.0
57,48.0,47.0,47.0,47.0,48.0,47.0,48.0,47.0,47.0,47.0,47.0,45.0,44.0,47.0,47.0,46.0
58,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,53.0,51.0,51.0,53.0,51.0,53.0
59,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,50.0,50.0,49.0,48.0,50.0,49.0,49.0
60,48.0,47.0,47.0,47.0,48.0,47.0,48.0,47.0,47.0,47.0,47.0,46.0,45.0,47.0,46.0,46.0
61,50.0,49.0,49.0,49.0,50.0,49.0,50.0,49.0,49.0,49.0,49.0,48.0,47.0,49.0,48.0,49.0
62,50.0,49.0,49.0,49.0,50.0,49.0,50.0,49.0,49.0,49.0,49.0,48.0,47.0,49.0,48.0,48.0
63,51.0,51.0,51.0,48.0,47.0,47.0,47.0,47.0,50.0,47.0,47.0,46.0,45.0,47.0,46.0,47.0
64,51.0,51.0,51.0,51.0,48.0,48.0,48.0,49.0,50.0,48.0,49.0,48.0,51.0,49.0,48.0,50.0
65,53.0,53.0,53.0,53.0,51.0,51.0,51.0,52.0,52.0,51.0,52.0,51.0,51.0,52.0,51.0,52.0
66,51.0,51.0,51.0,49.0,48.0,48.0,48.0,48.0,50.0,48.0,47.0,46.0,45.0,47.0,47.0,45.0
67,52.0,52.0,52.0,52.0,49.0,49.0,49.0,50.0,51.0,49.0,50.0,49.0,52.0,50.0,49.0,51.0
68,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,51.0,52.0,53.0,52.0,48.0,53.0,52.0,51.0
69,49.0,49.0,49.0,49.0,47.0,47.0,47.0,48.0,48.0,48.0,47.0,46.0,45.0,47.0,47.0,45.0
70,52.0,52.0,52.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0,51.0,48.0,52.0,51.0,51.0
71,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,51.0
72,49.0,49.0,49.0,48.0,46.0,47.0,46.0,47.0,48.0,48.0,47.0,45.0,44.0,47.0,46.0,44.0
73,52.0,52.0,52.0,51.0,50.0,50.0,50.0,50.0,51.0,50.0,51.0,50.0,47.0,51.0,50.0,51.0
74,52.0,52.0,52.0,51.0,52.0,52.0,52.0,52.0,51.0,52.0,51.0,51.0,50.0,51.0,51.0,51.0
75,49.0,49.0,49.0,49.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,46.0,45.0,48.0,47.0,45.0
76,52.0,52.0,52.0,52.0,48.0,48.0,48.0,50.0,51.0,48.0,48.0,48.0,46.0,48.0,48.0,51.0
77,52.0,52.0,52.0,52.0,52.0,52.0,52.0,53.0,51.0,52.0,52.0,52.0,51.0,52.0,52.0,51.0
78,48.0,48.0,48.0,46.0,48.0,48.0,48.0,47.0,47.0,48.0,47.0,46.0,46.0,47.0,46.0,45.0
