Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
102,47.0,51.0,51.0,51.0,50.0,49.0,51.0,50.0,50.0,49.0,50.0,50.0,51.0
103,50.0,50.0,49.0,49.0,46.0,47.0,49.0,48.0,48.0,45.0,49.0,47.0,48.0
104,47.0,47.0,47.0,51.0,47.0,49.0,48.0,48.0,48.0,49.0,49.0,44.0,49.0
105,44.0,45.0,45.0,44.0,51.0,43.0,44.0,48.0,48.0,39.0,49.0,48.0,48.0
106,42.0,42.0,42.0,43.0,47.0,41.0,41.0,42.0,42.0,41.0,42.0,46.0,46.0
107,41.0,45.0,45.0,50.0,48.0,43.0,40.0,46.0,46.0,44.0,43.0,45.0,45.0
108,39.0,39.0,39.0,38.0,38.0,37.0,44.0,43.0,43.0,33.0,40.0,39.0,39.0
109,42.0,39.0,40.0,40.0,40.0,37.0,44.0,44.0,46.0,35.0,43.0,41.0,41.0
110,42.0,42.0,42.0,41.0,42.0,41.0,47.0,49.0,49.0,39.0,42.0,43.0,43.0
111,42.0,44.0,44.0,46.0,42.0,45.0,47.0,50.0,50.0,43.0,45.0,41.0,41.0
112,47.0,44.0,44.0,45.0,40.0,43.0,49.0,49.0,49.0,43.0,43.0,43.0,43.0
113,48.0,47.0,47.0,42.0,42.0,43.0,53.0,47.0,47.0,47.0,44.0,44.0,45.0
114,47.0,47.0,43.0,48.0,42.0,44.0,48.0,49.0,49.0,42.0,44.0,40.0,41.0
115,51.0,47.0,45.0,46.0,39.0,42.0,50.0,48.0,48.0,42.0,42.0,42.0,42.0
116,50.0,50.0,46.0,43.0,41.0,42.0,54.0,46.0,46.0,46.0,47.0,43.0,44.0
117,39.0,39.0,38.0,45.0,43.0,38.0,43.0,44.0,44.0,39.0,42.0,41.0,41.0
118,43.0,39.0,40.0,41.0,40.0,39.0,43.0,45.0,46.0,35.0,43.0,41.0,41.0
119,42.0,42.0,41.0,43.0,42.0,41.0,48.0,45.0,45.0,39.0,45.0,44.0,44.0
120,45.0,46.0,42.0,45.0,46.0,45.0,47.0,47.0,47.0,43.0,44.0,45.0,45.0
121,46.0,48.0,47.0,45.0,44.0,43.0,49.0,46.0,46.0,43.0,43.0,43.0,43.0
122,47.0,48.0,48.0,45.0,49.0,45.0,48.0,45.0,45.0,44.0,43.0,45.0,45.0
123,45.0,46.0,42.0,49.0,45.0,50.0,48.0,51.0,51.0,46.0,46.0,44.0,47.0
124,51.0,50.0,46.0,47.0,43.0,47.0,50.0,49.0,49.0,44.0,45.0,43.0,45.0
125,50.0,52.0,47.0,50.0,48.0,50.0,49.0,48.0,48.0,50.0,48.0,44.0,48.0
126,42.0,43.0,43.0,50.0,44.0,46.0,47.0,50.0,50.0,47.0,45.0,44.0,44.0
127,46.0,43.0,43.0,48.0,41.0,48.0,49.0,45.0,45.0,45.0,46.0,44.0,44.0
128,47.0,48.0,48.0,51.0,44.0,51.0,48.0,46.0,46.0,51.0,46.0,45.0,47.0
129,45.0,45.0,43.0,51.0,44.0,49.0,51.0,50.0,50.0,45.0,45.0,43.0,49.0
130,50.0,49.0,45.0,49.0,42.0,46.0,49.0,48.0,48.0,43.0,46.0,42.0,46.0
131,49.0,51.0,46.0,49.0,47.0,49.0,48.0,48.0,48.0,49.0,47.0,43.0,47.0
132,46.0,46.0,44.0,52.0,44.0,45.0,52.0,51.0,51.0,46.0,44.0,43.0,48.0
133,51.0,47.0,46.0,50.0,43.0,47.0,50.0,49.0,49.0,44.0,47.0,43.0,45.0
134,48.0,48.0,47.0,50.0,44.0,50.0,49.0,49.0,49.0,50.0,48.0,44.0,46.0
135,38.0,38.0,37.0,45.0,44.0,37.0,45.0,45.0,45.0,39.0,41.0,41.0,41.0
136,43.0,39.0,39.0,44.0,42.0,38.0,42.0,43.0,43.0,39.0,43.0,41.0,41.0
137,42.0,40.0,40.0,45.0,44.0,42.0,41.0,44.0,44.0,44.0,44.0,43.0,43.0
138,43.0,46.0,41.0,46.0,45.0,41.0,42.0,46.0,46.0,42.0,43.0,44.0,45.0
139,42.0,45.0,45.0,45.0,46.0,41.0,43.0,45.0,45.0,45.0,40.0,45.0,45.0
140,42.0,43.0,39.0,45.0,49.0,45.0,43.0,44.0,44.0,44.0,43.0,47.0,49.0
141,44.0,47.0,42.0,51.0,45.0,46.0,44.0,46.0,46.0,45.0,45.0,52.0,52.0
142,47.0,48.0,48.0,50.0,45.0,46.0,43.0,46.0,46.0,50.0,46.0,44.0,48.0
143,43.0,44.0,44.0,50.0,48.0,50.0,43.0,45.0,45.0,50.0,49.0,46.0,50.0
144,40.0,46.0,41.0,47.0,45.0,45.0,45.0,43.0,43.0,44.0,44.0,53.0,53.0
145,43.0,45.0,45.0,51.0,43.0,47.0,43.0,45.0,45.0,51.0,45.0,43.0,45.0
146,42.0,45.0,44.0,46.0,49.0,45.0,43.0,45.0,45.0,45.0,50.0,47.0,49.0
147,43.0,49.0,45.0,50.0,46.0,51.0,45.0,48.0,48.0,44.0,44.0,51.0,53.0
148,47.0,48.0,48.0,49.0,44.0,49.0,43.0,46.0,46.0,49.0,47.0,43.0,47.0
149,42.0,47.0,47.0,51.0,47.0,50.0,42.0,47.0,47.0,49.0,50.0,45.0,49.0
150,44.0,50.0,46.0,51.0,45.0,50.0,46.0,47.0,47.0,45.0,45.0,52.0,52.0
151,44.0,45.0,45.0,50.0,44.0,49.0,44.0,47.0,47.0,50.0,48.0,43.0,46.0
152,43.0,48.0,44.0,50.0,48.0,50.0,43.0,47.0,47.0,50.0,49.0,46.0,49.0
153,40.0,42.0,41.0,46.0,44.0,46.0,41.0,43.0,43.0,46.0,44.0,44.0,44.0
154,42.0,40.0,40.0,46.0,44.0,48.0,40.0,43.0,43.0,48.0,43.0,43.0,42.0
155,41.0,44.0,44.0,51.0,49.0,45.0,43.0,45.0,45.0,45.0,43.0,43.0,48.0
156,42.0,48.0,44.0,51.0,45.0,50.0,44.0,47.0,47.0,43.0,44.0,50.0,52.0
157,46.0,47.0,47.0,50.0,43.0,48.0,46.0,46.0,46.0,48.0,46.0,42.0,46.0
158,41.0,47.0,47.0,50.0,48.0,49.0,41.0,48.0,48.0,48.0,49.0,44.0,48.0
159,43.0,49.0,45.0,50.0,44.0,49.0,45.0,48.0,48.0,44.0,44.0,51.0,51.0
160,43.0,44.0,44.0,51.0,43.0,48.0,47.0,47.0,47.0,49.0,47.0,42.0,47.0
161,42.0,47.0,47.0,51.0,49.0,49.0,42.0,49.0,49.0,49.0,48.0,45.0,48.0
162,44.0,45.0,43.0,48.0,45.0,45.0,42.0,47.0,47.0,45.0,43.0,43.0,47.0
163,44.0,45.0,45.0,49.0,43.0,47.0,42.0,48.0,48.0,47.0,48.0,42.0,46.0
164,41.0,45.0,48.0,50.0,48.0,44.0,42.0,50.0,50.0,44.0,43.0,42.0,47.0
165,36.0,37.0,36.0,45.0,43.0,36.0,34.0,45.0,45.0,42.0,40.0,41.0,41.0
166,37.0,38.0,38.0,44.0,42.0,38.0,37.0,45.0,46.0,39.0,41.0,39.0,41.0
167,36.0,40.0,41.0,44.0,42.0,41.0,37.0,51.0,51.0,43.0,41.0,40.0,41.0
