Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
134,55.0,57.0,55.0,56.0,54.0,56.0,54.0,58.0
135,51.0,52.0,50.0,50.0,50.0,50.0,51.0,51.0
136,53.0,53.0,52.0,52.0,52.0,52.0,54.0,53.0
137,55.0,54.0,52.0,52.0,54.0,52.0,53.0,55.0
138,55.0,54.0,52.0,52.0,54.0,52.0,53.0,56.0
139,56.0,53.0,51.0,51.0,55.0,51.0,55.0,56.0
140,57.0,53.0,51.0,51.0,56.0,51.0,55.0,58.0
141,56.0,57.0,54.0,56.0,55.0,56.0,55.0,58.0
142,57.0,56.0,55.0,56.0,56.0,56.0,55.0,60.0
143,58.0,56.0,55.0,56.0,57.0,56.0,54.0,60.0
144,55.0,55.0,54.0,54.0,54.0,53.0,54.0,55.0
145,57.0,57.0,55.0,55.0,56.0,55.0,55.0,57.0
146,57.0,56.0,55.0,55.0,56.0,55.0,55.0,57.0
147,55.0,57.0,54.0,57.0,54.0,56.0,55.0,57.0
148,56.0,58.0,55.0,58.0,55.0,58.0,56.0,59.0
149,57.0,58.0,55.0,58.0,56.0,58.0,56.0,59.0
150,56.0,58.0,55.0,58.0,55.0,56.0,56.0,58.0
151,57.0,59.0,56.0,59.0,56.0,58.0,57.0,60.0
152,57.0,59.0,56.0,59.0,56.0,58.0,57.0,60.0
153,55.0,55.0,54.0,54.0,54.0,53.0,55.0,53.0
154,58.0,57.0,55.0,55.0,57.0,55.0,58.0,55.0
155,58.0,57.0,55.0,55.0,57.0,55.0,58.0,55.0
156,54.0,56.0,53.0,56.0,53.0,55.0,54.0,56.0
157,55.0,57.0,54.0,57.0,54.0,57.0,56.0,58.0
158,56.0,57.0,54.0,57.0,55.0,57.0,55.0,58.0
159,55.0,57.0,54.0,57.0,54.0,56.0,55.0,57.0
160,56.0,58.0,55.0,58.0,55.0,58.0,57.0,59.0
161,56.0,58.0,55.0,58.0,55.0,58.0,56.0,59.0
162,55.0,54.0,54.0,54.0,54.0,52.0,56.0,54.0
163,57.0,56.0,55.0,55.0,56.0,55.0,58.0,56.0
164,57.0,56.0,55.0,55.0,56.0,55.0,57.0,56.0
165,51.0,52.0,51.0,51.0,50.0,50.0,51.0,51.0
166,53.0,54.0,52.0,52.0,52.0,52.0,54.0,53.0
167,53.0,54.0,52.0,52.0,52.0,52.0,52.0,53.0
