Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
81,47.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,44.0,50.0,42.0,44.0
82,44.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,46.0,51.0,44.0,46.0
83,44.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,41.0,51.0,42.0,41.0
84,52.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,47.0,49.0,45.0,47.0
85,50.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,49.0,50.0,50.0,49.0
86,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,45.0,51.0,46.0,45.0
87,53.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,48.0,50.0,46.0,48.0
88,51.0,51.0,51.0,51.0,52.0,51.0,51.0,51.0,50.0,51.0,51.0,50.0
89,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,46.0,52.0,47.0,46.0
90,44.0,48.0,47.0,48.0,47.0,48.0,47.0,48.0,43.0,47.0,43.0,43.0
91,43.0,44.0,43.0,44.0,43.0,44.0,43.0,44.0,44.0,43.0,44.0,44.0
92,43.0,46.0,44.0,46.0,44.0,46.0,44.0,46.0,44.0,44.0,44.0,44.0
93,47.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,47.0,49.0,47.0,47.0
94,49.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0,50.0
95,48.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,47.0,50.0,48.0,47.0
96,48.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.0,50.0,45.0,48.0
97,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0
98,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,48.0,51.0,49.0,48.0
99,47.0,48.0,48.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0,49.0,48.0
100,50.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,50.0,49.0,48.0,50.0
101,47.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,48.0,49.0,49.0,48.0
102,48.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,49.0,49.0,50.0,49.0
103,51.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,51.0,50.0,49.0,51.0
104,48.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,49.0,50.0,50.0,49.0
105,48.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,49.0,49.0,45.0,49.0
106,50.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,51.0,50.0,49.0,51.0
107,47.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,50.0,50.0,51.0,50.0
108,49.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,41.0,47.0,42.0,41.0
109,45.0,48.0,45.0,48.0,46.0,48.0,45.0,48.0,43.0,45.0,44.0,43.0
110,45.0,49.0,46.0,49.0,46.0,49.0,46.0,49.0,38.0,46.0,38.0,38.0
111,47.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,43.0,50.0,42.0,43.0
112,44.0,49.0,46.0,49.0,46.0,49.0,46.0,49.0,45.0,46.0,43.0,45.0
113,44.0,49.0,46.0,49.0,46.0,49.0,46.0,49.0,39.0,46.0,39.0,39.0
114,49.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,47.0,49.0,42.0,47.0
115,50.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,48.0,50.0,49.0,48.0
116,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,44.0,51.0,44.0,44.0
117,50.0,50.0,50.0,50.0,51.0,50.0,50.0,50.0,48.0,50.0,43.0,48.0
118,51.0,51.0,51.0,51.0,52.0,51.0,51.0,51.0,49.0,51.0,50.0,49.0
119,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,45.0,52.0,45.0,45.0
120,43.0,49.0,47.0,49.0,47.0,49.0,47.0,49.0,44.0,47.0,43.0,44.0
121,43.0,45.0,44.0,45.0,44.0,45.0,44.0,45.0,45.0,44.0,45.0,45.0
122,44.0,47.0,45.0,47.0,45.0,47.0,45.0,47.0,41.0,45.0,42.0,41.0
123,48.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,48.0,50.0,43.0,48.0
124,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0,51.0
125,45.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,46.0,51.0,46.0,46.0
126,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0,51.0,44.0,49.0
127,48.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,50.0,52.0
