Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
119,55.0,56.0,55.0,55.0,58.0,50.0,55.0,55.0
120,53.0,58.0,53.0,52.0,58.0,52.0,52.0,53.0
121,49.0,54.0,49.0,50.0,53.0,54.0,50.0,50.0
122,54.0,54.0,54.0,53.0,55.0,54.0,53.0,54.0
123,58.0,58.0,58.0,57.0,58.0,56.0,57.0,58.0
124,54.0,55.0,54.0,55.0,56.0,59.0,55.0,55.0
125,59.0,55.0,59.0,58.0,59.0,58.0,58.0,59.0
126,55.0,54.0,55.0,55.0,58.0,53.0,55.0,58.0
127,54.0,56.0,54.0,54.0,57.0,59.0,54.0,55.0
128,59.0,56.0,59.0,59.0,60.0,54.0,59.0,59.0
129,57.0,57.0,57.0,56.0,57.0,55.0,56.0,57.0
130,57.0,57.0,57.0,56.0,56.0,58.0,56.0,57.0
131,59.0,59.0,59.0,58.0,58.0,57.0,58.0,59.0
132,56.0,56.0,56.0,55.0,57.0,53.0,55.0,57.0
133,57.0,58.0,57.0,57.0,56.0,58.0,57.0,57.0
134,59.0,60.0,59.0,59.0,59.0,54.0,59.0,59.0
135,54.0,54.0,54.0,54.0,55.0,48.0,54.0,54.0
136,54.0,56.0,54.0,54.0,56.0,54.0,54.0,55.0
137,59.0,60.0,59.0,59.0,60.0,49.0,59.0,55.0
138,48.0,53.0,48.0,47.0,50.0,47.0,47.0,48.0
139,44.0,49.0,44.0,45.0,49.0,49.0,45.0,45.0
140,49.0,49.0,49.0,48.0,53.0,49.0,48.0,49.0
141,53.0,58.0,53.0,52.0,55.0,52.0,52.0,53.0
142,49.0,54.0,49.0,50.0,54.0,54.0,50.0,50.0
143,54.0,54.0,54.0,53.0,58.0,54.0,53.0,54.0
144,50.0,49.0,50.0,50.0,56.0,48.0,50.0,53.0
145,49.0,51.0,49.0,49.0,54.0,54.0,49.0,50.0
146,54.0,51.0,54.0,54.0,57.0,49.0,54.0,54.0
147,55.0,58.0,55.0,54.0,55.0,54.0,54.0,57.0
148,54.0,55.0,54.0,55.0,54.0,58.0,55.0,55.0
149,59.0,55.0,59.0,58.0,57.0,54.0,58.0,59.0
150,55.0,54.0,55.0,55.0,56.0,53.0,55.0,58.0
151,54.0,56.0,54.0,54.0,55.0,59.0,54.0,55.0
