Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6
139,48.0,48.0,52.0,54.0,54.0,51.0,51.0
140,49.0,49.0,53.0,50.0,51.0,51.0,51.0
141,53.0,53.0,52.0,51.0,51.0,53.0,53.0
142,50.0,50.0,53.0,54.0,54.0,54.0,54.0
143,53.0,53.0,53.0,53.0,53.0,53.0,53.0
144,53.0,53.0,50.0,52.0,52.0,51.0,51.0
145,51.0,50.0,52.0,54.0,54.0,51.0,51.0
146,52.0,52.0,53.0,54.0,54.0,51.0,51.0
147,53.0,53.0,51.0,51.0,51.0,53.0,53.0
148,52.0,52.0,52.0,55.0,55.0,54.0,54.0
149,53.0,53.0,53.0,53.0,53.0,53.0,53.0
150,53.0,53.0,49.0,52.0,52.0,51.0,51.0
151,53.0,53.0,51.0,56.0,56.0,54.0,54.0
152,53.0,53.0,53.0,54.0,54.0,53.0,53.0
153,53.0,53.0,48.0,53.0,53.0,51.0,51.0
154,51.0,50.0,48.0,54.0,54.0,50.0,50.0
155,52.0,52.0,53.0,54.0,54.0,50.0,50.0
156,53.0,53.0,50.0,50.0,50.0,52.0,52.0
157,52.0,52.0,51.0,54.0,54.0,54.0,54.0
158,53.0,53.0,52.0,53.0,53.0,53.0,53.0
159,52.0,52.0,48.0,51.0,51.0,51.0,51.0
160,53.0,53.0,50.0,55.0,55.0,54.0,54.0
161,53.0,53.0,53.0,54.0,54.0,53.0,53.0
162,53.0,53.0,48.0,52.0,52.0,51.0,51.0
163,51.0,50.0,48.0,53.0,53.0,53.0,53.0
164,52.0,52.0,53.0,54.0,54.0,49.0,49.0
165,46.0,46.0,42.0,48.0,49.0,43.0,43.0
166,44.0,43.0,43.0,50.0,50.0,46.0,46.0
167,45.0,45.0,47.0,50.0,51.0,43.0,43.0
