Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
91,52.0,53.0,53.0,53.0,54.0,53.0,53.0,53.0,52.0,52.0,54.0,52.0,52.0,52.0
92,56.0,53.0,53.0,53.0,58.0,53.0,53.0,53.0,56.0,56.0,54.0,51.0,52.0,51.0
93,57.0,54.0,54.0,54.0,56.0,55.0,55.0,55.0,54.0,54.0,56.0,53.0,53.0,53.0
94,53.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,55.0,55.0,58.0,53.0,53.0,53.0
95,57.0,56.0,56.0,56.0,59.0,57.0,57.0,57.0,59.0,59.0,57.0,55.0,55.0,55.0
96,52.0,53.0,53.0,53.0,54.0,52.0,52.0,51.0,52.0,52.0,54.0,52.0,52.0,52.0
97,53.0,53.0,53.0,53.0,55.0,54.0,53.0,53.0,53.0,53.0,55.0,53.0,53.0,53.0
98,57.0,56.0,56.0,56.0,58.0,57.0,57.0,57.0,56.0,57.0,57.0,55.0,55.0,55.0
99,56.0,54.0,54.0,54.0,55.0,55.0,55.0,55.0,54.0,54.0,56.0,53.0,53.0,53.0
100,57.0,55.0,55.0,55.0,56.0,55.0,55.0,55.0,55.0,55.0,57.0,54.0,54.0,54.0
101,58.0,58.0,58.0,58.0,60.0,57.0,57.0,57.0,59.0,59.0,57.0,57.0,57.0,57.0
102,56.0,52.0,52.0,52.0,56.0,52.0,52.0,51.0,52.0,52.0,56.0,51.0,51.0,51.0
103,57.0,53.0,53.0,53.0,57.0,54.0,53.0,53.0,52.0,53.0,57.0,52.0,52.0,52.0
104,58.0,58.0,58.0,58.0,58.0,57.0,57.0,57.0,56.0,57.0,57.0,57.0,57.0,57.0
105,52.0,50.0,50.0,50.0,53.0,47.0,47.0,47.0,52.0,52.0,52.0,49.0,49.0,49.0
106,53.0,49.0,49.0,49.0,54.0,50.0,50.0,50.0,53.0,53.0,54.0,48.0,48.0,48.0
107,57.0,54.0,54.0,54.0,57.0,53.0,53.0,53.0,57.0,57.0,57.0,53.0,53.0,53.0
108,47.0,48.0,48.0,48.0,47.0,48.0,48.0,48.0,47.0,47.0,52.0,47.0,47.0,47.0
