Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
148,54.0,54.0,54.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,50.0,50.0,50.0,50.0
149,55.0,55.0,55.0,55.0,55.0,55.0,54.0,54.0,53.0,53.0,46.0,46.0,46.0,46.0
150,51.0,51.0,52.0,51.0,51.0,52.0,48.0,48.0,48.0,48.0,44.0,44.0,44.0,44.0
151,55.0,55.0,53.0,55.0,55.0,53.0,53.0,53.0,53.0,53.0,50.0,50.0,50.0,50.0
152,53.0,53.0,54.0,53.0,53.0,54.0,53.0,53.0,53.0,53.0,46.0,46.0,46.0,46.0
153,48.0,48.0,48.0,48.0,48.0,48.0,47.0,47.0,48.0,46.0,43.0,43.0,44.0,44.0
154,51.0,51.0,49.0,51.0,51.0,49.0,49.0,49.0,47.0,47.0,47.0,47.0,47.0,47.0
155,50.0,50.0,53.0,50.0,50.0,53.0,49.0,49.0,49.0,49.0,45.0,45.0,46.0,46.0
156,50.0,50.0,53.0,50.0,50.0,53.0,47.0,47.0,48.0,48.0,42.0,42.0,43.0,43.0
157,53.0,53.0,53.0,53.0,53.0,53.0,52.0,52.0,52.0,52.0,49.0,49.0,49.0,49.0
158,54.0,54.0,55.0,54.0,54.0,55.0,53.0,53.0,52.0,52.0,45.0,45.0,45.0,45.0
159,51.0,51.0,52.0,51.0,51.0,52.0,47.0,47.0,48.0,48.0,43.0,43.0,43.0,43.0
160,54.0,54.0,53.0,54.0,54.0,53.0,52.0,52.0,53.0,53.0,49.0,49.0,49.0,49.0
161,53.0,53.0,54.0,53.0,53.0,54.0,53.0,53.0,53.0,53.0,45.0,45.0,45.0,45.0
162,49.0,49.0,49.0,49.0,49.0,49.0,47.0,47.0,48.0,47.0,43.0,43.0,43.0,43.0
163,50.0,50.0,49.0,50.0,50.0,49.0,49.0,49.0,48.0,49.0,47.0,47.0,47.0,47.0
164,50.0,50.0,53.0,51.0,50.0,53.0,49.0,49.0,49.0,49.0,45.0,45.0,45.0,45.0
165,45.0,45.0,45.0,45.0,45.0,45.0,43.0,43.0,44.0,43.0,40.0,40.0,41.0,42.0
166,46.0,46.0,45.0,46.0,46.0,45.0,44.0,44.0,44.0,45.0,42.0,42.0,42.0,42.0
167,46.0,46.0,49.0,47.0,46.0,49.0,45.0,45.0,45.0,45.0,42.0,42.0,42.0,43.0
