Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
100,45.0,45.0,40.0,40.0,44.0,42.0,42.0,42.0,41.0,40.0,38.0,40.0,44.0,44.0,39.0,44.0
101,47.0,47.0,40.0,40.0,46.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,43.0,43.0,44.0,43.0
102,46.0,46.0,37.0,37.0,46.0,38.0,38.0,38.0,38.0,40.0,38.0,40.0,43.0,43.0,43.0,43.0
103,42.0,42.0,40.0,39.0,42.0,40.0,40.0,40.0,41.0,40.0,39.0,40.0,40.0,40.0,39.0,40.0
104,48.0,48.0,41.0,41.0,47.0,41.0,41.0,41.0,41.0,41.0,43.0,41.0,44.0,44.0,45.0,44.0
105,40.0,40.0,36.0,37.0,40.0,37.0,36.0,37.0,37.0,40.0,37.0,40.0,38.0,38.0,38.0,38.0
106,36.0,36.0,37.0,38.0,37.0,37.0,37.0,37.0,38.0,40.0,36.0,40.0,35.0,35.0,34.0,35.0
107,42.0,42.0,37.0,38.0,41.0,38.0,38.0,38.0,38.0,41.0,39.0,41.0,39.0,39.0,40.0,39.0
108,33.0,33.0,37.0,37.0,35.0,32.0,35.0,32.0,37.0,37.0,35.0,37.0,35.0,35.0,31.0,35.0
109,33.0,33.0,38.0,38.0,35.0,30.0,37.0,30.0,37.0,32.0,32.0,32.0,35.0,35.0,33.0,35.0
110,37.0,37.0,40.0,40.0,36.0,32.0,36.0,32.0,38.0,38.0,32.0,38.0,36.0,36.0,36.0,36.0
111,37.0,37.0,37.0,37.0,37.0,34.0,35.0,34.0,36.0,35.0,39.0,35.0,36.0,36.0,37.0,36.0
112,36.0,36.0,39.0,39.0,37.0,33.0,36.0,33.0,37.0,34.0,36.0,34.0,37.0,37.0,36.0,37.0
113,42.0,42.0,41.0,41.0,41.0,37.0,37.0,37.0,37.0,37.0,36.0,37.0,41.0,41.0,42.0,41.0
114,40.0,40.0,37.0,37.0,41.0,38.0,37.0,38.0,38.0,37.0,38.0,37.0,39.0,39.0,37.0,39.0
115,38.0,38.0,39.0,39.0,40.0,37.0,40.0,37.0,41.0,40.0,36.0,40.0,40.0,40.0,35.0,40.0
116,41.0,43.0,41.0,41.0,42.0,41.0,41.0,41.0,41.0,42.0,38.0,42.0,40.0,40.0,41.0,40.0
117,35.0,35.0,37.0,37.0,38.0,32.0,34.0,32.0,38.0,38.0,36.0,38.0,35.0,35.0,33.0,35.0
118,35.0,35.0,38.0,38.0,37.0,32.0,37.0,32.0,39.0,37.0,37.0,37.0,35.0,35.0,33.0,35.0
119,40.0,40.0,38.0,38.0,43.0,36.0,36.0,36.0,39.0,43.0,37.0,43.0,40.0,40.0,38.0,40.0
120,36.0,36.0,39.0,36.0,40.0,33.0,34.0,33.0,35.0,33.0,38.0,33.0,37.0,37.0,36.0,37.0
121,40.0,40.0,40.0,40.0,40.0,37.0,37.0,37.0,37.0,33.0,36.0,33.0,39.0,39.0,36.0,39.0
