Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
124,51.0,46.0,48.0,47.0,46.0,49.0,50.0,50.0,47.0,46.0,52.0,48.0,46.0
125,51.0,47.0,49.0,49.0,47.0,49.0,52.0,52.0,48.0,47.0,52.0,47.0,47.0
126,41.0,43.0,43.0,43.0,43.0,43.0,47.0,47.0,43.0,43.0,47.0,44.0,45.0
127,46.0,47.0,47.0,47.0,47.0,48.0,50.0,50.0,48.0,46.0,52.0,47.0,46.0
128,47.0,47.0,47.0,47.0,47.0,49.0,49.0,49.0,48.0,47.0,49.0,48.0,47.0
129,46.0,45.0,44.0,44.0,45.0,43.0,47.0,47.0,41.0,41.0,50.0,42.0,43.0
130,50.0,46.0,47.0,46.0,46.0,48.0,49.0,49.0,46.0,45.0,51.0,47.0,45.0
131,50.0,50.0,50.0,50.0,50.0,49.0,52.0,52.0,47.0,46.0,52.0,46.0,46.0
132,45.0,45.0,45.0,45.0,45.0,43.0,46.0,46.0,42.0,42.0,49.0,43.0,44.0
133,46.0,46.0,46.0,46.0,46.0,48.0,49.0,49.0,47.0,45.0,51.0,47.0,45.0
134,51.0,51.0,51.0,51.0,51.0,49.0,50.0,50.0,48.0,47.0,52.0,47.0,46.0
135,39.0,43.0,43.0,43.0,43.0,43.0,45.0,45.0,43.0,41.0,46.0,43.0,40.0
136,42.0,44.0,44.0,44.0,44.0,44.0,46.0,46.0,43.0,42.0,48.0,43.0,45.0
137,45.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,48.0,45.0,47.0,47.0,46.0
138,42.0,41.0,43.0,44.0,44.0,44.0,45.0,45.0,44.0,46.0,48.0,46.0,43.0
139,47.0,43.0,44.0,45.0,43.0,49.0,49.0,49.0,45.0,47.0,48.0,46.0,50.0
140,47.0,42.0,45.0,47.0,47.0,49.0,49.0,49.0,45.0,50.0,48.0,50.0,45.0
141,46.0,44.0,44.0,46.0,46.0,44.0,48.0,48.0,44.0,46.0,51.0,46.0,43.0
142,51.0,46.0,49.0,49.0,46.0,49.0,52.0,52.0,47.0,47.0,52.0,46.0,50.0
143,51.0,46.0,48.0,49.0,47.0,49.0,53.0,53.0,48.0,50.0,51.0,50.0,45.0
144,45.0,43.0,43.0,44.0,44.0,44.0,47.0,47.0,43.0,43.0,48.0,43.0,43.0
145,47.0,47.0,47.0,47.0,47.0,49.0,49.0,49.0,48.0,47.0,48.0,46.0,47.0
146,46.0,47.0,47.0,47.0,47.0,49.0,48.0,48.0,49.0,47.0,48.0,46.0,45.0
147,48.0,45.0,45.0,46.0,46.0,43.0,48.0,48.0,43.0,45.0,51.0,45.0,44.0
148,51.0,50.0,50.0,50.0,50.0,48.0,52.0,52.0,47.0,46.0,52.0,45.0,49.0
149,51.0,49.0,49.0,49.0,49.0,48.0,53.0,53.0,48.0,49.0,52.0,49.0,45.0
150,49.0,46.0,46.0,47.0,47.0,43.0,47.0,47.0,43.0,45.0,51.0,45.0,45.0
151,51.0,51.0,51.0,51.0,51.0,48.0,50.0,50.0,48.0,47.0,52.0,45.0,49.0
152,48.0,50.0,50.0,50.0,50.0,49.0,49.0,49.0,49.0,49.0,52.0,49.0,46.0
153,43.0,44.0,44.0,44.0,44.0,44.0,46.0,46.0,44.0,46.0,47.0,46.0,44.0
154,46.0,47.0,47.0,47.0,47.0,48.0,47.0,47.0,48.0,46.0,46.0,46.0,50.0
155,46.0,47.0,47.0,48.0,48.0,49.0,48.0,48.0,49.0,50.0,46.0,50.0,46.0
156,47.0,45.0,44.0,45.0,45.0,42.0,47.0,47.0,42.0,44.0,50.0,44.0,43.0
157,50.0,49.0,49.0,49.0,49.0,47.0,51.0,51.0,46.0,45.0,51.0,44.0,48.0
158,50.0,48.0,48.0,48.0,48.0,47.0,52.0,52.0,47.0,48.0,51.0,48.0,44.0
159,48.0,45.0,45.0,46.0,46.0,43.0,47.0,47.0,42.0,44.0,50.0,44.0,44.0
160,50.0,50.0,50.0,50.0,50.0,48.0,49.0,49.0,47.0,46.0,51.0,45.0,48.0
161,47.0,49.0,49.0,49.0,49.0,48.0,49.0,49.0,48.0,48.0,51.0,48.0,45.0
162,45.0,45.0,45.0,45.0,45.0,43.0,46.0,46.0,43.0,45.0,47.0,45.0,43.0
163,46.0,46.0,46.0,46.0,46.0,47.0,47.0,47.0,47.0,45.0,47.0,45.0,49.0
164,47.0,47.0,47.0,47.0,47.0,48.0,48.0,48.0,48.0,49.0,48.0,49.0,45.0
165,39.0,42.0,42.0,43.0,43.0,43.0,45.0,45.0,43.0,41.0,46.0,41.0,40.0
166,42.0,43.0,43.0,43.0,43.0,43.0,46.0,46.0,43.0,42.0,43.0,41.0,45.0
167,41.0,46.0,46.0,47.0,47.0,48.0,46.0,46.0,48.0,45.0,42.0,45.0,42.0
