Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
98,35.0,40.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
99,38.0,38.0,37.0,37.0,37.0,37.0,39.0,37.0,37.0,37.0
100,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
101,35.0,39.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0
102,37.0,38.0,38.0,38.0,38.0,38.0,39.0,38.0,38.0,38.0
103,39.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
104,34.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
105,33.0,38.0,39.0,39.0,39.0,39.0,40.0,39.0,39.0,39.0
106,32.0,33.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
107,28.0,35.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
108,27.0,32.0,32.0,32.0,32.0,32.0,30.0,33.0,33.0,33.0
109,32.0,34.0,31.0,31.0,31.0,31.0,29.0,31.0,31.0,31.0
110,28.0,34.0,32.0,32.0,32.0,32.0,30.0,31.0,31.0,31.0
111,34.0,39.0,30.0,30.0,30.0,30.0,31.0,30.0,30.0,32.0
112,40.0,40.0,29.0,29.0,29.0,29.0,30.0,29.0,29.0,31.0
113,35.0,41.0,32.0,32.0,32.0,32.0,32.0,30.0,30.0,32.0
114,33.0,38.0,30.0,30.0,30.0,30.0,31.0,32.0,32.0,32.0
115,39.0,40.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,34.0
116,35.0,40.0,35.0,35.0,35.0,35.0,35.0,32.0,32.0,35.0
117,27.0,32.0,31.0,31.0,31.0,31.0,32.0,33.0,33.0,33.0
118,33.0,34.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,35.0
119,28.0,34.0,36.0,36.0,36.0,36.0,36.0,33.0,33.0,36.0
120,33.0,39.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
121,41.0,41.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,32.0
122,37.0,41.0,34.0,34.0,34.0,34.0,34.0,31.0,31.0,31.0
123,34.0,39.0,31.0,31.0,31.0,31.0,33.0,31.0,31.0,32.0
124,41.0,41.0,33.0,33.0,33.0,33.0,34.0,33.0,33.0,35.0
125,37.0,41.0,37.0,37.0,37.0,37.0,37.0,33.0,33.0,34.0
126,34.0,39.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0
127,41.0,40.0,34.0,34.0,34.0,34.0,35.0,34.0,34.0,36.0
128,36.0,41.0,37.0,37.0,37.0,37.0,37.0,34.0,34.0,34.0
129,33.0,38.0,30.0,30.0,30.0,30.0,32.0,30.0,30.0,31.0
130,40.0,40.0,32.0,32.0,32.0,32.0,34.0,32.0,32.0,35.0
131,36.0,40.0,36.0,36.0,36.0,36.0,36.0,32.0,32.0,36.0
132,34.0,39.0,31.0,31.0,31.0,31.0,32.0,31.0,31.0,31.0
133,40.0,41.0,33.0,33.0,33.0,33.0,35.0,33.0,33.0,36.0
134,35.0,41.0,36.0,36.0,36.0,36.0,36.0,33.0,33.0,37.0
135,27.0,32.0,32.0,32.0,32.0,32.0,33.0,32.0,32.0,32.0
136,33.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
137,29.0,34.0,37.0,37.0,37.0,37.0,37.0,34.0,34.0,38.0
138,37.0,40.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
139,36.0,33.0,31.0,31.0,31.0,31.0,33.0,31.0,31.0,31.0
140,35.0,34.0,36.0,36.0,36.0,36.0,31.0,31.0,31.0,31.0
141,37.0,40.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,31.0
142,36.0,34.0,33.0,33.0,33.0,33.0,36.0,33.0,33.0,33.0
143,35.0,35.0,38.0,38.0,38.0,38.0,34.0,33.0,33.0,33.0
144,33.0,40.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,32.0
145,32.0,33.0,34.0,34.0,34.0,34.0,36.0,34.0,34.0,34.0
146,32.0,36.0,39.0,39.0,39.0,39.0,34.0,34.0,34.0,34.0
147,36.0,40.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,33.0
148,35.0,34.0,32.0,32.0,32.0,32.0,36.0,32.0,32.0,36.0
149,34.0,34.0,37.0,37.0,37.0,37.0,34.0,32.0,32.0,32.0
150,33.0,39.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,34.0
151,32.0,33.0,33.0,33.0,33.0,33.0,36.0,33.0,33.0,37.0
152,32.0,35.0,38.0,38.0,38.0,38.0,34.0,33.0,33.0,33.0
153,33.0,39.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,35.0
154,32.0,32.0,34.0,34.0,34.0,34.0,36.0,34.0,34.0,38.0
155,31.0,33.0,39.0,39.0,39.0,39.0,34.0,34.0,34.0,34.0
156,35.0,39.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,32.0
157,34.0,33.0,31.0,31.0,31.0,31.0,35.0,31.0,31.0,35.0
158,33.0,33.0,36.0,36.0,36.0,36.0,33.0,31.0,31.0,33.0
159,33.0,38.0,31.0,31.0,31.0,31.0,31.0,30.0,30.0,33.0
160,32.0,32.0,32.0,32.0,32.0,32.0,35.0,32.0,32.0,36.0
161,32.0,34.0,37.0,37.0,37.0,37.0,33.0,32.0,32.0,34.0
162,33.0,39.0,32.0,32.0,32.0,32.0,32.0,31.0,31.0,34.0
163,32.0,33.0,33.0,33.0,33.0,33.0,36.0,33.0,33.0,37.0
164,32.0,35.0,38.0,38.0,38.0,38.0,34.0,33.0,33.0,35.0
165,27.0,32.0,33.0,33.0,33.0,33.0,33.0,32.0,32.0,34.0
166,32.0,29.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
167,28.0,32.0,39.0,39.0,39.0,39.0,34.0,34.0,34.0,36.0
