Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
83,52.0,47.0,48.0,48.0,48.0,52.0,52.0,52.0,52.0,48.0,47.0,52.0,52.0,47.0,52.0,48.0
84,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
85,47.0,47.0,51.0,51.0,51.0,47.0,46.0,47.0,51.0,51.0,47.0,51.0,46.0,47.0,47.0,51.0
86,51.0,46.0,49.0,48.0,48.0,51.0,51.0,51.0,51.0,47.0,47.0,51.0,51.0,47.0,51.0,47.0
87,48.0,50.0,47.0,48.0,47.0,47.0,47.0,48.0,47.0,50.0,50.0,48.0,47.0,50.0,48.0,50.0
88,47.0,48.0,48.0,47.0,47.0,48.0,47.0,47.0,47.0,48.0,48.0,47.0,47.0,48.0,47.0,48.0
89,45.0,42.0,46.0,45.0,45.0,46.0,45.0,45.0,45.0,46.0,46.0,45.0,45.0,46.0,45.0,46.0
90,51.0,48.0,50.0,51.0,50.0,48.0,48.0,51.0,50.0,50.0,49.0,51.0,48.0,49.0,51.0,50.0
91,48.0,47.0,48.0,49.0,48.0,47.0,47.0,48.0,48.0,48.0,47.0,49.0,47.0,47.0,48.0,48.0
92,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,48.0,52.0,52.0,49.0,52.0,52.0,52.0,52.0
93,51.0,50.0,49.0,51.0,49.0,48.0,48.0,51.0,49.0,50.0,50.0,51.0,48.0,50.0,51.0,50.0
94,51.0,52.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,51.0,51.0,52.0,51.0,52.0
95,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0,51.0,51.0,53.0,51.0,53.0
96,51.0,48.0,48.0,51.0,48.0,48.0,48.0,51.0,48.0,50.0,50.0,51.0,48.0,50.0,51.0,50.0
97,49.0,53.0,49.0,49.0,48.0,49.0,48.0,49.0,48.0,53.0,53.0,49.0,48.0,53.0,49.0,53.0
98,49.0,47.0,47.0,48.0,47.0,47.0,47.0,49.0,47.0,52.0,52.0,49.0,47.0,52.0,49.0,52.0
99,50.0,50.0,48.0,50.0,48.0,48.0,48.0,50.0,48.0,50.0,50.0,50.0,48.0,50.0,50.0,50.0
100,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
101,52.0,50.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
102,50.0,50.0,49.0,50.0,49.0,49.0,49.0,50.0,49.0,50.0,50.0,50.0,49.0,50.0,50.0,50.0
103,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
104,51.0,47.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
105,43.0,46.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,46.0,46.0,43.0,43.0,46.0,43.0,46.0
106,48.0,48.0,48.0,48.0,47.0,48.0,47.0,48.0,47.0,48.0,48.0,48.0,47.0,48.0,48.0,48.0
107,47.0,43.0,45.0,47.0,45.0,45.0,45.0,47.0,45.0,47.0,47.0,47.0,45.0,47.0,47.0,47.0
108,41.0,44.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,44.0,44.0,41.0,41.0,44.0,41.0,44.0
109,41.0,42.0,40.0,41.0,40.0,40.0,40.0,41.0,40.0,42.0,41.0,41.0,40.0,41.0,41.0,42.0
110,41.0,41.0,41.0,41.0,40.0,41.0,40.0,41.0,40.0,41.0,40.0,41.0,40.0,40.0,41.0,41.0
111,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
112,47.0,48.0,48.0,47.0,47.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
113,47.0,48.0,48.0,47.0,47.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
114,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
115,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
116,48.0,47.0,49.0,48.0,48.0,49.0,48.0,48.0,48.0,46.0,46.0,48.0,48.0,46.0,48.0,46.0
117,42.0,44.0,41.0,42.0,41.0,41.0,41.0,42.0,41.0,44.0,44.0,42.0,41.0,44.0,42.0,44.0
118,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
119,43.0,43.0,44.0,43.0,43.0,44.0,43.0,43.0,43.0,42.0,42.0,43.0,43.0,42.0,43.0,42.0
120,49.0,47.0,47.0,49.0,47.0,47.0,47.0,49.0,46.0,47.0,47.0,49.0,47.0,47.0,49.0,47.0
121,49.0,48.0,48.0,49.0,47.0,48.0,47.0,49.0,47.0,48.0,48.0,49.0,47.0,48.0,49.0,48.0
122,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,47.0,53.0,53.0,49.0,53.0,53.0,53.0,47.0
123,49.0,48.0,48.0,49.0,46.0,48.0,46.0,49.0,46.0,48.0,48.0,49.0,46.0,48.0,49.0,48.0
124,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
125,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
126,49.0,46.0,47.0,49.0,46.0,47.0,46.0,49.0,46.0,48.0,48.0,49.0,46.0,48.0,49.0,48.0
127,50.0,49.0,49.0,50.0,49.0,49.0,49.0,50.0,49.0,49.0,49.0,50.0,49.0,49.0,50.0,49.0
128,49.0,48.0,48.0,49.0,47.0,48.0,47.0,49.0,47.0,48.0,48.0,49.0,47.0,48.0,49.0,48.0
129,48.0,48.0,47.0,48.0,46.0,47.0,46.0,48.0,46.0,48.0,48.0,48.0,46.0,48.0,48.0,48.0
130,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
131,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
132,48.0,48.0,47.0,48.0,47.0,47.0,47.0,48.0,47.0,48.0,48.0,48.0,47.0,48.0,48.0,48.0
133,49.0,49.0,48.0,49.0,48.0,48.0,48.0,49.0,48.0,49.0,49.0,49.0,48.0,49.0,49.0,49.0
134,50.0,48.0,48.0,50.0,48.0,48.0,48.0,50.0,48.0,48.0,48.0,50.0,48.0,48.0,50.0,48.0
135,42.0,44.0,41.0,42.0,41.0,41.0,41.0,42.0,41.0,44.0,44.0,42.0,41.0,44.0,42.0,44.0
136,49.0,49.0,48.0,49.0,48.0,48.0,48.0,49.0,48.0,49.0,49.0,49.0,48.0,49.0,49.0,49.0
137,45.0,44.0,43.0,45.0,43.0,43.0,43.0,45.0,43.0,44.0,44.0,45.0,43.0,44.0,45.0,44.0
138,48.0,46.0,46.0,48.0,46.0,46.0,46.0,48.0,46.0,47.0,47.0,47.0,46.0,47.0,48.0,47.0
