Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
129,42.0,42.0,42.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
130,41.0,41.0,39.0,42.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
131,41.0,43.0,40.0,43.0,43.0,45.0,45.0,45.0,45.0,43.0,43.0
132,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
133,42.0,42.0,40.0,41.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
134,42.0,44.0,41.0,44.0,44.0,46.0,46.0,46.0,46.0,44.0,44.0
135,44.0,44.0,44.0,41.0,45.0,44.0,43.0,43.0,44.0,45.0,45.0
136,42.0,42.0,40.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
137,43.0,45.0,42.0,45.0,45.0,46.0,45.0,45.0,46.0,45.0,45.0
138,44.0,44.0,42.0,43.0,39.0,41.0,41.0,41.0,41.0,39.0,40.0
139,42.0,42.0,41.0,43.0,40.0,43.0,43.0,43.0,43.0,39.0,41.0
140,42.0,43.0,41.0,43.0,41.0,40.0,40.0,41.0,41.0,41.0,41.0
141,43.0,43.0,43.0,44.0,43.0,42.0,42.0,43.0,43.0,42.0,44.0
142,43.0,43.0,42.0,44.0,44.0,42.0,42.0,42.0,42.0,44.0,44.0
143,43.0,43.0,42.0,43.0,41.0,42.0,42.0,43.0,43.0,41.0,44.0
144,44.0,44.0,44.0,45.0,44.0,43.0,43.0,44.0,44.0,43.0,45.0
145,42.0,42.0,40.0,45.0,45.0,43.0,43.0,43.0,43.0,45.0,45.0
146,44.0,44.0,42.0,42.0,41.0,43.0,43.0,44.0,44.0,41.0,45.0
147,44.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,44.0
148,44.0,44.0,42.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,44.0
149,42.0,42.0,41.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
150,45.0,45.0,45.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,45.0
151,43.0,44.0,41.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0,45.0
152,43.0,43.0,41.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
153,44.0,45.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
154,44.0,45.0,42.0,46.0,46.0,45.0,45.0,45.0,45.0,45.0,46.0
155,43.0,43.0,42.0,47.0,47.0,46.0,46.0,46.0,46.0,47.0,47.0
156,43.0,43.0,43.0,43.0,43.0,42.0,42.0,42.0,42.0,42.0,44.0
157,43.0,43.0,43.0,43.0,44.0,42.0,42.0,42.0,42.0,44.0,44.0
158,43.0,44.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
159,44.0,44.0,44.0,44.0,44.0,43.0,43.0,43.0,43.0,43.0,45.0
160,44.0,44.0,44.0,44.0,45.0,43.0,43.0,43.0,43.0,45.0,45.0
161,44.0,45.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
162,43.0,44.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
163,45.0,45.0,45.0,45.0,46.0,44.0,44.0,44.0,44.0,46.0,46.0
164,45.0,46.0,45.0,46.0,46.0,45.0,45.0,45.0,45.0,46.0,46.0
165,44.0,45.0,44.0,41.0,38.0,42.0,42.0,43.0,43.0,38.0,40.0
166,46.0,46.0,46.0,41.0,45.0,41.0,41.0,41.0,41.0,45.0,45.0
167,46.0,47.0,46.0,43.0,41.0,41.0,40.0,41.0,42.0,41.0,45.0
