Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
101,61.0,61.0,63.0,59.0,59.0,60.0,60.0,62.0,58.0,58.0,58.0,58.0,60.0,58.0,60.0
102,59.0,56.0,59.0,57.0,55.0,60.0,55.0,60.0,57.0,57.0,57.0,58.0,60.0,59.0,55.0
103,60.0,58.0,60.0,59.0,59.0,61.0,61.0,60.0,59.0,58.0,59.0,58.0,61.0,58.0,57.0
104,61.0,62.0,63.0,59.0,59.0,61.0,60.0,62.0,59.0,59.0,59.0,59.0,61.0,58.0,61.0
105,55.0,52.0,56.0,55.0,55.0,56.0,56.0,57.0,58.0,58.0,58.0,59.0,56.0,55.0,51.0
106,56.0,57.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,56.0
107,60.0,58.0,60.0,59.0,57.0,58.0,60.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0,57.0
108,54.0,53.0,52.0,56.0,56.0,52.0,52.0,53.0,52.0,53.0,53.0,52.0,52.0,50.0,52.0
109,55.0,55.0,55.0,57.0,57.0,56.0,56.0,55.0,55.0,58.0,55.0,55.0,56.0,51.0,55.0
110,59.0,53.0,56.0,60.0,57.0,57.0,57.0,58.0,56.0,56.0,56.0,56.0,57.0,56.0,53.0
111,57.0,56.0,56.0,58.0,57.0,55.0,55.0,58.0,56.0,58.0,56.0,56.0,55.0,55.0,55.0
112,56.0,58.0,60.0,57.0,56.0,56.0,56.0,59.0,58.0,58.0,58.0,58.0,56.0,55.0,58.0
113,61.0,57.0,60.0,61.0,57.0,57.0,57.0,62.0,58.0,58.0,58.0,58.0,57.0,56.0,57.0
114,56.0,55.0,55.0,57.0,56.0,55.0,55.0,57.0,55.0,57.0,55.0,55.0,55.0,54.0,54.0
115,55.0,57.0,59.0,60.0,55.0,56.0,56.0,58.0,57.0,57.0,57.0,57.0,56.0,54.0,57.0
116,60.0,57.0,59.0,60.0,56.0,56.0,56.0,61.0,57.0,57.0,57.0,57.0,56.0,55.0,56.0
117,53.0,54.0,53.0,57.0,57.0,52.0,52.0,54.0,53.0,53.0,53.0,53.0,52.0,50.0,53.0
118,54.0,55.0,56.0,57.0,54.0,56.0,56.0,55.0,58.0,58.0,58.0,58.0,56.0,51.0,54.0
119,57.0,58.0,56.0,61.0,57.0,56.0,56.0,58.0,58.0,58.0,58.0,58.0,56.0,55.0,57.0
120,55.0,55.0,54.0,58.0,54.0,55.0,55.0,57.0,58.0,58.0,58.0,58.0,55.0,53.0,55.0
121,60.0,58.0,55.0,60.0,56.0,56.0,56.0,61.0,55.0,55.0,55.0,55.0,57.0,54.0,57.0
122,57.0,57.0,55.0,58.0,58.0,56.0,56.0,63.0,59.0,59.0,59.0,59.0,56.0,56.0,57.0
123,55.0,56.0,55.0,58.0,55.0,54.0,54.0,56.0,57.0,57.0,57.0,57.0,54.0,54.0,55.0
124,59.0,57.0,54.0,60.0,55.0,56.0,56.0,60.0,57.0,59.0,57.0,57.0,56.0,56.0,57.0
125,57.0,62.0,57.0,61.0,61.0,56.0,56.0,62.0,60.0,60.0,60.0,60.0,56.0,55.0,61.0
126,56.0,57.0,56.0,59.0,55.0,54.0,54.0,57.0,58.0,58.0,58.0,58.0,54.0,55.0,56.0
127,56.0,58.0,55.0,60.0,56.0,56.0,56.0,58.0,58.0,60.0,58.0,58.0,56.0,57.0,57.0
128,58.0,63.0,58.0,61.0,61.0,56.0,56.0,63.0,61.0,61.0,61.0,61.0,56.0,56.0,62.0
129,54.0,55.0,54.0,57.0,54.0,54.0,54.0,56.0,56.0,56.0,56.0,56.0,54.0,53.0,54.0
130,58.0,57.0,54.0,59.0,54.0,56.0,56.0,59.0,56.0,58.0,56.0,56.0,56.0,55.0,57.0
131,56.0,61.0,56.0,60.0,60.0,56.0,56.0,62.0,59.0,59.0,59.0,59.0,56.0,55.0,60.0
132,55.0,56.0,55.0,58.0,54.0,54.0,54.0,56.0,57.0,57.0,57.0,57.0,54.0,54.0,55.0
133,55.0,57.0,54.0,60.0,55.0,56.0,56.0,57.0,57.0,59.0,57.0,57.0,56.0,56.0,57.0
134,57.0,62.0,57.0,60.0,60.0,56.0,56.0,62.0,60.0,60.0,60.0,60.0,56.0,55.0,61.0
135,50.0,52.0,52.0,55.0,51.0,50.0,52.0,52.0,54.0,54.0,54.0,55.0,50.0,49.0,51.0
136,51.0,54.0,50.0,57.0,51.0,52.0,52.0,54.0,58.0,58.0,58.0,58.0,52.0,51.0,53.0
137,55.0,58.0,52.0,60.0,57.0,52.0,52.0,58.0,59.0,59.0,59.0,59.0,52.0,51.0,57.0
138,51.0,55.0,53.0,55.0,54.0,49.0,49.0,56.0,53.0,54.0,53.0,52.0,54.0,49.0,54.0
139,54.0,58.0,56.0,57.0,57.0,55.0,55.0,62.0,54.0,53.0,54.0,53.0,55.0,55.0,56.0
140,53.0,57.0,56.0,55.0,55.0,51.0,51.0,58.0,54.0,53.0,54.0,53.0,51.0,51.0,56.0
141,51.0,59.0,56.0,58.0,55.0,49.0,49.0,57.0,57.0,57.0,57.0,57.0,54.0,53.0,58.0
142,57.0,62.0,59.0,60.0,60.0,55.0,55.0,61.0,58.0,54.0,58.0,54.0,55.0,54.0,60.0
143,58.0,58.0,59.0,56.0,56.0,55.0,55.0,60.0,58.0,58.0,58.0,58.0,55.0,55.0,57.0
144,52.0,60.0,57.0,59.0,56.0,49.0,49.0,58.0,58.0,58.0,58.0,58.0,54.0,54.0,59.0
145,58.0,62.0,59.0,60.0,60.0,55.0,55.0,62.0,59.0,55.0,59.0,55.0,56.0,55.0,61.0
146,59.0,58.0,59.0,57.0,57.0,55.0,55.0,60.0,59.0,59.0,59.0,59.0,56.0,56.0,58.0
147,50.0,58.0,55.0,57.0,54.0,49.0,49.0,56.0,56.0,56.0,56.0,56.0,54.0,52.0,57.0
148,56.0,61.0,58.0,59.0,59.0,55.0,55.0,61.0,57.0,56.0,57.0,56.0,55.0,54.0,59.0
149,57.0,59.0,58.0,59.0,59.0,55.0,55.0,60.0,57.0,57.0,57.0,57.0,55.0,54.0,58.0
150,51.0,59.0,56.0,58.0,55.0,49.0,49.0,57.0,57.0,57.0,57.0,57.0,54.0,53.0,58.0
151,57.0,61.0,58.0,60.0,59.0,55.0,55.0,61.0,58.0,57.0,58.0,57.0,55.0,54.0,60.0
152,58.0,60.0,58.0,60.0,60.0,55.0,55.0,60.0,58.0,58.0,58.0,58.0,55.0,55.0,59.0
153,52.0,56.0,53.0,58.0,54.0,49.0,49.0,56.0,56.0,57.0,56.0,56.0,50.0,53.0,55.0
154,54.0,57.0,55.0,56.0,56.0,55.0,55.0,57.0,58.0,58.0,58.0,58.0,55.0,55.0,56.0
155,54.0,58.0,55.0,60.0,60.0,55.0,55.0,58.0,55.0,56.0,57.0,56.0,55.0,51.0,57.0
156,49.0,57.0,54.0,56.0,53.0,48.0,48.0,55.0,55.0,55.0,55.0,55.0,53.0,51.0,56.0
