Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
71,51.0,51.0,52.0,57.0,50.0,50.0,58.0,54.0,58.0,52.0,57.0,57.0,57.0,57.0,57.0
72,59.0,59.0,59.0,59.0,58.0,58.0,54.0,58.0,58.0,58.0,58.0,56.0,56.0,56.0,56.0
73,56.0,61.0,56.0,61.0,60.0,56.0,57.0,57.0,56.0,55.0,60.0,61.0,61.0,61.0,61.0
74,52.0,57.0,52.0,57.0,56.0,57.0,58.0,54.0,57.0,51.0,56.0,57.0,57.0,57.0,57.0
75,59.0,59.0,51.0,55.0,59.0,59.0,46.0,55.0,50.0,49.0,54.0,50.0,50.0,50.0,50.0
76,56.0,61.0,51.0,53.0,61.0,57.0,50.0,51.0,50.0,50.0,51.0,53.0,53.0,53.0,53.0
77,52.0,57.0,48.0,49.0,57.0,58.0,50.0,47.0,48.0,47.0,47.0,49.0,49.0,49.0,49.0
78,59.0,59.0,50.0,56.0,58.0,58.0,44.0,52.0,52.0,50.0,55.0,47.0,47.0,47.0,51.0
79,57.0,61.0,55.0,61.0,60.0,55.0,51.0,57.0,55.0,55.0,60.0,52.0,52.0,52.0,56.0
80,54.0,57.0,51.0,57.0,56.0,52.0,48.0,53.0,52.0,51.0,56.0,48.0,48.0,48.0,52.0
81,53.0,55.0,59.0,59.0,54.0,51.0,52.0,58.0,59.0,59.0,59.0,56.0,56.0,56.0,56.0
82,51.0,55.0,56.0,61.0,51.0,50.0,57.0,57.0,57.0,56.0,61.0,61.0,61.0,61.0,61.0
83,51.0,51.0,52.0,57.0,50.0,50.0,58.0,54.0,58.0,52.0,57.0,57.0,57.0,57.0,57.0
84,59.0,59.0,59.0,59.0,58.0,58.0,52.0,58.0,58.0,58.0,58.0,56.0,56.0,56.0,56.0
85,56.0,61.0,56.0,61.0,60.0,56.0,57.0,57.0,56.0,55.0,60.0,61.0,61.0,61.0,61.0
