Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
146,45.0,41.0,41.0,48.0,48.0,48.0,46.0,38.0,48.0,47.0,44.0,47.0,48.0,47.0
147,43.0,46.0,46.0,46.0,46.0,46.0,46.0,40.0,48.0,46.0,41.0,46.0,46.0,46.0
148,44.0,44.0,44.0,47.0,47.0,47.0,46.0,39.0,48.0,46.0,44.0,46.0,47.0,47.0
149,45.0,45.0,45.0,47.0,48.0,47.0,47.0,39.0,49.0,48.0,44.0,48.0,48.0,48.0
150,44.0,46.0,46.0,46.0,46.0,46.0,46.0,41.0,48.0,45.0,42.0,45.0,46.0,46.0
151,44.0,43.0,43.0,47.0,47.0,47.0,46.0,39.0,48.0,46.0,44.0,46.0,47.0,47.0
152,45.0,45.0,45.0,48.0,48.0,48.0,47.0,39.0,49.0,48.0,44.0,48.0,48.0,48.0
153,43.0,45.0,45.0,46.0,42.0,46.0,45.0,41.0,47.0,44.0,43.0,44.0,42.0,46.0
154,45.0,39.0,39.0,47.0,46.0,47.0,45.0,37.0,48.0,46.0,44.0,46.0,46.0,47.0
155,45.0,40.0,40.0,48.0,48.0,48.0,46.0,38.0,48.0,47.0,44.0,47.0,48.0,48.0
156,42.0,45.0,45.0,45.0,45.0,45.0,46.0,39.0,47.0,45.0,40.0,45.0,45.0,46.0
157,44.0,43.0,43.0,46.0,46.0,46.0,47.0,38.0,47.0,46.0,44.0,46.0,46.0,47.0
158,44.0,44.0,44.0,46.0,47.0,46.0,47.0,38.0,48.0,47.0,43.0,47.0,47.0,47.0
159,43.0,45.0,45.0,45.0,45.0,45.0,46.0,40.0,47.0,45.0,41.0,45.0,45.0,46.0
160,43.0,43.0,43.0,46.0,46.0,46.0,47.0,38.0,47.0,46.0,44.0,46.0,46.0,47.0
161,44.0,44.0,44.0,47.0,47.0,47.0,47.0,38.0,48.0,48.0,43.0,48.0,47.0,47.0
162,42.0,45.0,45.0,45.0,43.0,45.0,46.0,40.0,46.0,43.0,42.0,43.0,43.0,46.0
163,44.0,39.0,39.0,46.0,45.0,46.0,47.0,36.0,47.0,45.0,44.0,45.0,45.0,47.0
164,44.0,44.0,44.0,47.0,47.0,47.0,47.0,38.0,48.0,48.0,44.0,48.0,47.0,47.0
165,40.0,41.0,41.0,44.0,44.0,44.0,42.0,39.0,42.0,42.0,39.0,42.0,44.0,42.0
166,42.0,38.0,38.0,46.0,46.0,46.0,43.0,37.0,43.0,43.0,41.0,43.0,46.0,43.0
167,41.0,40.0,40.0,46.0,43.0,46.0,46.0,37.0,44.0,44.0,40.0,44.0,43.0,47.0
