Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
101,59.0,56.0,61.0,55.0,58.0,58.0,58.0,58.0,58.0,57.0,59.0,57.0,57.0
102,58.0,53.0,59.0,56.0,57.0,57.0,56.0,58.0,55.0,56.0,56.0,57.0,58.0
103,58.0,57.0,60.0,55.0,58.0,58.0,60.0,59.0,58.0,57.0,58.0,57.0,57.0
104,59.0,53.0,61.0,55.0,57.0,57.0,58.0,58.0,59.0,56.0,57.0,57.0,57.0
105,56.0,52.0,59.0,57.0,56.0,56.0,54.0,57.0,55.0,55.0,55.0,56.0,57.0
106,55.0,53.0,60.0,56.0,56.0,56.0,57.0,58.0,55.0,55.0,55.0,55.0,58.0
107,55.0,52.0,61.0,55.0,55.0,56.0,55.0,56.0,55.0,54.0,57.0,56.0,57.0
108,54.0,45.0,54.0,55.0,48.0,51.0,53.0,58.0,54.0,47.0,55.0,55.0,55.0
109,54.0,51.0,55.0,55.0,46.0,54.0,55.0,56.0,52.0,45.0,55.0,56.0,56.0
110,52.0,49.0,56.0,55.0,47.0,51.0,50.0,54.0,51.0,46.0,56.0,56.0,56.0
111,54.0,47.0,55.0,55.0,52.0,56.0,55.0,57.0,54.0,50.0,56.0,56.0,56.0
112,55.0,52.0,56.0,57.0,52.0,56.0,57.0,56.0,52.0,47.0,59.0,56.0,56.0
113,54.0,50.0,55.0,54.0,52.0,56.0,55.0,57.0,52.0,48.0,55.0,55.0,55.0
114,58.0,46.0,58.0,54.0,54.0,56.0,56.0,58.0,55.0,54.0,56.0,57.0,57.0
115,59.0,51.0,57.0,56.0,55.0,56.0,58.0,59.0,58.0,49.0,58.0,57.0,56.0
116,58.0,49.0,59.0,58.0,55.0,57.0,54.0,58.0,54.0,51.0,57.0,57.0,57.0
117,54.0,45.0,58.0,55.0,52.0,54.0,53.0,57.0,54.0,50.0,57.0,58.0,58.0
118,56.0,50.0,58.0,57.0,50.0,56.0,58.0,59.0,56.0,48.0,55.0,57.0,57.0
119,55.0,48.0,60.0,58.0,50.0,58.0,54.0,59.0,55.0,52.0,58.0,58.0,58.0
120,55.0,48.0,55.0,56.0,57.0,54.0,54.0,54.0,55.0,56.0,56.0,57.0,57.0
121,55.0,52.0,55.0,56.0,56.0,56.0,57.0,57.0,53.0,50.0,57.0,54.0,55.0
122,55.0,52.0,55.0,54.0,55.0,55.0,55.0,59.0,53.0,50.0,58.0,55.0,55.0
123,58.0,47.0,58.0,56.0,58.0,55.0,57.0,59.0,55.0,57.0,57.0,58.0,58.0
124,59.0,52.0,58.0,56.0,57.0,57.0,61.0,58.0,59.0,52.0,59.0,57.0,57.0
125,59.0,52.0,59.0,56.0,56.0,56.0,58.0,58.0,59.0,55.0,58.0,58.0,58.0
126,55.0,47.0,59.0,57.0,57.0,54.0,55.0,58.0,54.0,56.0,56.0,58.0,58.0
127,56.0,53.0,59.0,57.0,56.0,56.0,62.0,59.0,56.0,53.0,60.0,58.0,58.0
128,60.0,50.0,60.0,56.0,55.0,56.0,57.0,59.0,60.0,54.0,58.0,58.0,58.0
129,58.0,47.0,57.0,55.0,58.0,55.0,57.0,58.0,55.0,57.0,56.0,58.0,58.0
130,59.0,52.0,59.0,55.0,57.0,57.0,60.0,59.0,59.0,52.0,58.0,57.0,57.0
131,59.0,51.0,60.0,56.0,56.0,56.0,58.0,59.0,59.0,56.0,57.0,58.0,58.0
132,59.0,46.0,58.0,56.0,57.0,55.0,57.0,59.0,54.0,56.0,56.0,57.0,57.0
133,59.0,52.0,60.0,56.0,56.0,56.0,61.0,60.0,59.0,52.0,59.0,58.0,58.0
134,60.0,49.0,61.0,56.0,55.0,56.0,59.0,59.0,60.0,55.0,58.0,58.0,58.0
135,55.0,43.0,59.0,57.0,51.0,54.0,52.0,58.0,55.0,50.0,52.0,57.0,57.0
136,56.0,49.0,60.0,57.0,50.0,54.0,58.0,59.0,56.0,50.0,56.0,56.0,56.0
137,56.0,48.0,61.0,56.0,51.0,56.0,54.0,56.0,56.0,52.0,56.0,56.0,56.0
138,54.0,48.0,55.0,55.0,55.0,52.0,53.0,59.0,54.0,55.0,58.0,55.0,57.0
139,56.0,50.0,55.0,57.0,54.0,54.0,55.0,59.0,55.0,51.0,55.0,48.0,54.0
140,58.0,53.0,55.0,54.0,53.0,53.0,50.0,56.0,53.0,49.0,57.0,50.0,55.0
141,58.0,48.0,56.0,56.0,56.0,53.0,55.0,60.0,55.0,56.0,58.0,57.0,58.0
142,58.0,53.0,57.0,57.0,55.0,55.0,58.0,58.0,56.0,53.0,57.0,51.0,56.0
143,58.0,53.0,57.0,54.0,54.0,54.0,54.0,58.0,54.0,53.0,57.0,54.0,58.0
144,54.0,45.0,56.0,57.0,55.0,52.0,55.0,55.0,54.0,55.0,56.0,56.0,58.0
145,55.0,51.0,57.0,58.0,54.0,54.0,58.0,59.0,55.0,54.0,56.0,51.0,57.0
146,55.0,49.0,57.0,54.0,53.0,54.0,54.0,57.0,51.0,50.0,57.0,54.0,58.0
147,59.0,47.0,58.0,55.0,56.0,53.0,57.0,60.0,55.0,56.0,58.0,57.0,58.0
148,57.0,53.0,57.0,56.0,55.0,55.0,58.0,60.0,56.0,54.0,58.0,51.0,56.0
149,59.0,52.0,60.0,53.0,54.0,54.0,56.0,58.0,54.0,54.0,57.0,54.0,58.0
150,56.0,45.0,58.0,56.0,56.0,53.0,57.0,57.0,55.0,56.0,57.0,56.0,58.0
151,58.0,51.0,56.0,57.0,55.0,55.0,59.0,59.0,55.0,54.0,59.0,51.0,57.0
152,58.0,49.0,60.0,54.0,54.0,54.0,56.0,58.0,53.0,53.0,57.0,54.0,58.0
153,54.0,45.0,58.0,56.0,55.0,52.0,54.0,56.0,54.0,55.0,56.0,55.0,58.0
154,52.0,49.0,56.0,58.0,54.0,54.0,56.0,57.0,55.0,52.0,56.0,52.0,57.0
155,53.0,49.0,60.0,54.0,53.0,54.0,53.0,57.0,52.0,49.0,55.0,54.0,58.0
156,59.0,45.0,58.0,54.0,56.0,53.0,58.0,59.0,54.0,55.0,57.0,56.0,58.0
157,57.0,52.0,56.0,55.0,55.0,55.0,60.0,59.0,55.0,54.0,59.0,51.0,56.0
158,59.0,51.0,60.0,52.0,54.0,54.0,57.0,57.0,54.0,54.0,57.0,54.0,58.0
159,56.0,45.0,58.0,55.0,56.0,53.0,58.0,58.0,55.0,56.0,58.0,56.0,58.0
160,58.0,50.0,56.0,56.0,55.0,55.0,60.0,60.0,55.0,53.0,60.0,51.0,57.0
161,58.0,49.0,60.0,53.0,54.0,54.0,57.0,58.0,53.0,54.0,56.0,54.0,58.0
162,55.0,44.0,58.0,56.0,55.0,53.0,55.0,57.0,55.0,55.0,55.0,55.0,57.0
163,54.0,48.0,56.0,57.0,54.0,54.0,57.0,59.0,55.0,51.0,57.0,51.0,57.0
164,54.0,48.0,60.0,53.0,53.0,54.0,55.0,57.0,53.0,53.0,55.0,54.0,58.0
165,54.0,42.0,58.0,56.0,49.0,52.0,52.0,56.0,54.0,49.0,52.0,53.0,57.0
166,48.0,47.0,56.0,58.0,50.0,52.0,54.0,56.0,55.0,49.0,53.0,51.0,55.0
167,49.0,46.0,60.0,54.0,49.0,54.0,50.0,56.0,48.0,49.0,51.0,50.0,56.0
