Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
91,54.0,54.0,54.0,51.0,53.0,53.0,53.0,55.0,53.0,57.0,53.0,57.0,57.0,53.0,51.0
92,53.0,53.0,53.0,53.0,53.0,50.0,50.0,52.0,53.0,57.0,53.0,57.0,54.0,53.0,52.0
93,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,56.0,54.0
94,57.0,57.0,57.0,55.0,57.0,57.0,57.0,55.0,55.0,57.0,57.0,57.0,57.0,57.0,55.0
95,57.0,57.0,57.0,57.0,57.0,54.0,54.0,56.0,53.0,57.0,57.0,57.0,54.0,57.0,56.0
96,51.0,51.0,52.0,54.0,51.0,51.0,51.0,55.0,53.0,52.0,52.0,52.0,52.0,56.0,54.0
97,55.0,55.0,55.0,53.0,55.0,55.0,55.0,55.0,53.0,55.0,55.0,55.0,55.0,55.0,53.0
98,55.0,55.0,55.0,55.0,55.0,52.0,52.0,57.0,53.0,55.0,55.0,55.0,54.0,55.0,54.0
99,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,56.0,54.0
100,56.0,56.0,56.0,55.0,56.0,56.0,56.0,55.0,55.0,56.0,56.0,56.0,56.0,57.0,55.0
101,56.0,56.0,56.0,56.0,56.0,54.0,54.0,56.0,56.0,56.0,56.0,56.0,54.0,57.0,55.0
102,52.0,52.0,52.0,55.0,52.0,52.0,52.0,55.0,55.0,52.0,52.0,52.0,52.0,56.0,55.0
103,54.0,54.0,54.0,55.0,54.0,54.0,54.0,55.0,55.0,54.0,54.0,54.0,54.0,55.0,56.0
104,54.0,54.0,54.0,57.0,54.0,54.0,54.0,57.0,57.0,54.0,54.0,54.0,54.0,55.0,56.0
105,49.0,49.0,50.0,53.0,50.0,50.0,50.0,50.0,53.0,48.0,50.0,49.0,50.0,49.0,54.0
106,49.0,49.0,50.0,53.0,50.0,50.0,50.0,53.0,53.0,49.0,50.0,49.0,50.0,48.0,54.0
107,52.0,52.0,52.0,55.0,52.0,52.0,52.0,55.0,54.0,52.0,52.0,52.0,52.0,49.0,54.0
108,50.0,50.0,50.0,51.0,50.0,50.0,50.0,51.0,51.0,49.0,50.0,49.0,49.0,44.0,50.0
109,46.0,46.0,46.0,43.0,42.0,42.0,42.0,45.0,47.0,43.0,42.0,43.0,43.0,36.0,42.0
110,46.0,46.0,46.0,44.0,43.0,43.0,43.0,46.0,47.0,45.0,43.0,45.0,45.0,39.0,43.0
111,52.0,52.0,52.0,51.0,51.0,51.0,51.0,52.0,53.0,51.0,51.0,51.0,51.0,51.0,50.0
