Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
65,41.0,41.0,41.0,39.0,41.0,41.0,41.0,40.0,38.0,44.0,38.0,41.0,41.0,40.0,38.0
66,36.0,37.0,37.0,37.0,38.0,38.0,38.0,37.0,36.0,39.0,36.0,37.0,37.0,37.0,32.0
67,41.0,38.0,38.0,40.0,39.0,39.0,41.0,38.0,41.0,42.0,41.0,38.0,38.0,38.0,38.0
68,41.0,41.0,42.0,40.0,42.0,42.0,42.0,41.0,38.0,44.0,38.0,42.0,42.0,41.0,38.0
69,41.0,40.0,38.0,41.0,40.0,40.0,37.0,39.0,36.0,38.0,36.0,38.0,38.0,40.0,36.0
70,43.0,41.0,40.0,42.0,41.0,41.0,41.0,40.0,42.0,44.0,42.0,40.0,40.0,42.0,38.0
71,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,39.0,43.0,39.0,43.0,43.0,44.0,41.0
72,42.0,40.0,39.0,40.0,41.0,41.0,36.0,40.0,35.0,37.0,35.0,39.0,39.0,41.0,37.0
73,43.0,41.0,41.0,41.0,42.0,42.0,41.0,41.0,42.0,43.0,42.0,41.0,41.0,42.0,39.0
74,43.0,42.0,43.0,42.0,43.0,43.0,43.0,43.0,40.0,43.0,40.0,43.0,43.0,43.0,42.0
75,38.0,37.0,38.0,37.0,40.0,40.0,37.0,39.0,36.0,38.0,36.0,38.0,38.0,37.0,36.0
76,41.0,38.0,40.0,39.0,41.0,41.0,41.0,40.0,42.0,41.0,42.0,40.0,40.0,38.0,38.0
77,41.0,41.0,43.0,40.0,43.0,43.0,43.0,43.0,41.0,43.0,41.0,43.0,43.0,43.0,41.0
78,36.0,37.0,37.0,37.0,38.0,38.0,38.0,37.0,36.0,39.0,36.0,37.0,37.0,37.0,32.0
79,41.0,38.0,38.0,40.0,39.0,39.0,41.0,38.0,41.0,42.0,41.0,38.0,38.0,38.0,38.0
80,41.0,41.0,42.0,40.0,42.0,42.0,42.0,41.0,38.0,44.0,38.0,42.0,42.0,41.0,38.0
81,42.0,39.0,39.0,42.0,40.0,40.0,37.0,39.0,36.0,38.0,36.0,39.0,39.0,41.0,36.0
82,43.0,41.0,40.0,43.0,42.0,42.0,42.0,40.0,42.0,44.0,42.0,40.0,40.0,42.0,39.0
83,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,39.0,44.0,39.0,43.0,43.0,44.0,42.0
84,42.0,41.0,40.0,41.0,41.0,41.0,36.0,40.0,36.0,38.0,36.0,40.0,40.0,41.0,37.0
85,43.0,42.0,41.0,42.0,42.0,42.0,41.0,41.0,42.0,43.0,42.0,41.0,41.0,42.0,40.0
86,43.0,42.0,43.0,42.0,43.0,43.0,43.0,43.0,41.0,44.0,41.0,43.0,43.0,43.0,43.0
87,38.0,37.0,39.0,37.0,40.0,40.0,37.0,39.0,36.0,38.0,36.0,39.0,39.0,37.0,36.0
