Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
142,43.0,43.0,42.0,44.0,41.0,46.0,45.0,43.0,43.0
143,47.0,47.0,47.0,47.0,45.0,42.0,44.0,47.0,47.0
144,43.0,43.0,41.0,41.0,40.0,41.0,45.0,43.0,42.0
145,43.0,43.0,41.0,43.0,41.0,47.0,44.0,43.0,42.0
146,47.0,47.0,46.0,47.0,41.0,42.0,45.0,47.0,46.0
147,42.0,42.0,40.0,42.0,40.0,43.0,46.0,42.0,42.0
148,43.0,43.0,42.0,43.0,40.0,45.0,47.0,42.0,42.0
149,46.0,46.0,46.0,46.0,45.0,42.0,47.0,46.0,46.0
150,42.0,42.0,40.0,42.0,41.0,42.0,46.0,42.0,41.0
151,43.0,44.0,42.0,43.0,41.0,46.0,47.0,42.0,41.0
152,46.0,46.0,45.0,46.0,46.0,43.0,47.0,46.0,45.0
153,39.0,39.0,39.0,38.0,42.0,39.0,45.0,39.0,40.0
154,41.0,41.0,41.0,41.0,42.0,43.0,46.0,41.0,40.0
155,43.0,43.0,44.0,43.0,47.0,40.0,46.0,43.0,44.0
156,41.0,41.0,39.0,41.0,39.0,42.0,46.0,41.0,41.0
157,42.0,42.0,41.0,42.0,39.0,44.0,47.0,41.0,41.0
158,45.0,45.0,45.0,45.0,44.0,41.0,47.0,45.0,45.0
159,41.0,41.0,39.0,41.0,40.0,41.0,46.0,41.0,40.0
160,42.0,43.0,41.0,42.0,40.0,45.0,47.0,41.0,40.0
161,45.0,45.0,44.0,45.0,45.0,42.0,47.0,45.0,44.0
162,39.0,39.0,38.0,38.0,41.0,38.0,45.0,39.0,39.0
163,41.0,42.0,40.0,41.0,41.0,42.0,46.0,41.0,40.0
164,43.0,43.0,43.0,43.0,46.0,39.0,46.0,43.0,44.0
165,37.0,35.0,34.0,37.0,34.0,34.0,41.0,39.0,35.0
166,40.0,39.0,35.0,40.0,39.0,38.0,42.0,39.0,36.0
167,40.0,39.0,39.0,40.0,39.0,35.0,42.0,43.0,40.0
