Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14
141,52.0,51.0,46.0,45.0,45.0,47.0,47.0,47.0,47.0,45.0,45.0,48.0,44.0,45.0,45.0
142,51.0,51.0,52.0,50.0,51.0,52.0,52.0,52.0,52.0,50.0,50.0,53.0,50.0,50.0,51.0
143,52.0,51.0,52.0,50.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,54.0,50.0,51.0,51.0
144,52.0,52.0,46.0,45.0,46.0,48.0,48.0,48.0,48.0,46.0,46.0,47.0,45.0,45.0,46.0
145,48.0,51.0,53.0,50.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,53.0,50.0,47.0,51.0
146,52.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,53.0,50.0,51.0,51.0
147,51.0,50.0,46.0,44.0,45.0,47.0,47.0,47.0,47.0,44.0,44.0,47.0,44.0,45.0,45.0
148,50.0,50.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0,53.0,49.0,49.0,50.0
149,51.0,50.0,51.0,50.0,51.0,52.0,52.0,52.0,52.0,50.0,50.0,53.0,50.0,51.0,50.0
150,51.0,51.0,46.0,45.0,45.0,47.0,47.0,47.0,47.0,45.0,45.0,48.0,44.0,45.0,45.0
151,48.0,50.0,53.0,50.0,51.0,53.0,53.0,53.0,53.0,50.0,50.0,53.0,50.0,50.0,51.0
152,51.0,50.0,51.0,50.0,51.0,52.0,52.0,52.0,52.0,50.0,50.0,54.0,50.0,51.0,50.0
153,51.0,52.0,47.0,45.0,46.0,48.0,48.0,48.0,48.0,46.0,46.0,48.0,45.0,45.0,46.0
154,48.0,50.0,52.0,50.0,51.0,53.0,53.0,53.0,53.0,50.0,50.0,52.0,50.0,51.0,51.0
155,51.0,49.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,54.0,50.0,51.0,51.0
156,50.0,49.0,45.0,43.0,44.0,46.0,46.0,46.0,46.0,43.0,43.0,46.0,43.0,44.0,44.0
157,49.0,49.0,51.0,49.0,49.0,51.0,51.0,51.0,51.0,49.0,49.0,52.0,48.0,49.0,49.0
158,50.0,49.0,50.0,49.0,50.0,51.0,51.0,51.0,51.0,49.0,49.0,52.0,49.0,50.0,49.0
159,50.0,50.0,45.0,44.0,45.0,46.0,46.0,46.0,46.0,44.0,44.0,47.0,44.0,44.0,45.0
160,47.0,49.0,52.0,50.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0,52.0,49.0,50.0,50.0
161,50.0,49.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,49.0,49.0,53.0,50.0,50.0,50.0
162,50.0,51.0,46.0,44.0,45.0,47.0,47.0,47.0,47.0,45.0,45.0,47.0,44.0,44.0,45.0
163,48.0,49.0,51.0,50.0,50.0,52.0,52.0,52.0,52.0,49.0,49.0,52.0,49.0,50.0,50.0
164,51.0,50.0,51.0,50.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0,53.0,50.0,50.0,50.0
165,50.0,51.0,46.0,44.0,45.0,47.0,47.0,47.0,47.0,45.0,45.0,46.0,44.0,44.0,45.0
166,47.0,45.0,51.0,50.0,50.0,52.0,52.0,52.0,52.0,50.0,50.0,48.0,49.0,50.0,50.0
167,50.0,49.0,52.0,50.0,51.0,53.0,53.0,53.0,53.0,51.0,51.0,51.0,50.0,50.0,51.0
