Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
75,57.0,57.0,57.0,58.0,56.0,55.0,54.0,58.0,58.0,54.0,54.0,56.0,55.0,55.0,55.0,56.0
76,57.0,56.0,56.0,56.0,57.0,57.0,55.0,57.0,56.0,55.0,55.0,56.0,57.0,56.0,56.0,57.0
77,56.0,57.0,56.0,56.0,57.0,56.0,54.0,56.0,57.0,54.0,54.0,57.0,56.0,56.0,56.0,56.0
78,58.0,58.0,58.0,56.0,55.0,55.0,52.0,58.0,57.0,52.0,52.0,53.0,49.0,53.0,54.0,56.0
79,59.0,59.0,59.0,58.0,55.0,55.0,54.0,58.0,57.0,54.0,54.0,55.0,51.0,51.0,51.0,55.0
80,54.0,58.0,54.0,57.0,56.0,56.0,49.0,57.0,58.0,49.0,50.0,54.0,51.0,51.0,51.0,57.0
81,58.0,53.0,58.0,56.0,56.0,55.0,51.0,58.0,56.0,51.0,53.0,56.0,54.0,54.0,54.0,58.0
82,56.0,56.0,56.0,56.0,56.0,56.0,55.0,56.0,52.0,55.0,54.0,56.0,56.0,56.0,56.0,56.0
83,57.0,56.0,57.0,56.0,57.0,56.0,53.0,57.0,52.0,53.0,53.0,57.0,56.0,56.0,56.0,57.0
84,59.0,57.0,59.0,56.0,55.0,55.0,53.0,59.0,57.0,53.0,53.0,55.0,55.0,53.0,54.0,57.0
85,57.0,55.0,55.0,55.0,56.0,56.0,55.0,57.0,55.0,55.0,54.0,55.0,57.0,55.0,55.0,57.0
86,57.0,56.0,56.0,55.0,56.0,56.0,54.0,58.0,56.0,54.0,54.0,56.0,57.0,55.0,55.0,57.0
87,58.0,58.0,58.0,57.0,56.0,55.0,53.0,58.0,58.0,53.0,54.0,56.0,54.0,54.0,55.0,56.0
88,56.0,55.0,55.0,56.0,57.0,57.0,55.0,57.0,56.0,55.0,55.0,56.0,56.0,56.0,56.0,57.0
89,56.0,56.0,55.0,56.0,57.0,56.0,54.0,57.0,57.0,54.0,55.0,57.0,56.0,56.0,56.0,56.0
90,54.0,50.0,54.0,54.0,54.0,54.0,52.0,54.0,54.0,52.0,52.0,54.0,54.0,54.0,54.0,54.0
91,54.0,54.0,54.0,54.0,50.0,50.0,54.0,50.0,50.0,54.0,47.0,54.0,54.0,54.0,54.0,50.0
92,52.0,52.0,52.0,50.0,51.0,50.0,49.0,51.0,52.0,48.0,50.0,51.0,48.0,50.0,50.0,50.0
93,55.0,51.0,55.0,55.0,55.0,55.0,53.0,55.0,55.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0
94,55.0,55.0,55.0,55.0,51.0,51.0,55.0,51.0,51.0,55.0,48.0,55.0,55.0,55.0,55.0,51.0
95,54.0,53.0,54.0,54.0,54.0,54.0,53.0,54.0,54.0,53.0,51.0,54.0,53.0,54.0,54.0,54.0
96,56.0,50.0,56.0,56.0,56.0,56.0,54.0,56.0,56.0,54.0,54.0,56.0,56.0,56.0,56.0,56.0
97,54.0,54.0,54.0,54.0,51.0,51.0,54.0,51.0,50.0,54.0,47.0,54.0,54.0,54.0,54.0,51.0
98,55.0,52.0,55.0,55.0,55.0,55.0,54.0,55.0,55.0,54.0,51.0,55.0,54.0,55.0,55.0,55.0
99,56.0,50.0,56.0,56.0,56.0,56.0,54.0,56.0,56.0,54.0,54.0,56.0,56.0,56.0,56.0,56.0
100,54.0,54.0,54.0,54.0,50.0,50.0,54.0,52.0,52.0,54.0,49.0,54.0,54.0,54.0,54.0,52.0
101,55.0,54.0,55.0,55.0,55.0,55.0,54.0,55.0,55.0,54.0,51.0,55.0,54.0,55.0,55.0,55.0
102,57.0,50.0,55.0,55.0,55.0,55.0,55.0,57.0,57.0,55.0,55.0,55.0,57.0,55.0,55.0,57.0
103,55.0,53.0,55.0,53.0,51.0,51.0,55.0,51.0,51.0,55.0,50.0,53.0,55.0,53.0,53.0,51.0
104,55.0,53.0,55.0,54.0,54.0,54.0,55.0,56.0,56.0,55.0,52.0,54.0,55.0,54.0,54.0,56.0
105,56.0,51.0,51.0,54.0,56.0,56.0,54.0,56.0,56.0,54.0,54.0,55.0,56.0,55.0,54.0,56.0
106,54.0,54.0,54.0,54.0,52.0,52.0,54.0,52.0,52.0,54.0,48.0,54.0,54.0,54.0,54.0,52.0
107,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0,54.0,49.0,54.0,54.0,54.0,54.0,54.0
108,52.0,53.0,52.0,51.0,54.0,54.0,46.0,56.0,57.0,46.0,47.0,45.0,41.0,45.0,46.0,54.0
109,54.0,54.0,54.0,53.0,50.0,50.0,47.0,53.0,52.0,48.0,47.0,47.0,43.0,47.0,48.0,50.0
110,54.0,59.0,54.0,53.0,50.0,50.0,42.0,53.0,53.0,42.0,43.0,47.0,43.0,43.0,43.0,50.0
111,57.0,52.0,57.0,53.0,54.0,54.0,47.0,54.0,53.0,47.0,47.0,47.0,46.0,46.0,47.0,54.0
112,53.0,50.0,53.0,49.0,51.0,51.0,49.0,51.0,48.0,49.0,49.0,48.0,48.0,48.0,49.0,51.0
113,52.0,50.0,52.0,52.0,52.0,51.0,44.0,52.0,52.0,44.0,44.0,52.0,47.0,47.0,47.0,51.0
114,58.0,53.0,58.0,52.0,55.0,55.0,46.0,58.0,57.0,47.0,46.0,46.0,47.0,46.0,47.0,55.0
115,52.0,49.0,52.0,53.0,55.0,55.0,53.0,55.0,52.0,53.0,54.0,52.0,49.0,52.0,53.0,55.0
116,54.0,51.0,54.0,51.0,56.0,55.0,48.0,57.0,53.0,48.0,49.0,51.0,48.0,47.0,48.0,55.0
117,54.0,54.0,54.0,53.0,56.0,54.0,46.0,57.0,58.0,46.0,47.0,47.0,46.0,46.0,46.0,54.0
118,48.0,48.0,48.0,54.0,56.0,56.0,54.0,56.0,53.0,54.0,55.0,53.0,48.0,53.0,54.0,56.0
119,50.0,52.0,52.0,49.0,57.0,56.0,49.0,57.0,54.0,49.0,50.0,52.0,47.0,48.0,49.0,56.0
120,49.0,49.0,49.0,47.0,55.0,55.0,48.0,55.0,51.0,47.0,48.0,48.0,46.0,46.0,47.0,55.0
121,50.0,48.0,50.0,54.0,51.0,51.0,54.0,51.0,47.0,54.0,48.0,54.0,47.0,54.0,54.0,51.0
122,53.0,53.0,53.0,49.0,52.0,51.0,49.0,52.0,52.0,48.0,50.0,49.0,48.0,48.0,48.0,51.0
123,52.0,48.0,52.0,48.0,56.0,56.0,49.0,56.0,52.0,48.0,49.0,49.0,47.0,47.0,48.0,56.0
124,54.0,49.0,54.0,55.0,52.0,52.0,55.0,52.0,48.0,55.0,49.0,55.0,48.0,55.0,55.0,52.0
125,55.0,54.0,55.0,53.0,55.0,55.0,53.0,55.0,53.0,53.0,51.0,53.0,49.0,53.0,53.0,55.0
126,50.0,49.0,50.0,48.0,55.0,55.0,49.0,55.0,51.0,48.0,50.0,49.0,47.0,48.0,48.0,55.0
127,50.0,50.0,50.0,54.0,51.0,51.0,54.0,51.0,49.0,54.0,48.0,54.0,47.0,54.0,54.0,51.0
128,56.0,53.0,56.0,49.0,52.0,51.0,50.0,52.0,52.0,49.0,50.0,50.0,48.0,49.0,49.0,51.0
129,51.0,47.0,51.0,47.0,56.0,56.0,48.0,56.0,53.0,47.0,50.0,48.0,47.0,47.0,47.0,56.0
130,53.0,48.0,53.0,54.0,51.0,51.0,54.0,51.0,49.0,54.0,48.0,54.0,47.0,54.0,54.0,51.0
131,56.0,53.0,56.0,54.0,54.0,54.0,54.0,54.0,52.0,54.0,50.0,54.0,48.0,54.0,54.0,54.0
132,52.0,48.0,52.0,48.0,56.0,56.0,48.0,56.0,52.0,48.0,49.0,48.0,48.0,47.0,48.0,56.0
133,49.0,49.0,49.0,53.0,50.0,50.0,53.0,50.0,48.0,53.0,47.0,53.0,48.0,53.0,53.0,50.0
134,55.0,52.0,55.0,53.0,55.0,55.0,53.0,55.0,51.0,53.0,49.0,53.0,49.0,53.0,53.0,55.0
135,47.0,47.0,47.0,47.0,56.0,56.0,48.0,56.0,53.0,47.0,48.0,48.0,47.0,46.0,47.0,56.0
136,48.0,48.0,48.0,54.0,51.0,51.0,54.0,51.0,48.0,54.0,48.0,54.0,47.0,54.0,54.0,51.0
137,50.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,51.0,54.0,49.0,54.0,48.0,54.0,54.0,54.0
138,47.0,45.0,47.0,47.0,48.0,48.0,47.0,48.0,45.0,47.0,43.0,47.0,44.0,47.0,47.0,48.0
139,46.0,46.0,46.0,45.0,42.0,42.0,46.0,39.0,39.0,46.0,44.0,46.0,44.0,46.0,46.0,40.0
140,45.0,45.0,45.0,42.0,43.0,42.0,43.0,41.0,43.0,42.0,45.0,43.0,41.0,42.0,42.0,41.0
141,48.0,46.0,48.0,48.0,49.0,49.0,48.0,49.0,46.0,48.0,44.0,48.0,45.0,48.0,48.0,49.0
142,46.0,46.0,46.0,46.0,44.0,44.0,47.0,40.0,44.0,47.0,45.0,47.0,45.0,47.0,47.0,41.0
143,50.0,46.0,50.0,45.0,45.0,45.0,45.0,45.0,44.0,45.0,50.0,45.0,45.0,45.0,45.0,45.0
