Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
92,65.0,65.0,65.0,65.0,65.0,64.0,65.0,67.0,64.0,57.0,62.0,63.0
93,63.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,59.0,62.0,59.0,59.0
94,66.0,64.0,64.0,66.0,65.0,64.0,64.0,63.0,64.0,64.0,64.0,64.0
95,65.0,65.0,65.0,65.0,65.0,65.0,64.0,66.0,65.0,65.0,65.0,65.0
96,64.0,63.0,63.0,64.0,64.0,64.0,64.0,64.0,59.0,60.0,60.0,60.0
97,67.0,62.0,62.0,67.0,66.0,64.0,65.0,64.0,65.0,65.0,65.0,62.0
98,66.0,66.0,66.0,66.0,66.0,66.0,65.0,65.0,64.0,66.0,66.0,66.0
99,64.0,64.0,64.0,64.0,62.0,62.0,62.0,62.0,58.0,64.0,58.0,58.0
100,65.0,64.0,64.0,65.0,64.0,63.0,63.0,62.0,63.0,64.0,63.0,63.0
101,68.0,68.0,68.0,68.0,64.0,64.0,63.0,65.0,64.0,68.0,64.0,64.0
102,65.0,65.0,65.0,65.0,63.0,63.0,63.0,63.0,58.0,63.0,59.0,59.0
103,66.0,65.0,65.0,66.0,65.0,63.0,64.0,63.0,64.0,65.0,64.0,61.0
104,69.0,69.0,69.0,69.0,65.0,65.0,64.0,64.0,63.0,69.0,65.0,65.0
105,64.0,64.0,64.0,64.0,63.0,63.0,63.0,63.0,58.0,59.0,58.0,59.0
106,66.0,66.0,66.0,66.0,66.0,63.0,63.0,63.0,60.0,60.0,60.0,61.0
107,70.0,70.0,70.0,70.0,64.0,64.0,65.0,65.0,64.0,64.0,64.0,64.0
108,69.0,65.0,65.0,69.0,69.0,69.0,69.0,69.0,63.0,63.0,64.0,65.0
109,70.0,66.0,66.0,70.0,70.0,70.0,69.0,69.0,55.0,58.0,57.0,66.0
110,75.0,71.0,71.0,75.0,75.0,75.0,73.0,73.0,60.0,60.0,62.0,71.0
111,70.0,66.0,66.0,70.0,69.0,69.0,66.0,66.0,56.0,57.0,58.0,65.0
112,68.0,63.0,62.0,68.0,68.0,68.0,65.0,65.0,57.0,58.0,61.0,63.0
113,70.0,63.0,63.0,70.0,68.0,68.0,67.0,67.0,60.0,58.0,63.0,63.0
114,69.0,65.0,65.0,69.0,68.0,68.0,65.0,65.0,64.0,64.0,64.0,64.0
115,67.0,62.0,61.0,67.0,67.0,67.0,65.0,65.0,61.0,61.0,61.0,62.0
116,69.0,62.0,62.0,69.0,67.0,67.0,66.0,66.0,62.0,62.0,62.0,62.0
117,69.0,65.0,65.0,69.0,69.0,69.0,66.0,66.0,65.0,65.0,65.0,65.0
118,68.0,63.0,58.0,68.0,68.0,68.0,66.0,66.0,62.0,62.0,62.0,63.0
119,68.0,63.0,63.0,68.0,68.0,68.0,67.0,67.0,63.0,63.0,63.0,62.0
120,64.0,60.0,59.0,64.0,64.0,64.0,64.0,64.0,57.0,57.0,58.0,57.0
121,65.0,62.0,62.0,65.0,64.0,64.0,64.0,64.0,59.0,57.0,62.0,62.0
122,65.0,63.0,63.0,65.0,65.0,65.0,66.0,68.0,63.0,58.0,63.0,63.0
123,63.0,60.0,60.0,63.0,64.0,64.0,64.0,63.0,58.0,60.0,57.0,58.0
124,65.0,62.0,61.0,64.0,65.0,64.0,65.0,64.0,61.0,61.0,61.0,62.0
125,64.0,62.0,62.0,65.0,64.0,65.0,65.0,67.0,64.0,62.0,62.0,62.0
126,63.0,61.0,61.0,63.0,64.0,64.0,65.0,62.0,57.0,58.0,58.0,59.0
127,66.0,62.0,61.0,64.0,66.0,65.0,66.0,65.0,62.0,62.0,62.0,62.0
128,65.0,63.0,63.0,65.0,65.0,65.0,66.0,66.0,63.0,63.0,63.0,63.0
129,62.0,61.0,61.0,62.0,63.0,63.0,63.0,62.0,57.0,61.0,56.0,57.0
130,64.0,61.0,61.0,63.0,64.0,63.0,64.0,63.0,61.0,61.0,61.0,61.0
131,66.0,66.0,66.0,66.0,63.0,64.0,64.0,66.0,63.0,66.0,61.0,61.0
132,62.0,62.0,62.0,62.0,63.0,63.0,64.0,62.0,56.0,62.0,57.0,58.0
133,65.0,62.0,62.0,64.0,65.0,64.0,65.0,64.0,62.0,62.0,62.0,61.0
