Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10
98,49.0,49.0,49.0,48.0,48.0,49.0,50.0,49.0,49.0,51.0,49.0
99,50.0,50.0,47.0,50.0,51.0,50.0,52.0,49.0,47.0,51.0,49.0
100,48.0,48.0,52.0,51.0,52.0,51.0,51.0,51.0,52.0,53.0,50.0
101,53.0,53.0,53.0,52.0,52.0,52.0,49.0,52.0,53.0,49.0,51.0
102,50.0,50.0,47.0,50.0,51.0,50.0,52.0,50.0,47.0,50.0,50.0
103,48.0,48.0,52.0,49.0,52.0,51.0,51.0,52.0,52.0,54.0,51.0
104,53.0,53.0,53.0,52.0,52.0,52.0,49.0,53.0,53.0,50.0,52.0
105,44.0,44.0,44.0,46.0,45.0,47.0,48.0,46.0,44.0,45.0,46.0
106,46.0,46.0,46.0,47.0,46.0,48.0,49.0,47.0,46.0,50.0,47.0
107,49.0,49.0,47.0,46.0,47.0,49.0,49.0,48.0,47.0,46.0,48.0
108,44.0,44.0,42.0,42.0,43.0,42.0,42.0,40.0,42.0,44.0,41.0
109,42.0,42.0,42.0,44.0,43.0,41.0,42.0,40.0,42.0,37.0,41.0
110,43.0,43.0,43.0,43.0,44.0,40.0,43.0,41.0,43.0,40.0,40.0
111,45.0,45.0,43.0,44.0,46.0,42.0,43.0,41.0,43.0,49.0,41.0
112,44.0,44.0,44.0,44.0,44.0,41.0,43.0,41.0,44.0,42.0,41.0
113,49.0,49.0,47.0,47.0,48.0,43.0,45.0,41.0,47.0,46.0,45.0
114,46.0,46.0,46.0,48.0,46.0,46.0,42.0,45.0,46.0,48.0,45.0
115,46.0,46.0,46.0,48.0,47.0,43.0,44.0,42.0,46.0,45.0,42.0
116,49.0,49.0,47.0,47.0,48.0,47.0,48.0,42.0,47.0,50.0,46.0
117,45.0,45.0,45.0,42.0,42.0,42.0,42.0,42.0,45.0,45.0,42.0
118,46.0,46.0,46.0,45.0,43.0,43.0,44.0,43.0,46.0,46.0,43.0
119,48.0,48.0,47.0,44.0,46.0,47.0,48.0,43.0,47.0,51.0,47.0
120,44.0,44.0,46.0,44.0,47.0,43.0,44.0,42.0,46.0,50.0,42.0
121,50.0,50.0,47.0,44.0,48.0,43.0,45.0,41.0,47.0,46.0,45.0
122,49.0,49.0,49.0,44.0,49.0,44.0,49.0,46.0,49.0,47.0,46.0
123,48.0,48.0,48.0,48.0,47.0,47.0,48.0,46.0,48.0,50.0,46.0
