Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
72,48.0,54.0,47.0,47.0,47.0,49.0,49.0,53.0,48.0,47.0,47.0,47.0,47.0,47.0,47.0,49.0
73,49.0,50.0,48.0,49.0,48.0,50.0,50.0,50.0,50.0,48.0,48.0,49.0,49.0,49.0,48.0,51.0
74,54.0,55.0,53.0,53.0,53.0,50.0,50.0,54.0,49.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0
75,43.0,49.0,42.0,42.0,42.0,48.0,48.0,48.0,43.0,42.0,42.0,42.0,42.0,42.0,42.0,45.0
76,44.0,45.0,43.0,43.0,43.0,45.0,45.0,45.0,45.0,43.0,43.0,43.0,44.0,44.0,43.0,46.0
77,49.0,50.0,44.0,44.0,48.0,49.0,49.0,50.0,44.0,48.0,44.0,44.0,48.0,48.0,44.0,50.0
78,35.0,45.0,35.0,35.0,35.0,45.0,45.0,46.0,40.0,35.0,35.0,36.0,35.0,35.0,35.0,46.0
79,42.0,45.0,42.0,42.0,41.0,46.0,46.0,46.0,46.0,41.0,41.0,41.0,42.0,42.0,41.0,46.0
80,41.0,50.0,41.0,41.0,40.0,47.0,47.0,51.0,45.0,40.0,40.0,40.0,41.0,41.0,40.0,51.0
81,40.0,42.0,44.0,44.0,39.0,45.0,45.0,46.0,40.0,39.0,44.0,44.0,39.0,39.0,44.0,46.0
82,42.0,49.0,44.0,44.0,42.0,47.0,47.0,48.0,46.0,42.0,44.0,44.0,42.0,42.0,44.0,46.0
83,46.0,48.0,50.0,50.0,45.0,50.0,50.0,51.0,45.0,45.0,50.0,50.0,45.0,45.0,50.0,51.0
84,49.0,51.0,48.0,48.0,48.0,48.0,48.0,50.0,47.0,48.0,48.0,48.0,48.0,48.0,48.0,49.0
85,49.0,51.0,48.0,48.0,49.0,50.0,50.0,51.0,51.0,49.0,48.0,48.0,49.0,49.0,48.0,51.0
86,55.0,56.0,54.0,54.0,54.0,50.0,50.0,55.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,52.0
87,44.0,46.0,39.0,39.0,43.0,45.0,45.0,46.0,42.0,43.0,39.0,39.0,43.0,43.0,39.0,46.0
88,44.0,46.0,42.0,42.0,44.0,46.0,46.0,46.0,46.0,44.0,42.0,42.0,44.0,44.0,42.0,46.0
89,50.0,51.0,45.0,45.0,49.0,50.0,50.0,51.0,45.0,49.0,45.0,45.0,49.0,49.0,45.0,51.0
90,43.0,45.0,47.0,47.0,42.0,44.0,44.0,44.0,40.0,42.0,47.0,47.0,42.0,42.0,47.0,44.0
91,46.0,42.0,50.0,50.0,45.0,42.0,42.0,43.0,41.0,45.0,50.0,50.0,45.0,45.0,50.0,43.0
92,41.0,41.0,44.0,44.0,41.0,44.0,44.0,44.0,45.0,41.0,44.0,44.0,40.0,40.0,44.0,44.0
93,52.0,54.0,51.0,51.0,51.0,48.0,48.0,49.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,49.0
94,55.0,50.0,54.0,54.0,54.0,50.0,50.0,50.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,51.0
95,49.0,49.0,48.0,48.0,49.0,49.0,49.0,50.0,46.0,49.0,48.0,48.0,49.0,49.0,48.0,50.0
96,47.0,49.0,43.0,44.0,46.0,44.0,44.0,44.0,43.0,46.0,43.0,43.0,46.0,46.0,43.0,45.0
97,50.0,45.0,46.0,46.0,49.0,45.0,45.0,45.0,45.0,49.0,46.0,46.0,49.0,49.0,46.0,46.0
98,46.0,44.0,45.0,46.0,45.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0
99,51.0,54.0,50.0,50.0,50.0,48.0,48.0,48.0,48.0,50.0,50.0,50.0,50.0,50.0,50.0,49.0
100,54.0,49.0,53.0,53.0,53.0,49.0,49.0,49.0,50.0,53.0,53.0,53.0,53.0,53.0,53.0,51.0
101,49.0,49.0,48.0,49.0,49.0,49.0,49.0,49.0,48.0,49.0,48.0,48.0,48.0,48.0,48.0,50.0
102,48.0,49.0,47.0,48.0,48.0,48.0,48.0,49.0,47.0,48.0,47.0,47.0,48.0,48.0,47.0,50.0
103,49.0,49.0,48.0,48.0,49.0,49.0,49.0,49.0,50.0,49.0,48.0,48.0,49.0,49.0,48.0,46.0
