Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
92,57.0,57.0,57.0,57.0,59.0,56.0,58.0,56.0,56.0,56.0,58.0,56.0
93,51.0,51.0,51.0,51.0,56.0,51.0,51.0,51.0,54.0,54.0,51.0,51.0
94,55.0,54.0,56.0,56.0,57.0,55.0,52.0,56.0,51.0,51.0,52.0,56.0
95,57.0,57.0,57.0,57.0,58.0,55.0,57.0,56.0,56.0,56.0,57.0,56.0
96,52.0,52.0,52.0,52.0,52.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0
97,53.0,53.0,53.0,53.0,53.0,53.0,52.0,53.0,52.0,52.0,52.0,53.0
98,58.0,58.0,58.0,58.0,58.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0
99,50.0,50.0,50.0,50.0,55.0,50.0,50.0,50.0,53.0,53.0,50.0,50.0
100,54.0,53.0,55.0,55.0,56.0,54.0,51.0,55.0,50.0,50.0,51.0,55.0
101,56.0,56.0,56.0,56.0,57.0,54.0,56.0,55.0,55.0,55.0,56.0,55.0
102,51.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0
103,52.0,52.0,52.0,52.0,52.0,52.0,51.0,52.0,51.0,51.0,51.0,52.0
104,57.0,57.0,57.0,57.0,57.0,55.0,56.0,56.0,56.0,56.0,56.0,56.0
105,46.0,42.0,46.0,42.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
106,47.0,45.0,47.0,45.0,47.0,52.0,48.0,48.0,48.0,48.0,48.0,48.0
107,51.0,47.0,51.0,47.0,51.0,51.0,47.0,47.0,50.0,50.0,47.0,47.0
108,46.0,39.0,45.0,40.0,45.0,48.0,44.0,42.0,44.0,44.0,44.0,42.0
109,47.0,44.0,47.0,44.0,47.0,51.0,46.0,46.0,46.0,46.0,46.0,46.0
110,52.0,45.0,51.0,45.0,50.0,51.0,45.0,45.0,48.0,48.0,45.0,45.0
111,52.0,52.0,52.0,52.0,52.0,51.0,51.0,48.0,49.0,49.0,51.0,48.0
112,54.0,53.0,54.0,53.0,54.0,54.0,52.0,51.0,51.0,51.0,52.0,51.0
113,57.0,56.0,58.0,58.0,57.0,53.0,52.0,50.0,50.0,50.0,52.0,50.0
114,51.0,51.0,51.0,51.0,51.0,50.0,50.0,47.0,48.0,48.0,50.0,47.0
115,53.0,52.0,53.0,53.0,53.0,53.0,51.0,50.0,50.0,50.0,51.0,50.0
116,56.0,55.0,57.0,57.0,56.0,52.0,51.0,49.0,49.0,49.0,51.0,49.0
117,47.0,41.0,46.0,41.0,46.0,47.0,47.0,44.0,45.0,45.0,47.0,44.0
118,47.0,45.0,47.0,45.0,47.0,52.0,47.0,47.0,47.0,47.0,47.0,47.0
119,51.0,45.0,51.0,47.0,51.0,51.0,52.0,47.0,50.0,50.0,52.0,47.0
120,52.0,51.0,52.0,52.0,57.0,52.0,52.0,50.0,52.0,52.0,52.0,50.0
121,57.0,56.0,58.0,58.0,58.0,53.0,51.0,53.0,51.0,51.0,51.0,53.0
122,57.0,57.0,57.0,57.0,59.0,54.0,53.0,53.0,56.0,56.0,53.0,53.0
123,51.0,51.0,51.0,51.0,56.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
124,56.0,55.0,57.0,57.0,57.0,53.0,51.0,52.0,51.0,51.0,51.0,52.0
125,57.0,57.0,57.0,57.0,58.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
