Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11
80,43.0,43.0,43.0,41.0,41.0,42.0,40.0,42.0,43.0,40.0,43.0,43.0
81,42.0,42.0,42.0,40.0,40.0,41.0,39.0,41.0,42.0,43.0,41.0,41.0
82,43.0,43.0,43.0,43.0,43.0,42.0,40.0,41.0,43.0,44.0,43.0,43.0
83,44.0,44.0,44.0,42.0,42.0,43.0,42.0,42.0,43.0,44.0,43.0,43.0
84,42.0,42.0,42.0,40.0,40.0,41.0,38.0,40.0,41.0,42.0,40.0,41.0
85,42.0,42.0,42.0,42.0,42.0,41.0,40.0,40.0,42.0,43.0,42.0,42.0
86,44.0,44.0,44.0,42.0,42.0,43.0,43.0,42.0,43.0,43.0,42.0,43.0
87,41.0,41.0,41.0,39.0,39.0,40.0,38.0,40.0,41.0,37.0,40.0,41.0
88,42.0,42.0,42.0,42.0,42.0,41.0,41.0,40.0,42.0,41.0,41.0,42.0
89,43.0,43.0,43.0,42.0,42.0,42.0,44.0,42.0,43.0,40.0,42.0,43.0
90,42.0,41.0,41.0,41.0,40.0,41.0,39.0,39.0,42.0,42.0,41.0,41.0
91,42.0,43.0,42.0,42.0,42.0,42.0,41.0,41.0,43.0,44.0,43.0,43.0
92,43.0,43.0,43.0,42.0,42.0,42.0,44.0,40.0,43.0,44.0,42.0,42.0
93,42.0,41.0,41.0,40.0,40.0,41.0,39.0,39.0,41.0,42.0,40.0,41.0
94,43.0,43.0,42.0,43.0,43.0,42.0,43.0,41.0,43.0,44.0,42.0,43.0
95,43.0,43.0,43.0,42.0,42.0,42.0,44.0,41.0,43.0,44.0,42.0,42.0
96,41.0,41.0,41.0,40.0,40.0,40.0,39.0,40.0,41.0,42.0,40.0,41.0
97,43.0,43.0,43.0,43.0,42.0,42.0,44.0,41.0,43.0,44.0,42.0,43.0
98,43.0,42.0,42.0,42.0,41.0,42.0,41.0,41.0,43.0,44.0,42.0,42.0
99,41.0,40.0,40.0,39.0,39.0,40.0,38.0,38.0,40.0,41.0,40.0,40.0
100,42.0,42.0,41.0,42.0,42.0,41.0,42.0,40.0,42.0,43.0,41.0,42.0
101,42.0,42.0,42.0,41.0,41.0,41.0,43.0,40.0,42.0,43.0,42.0,42.0
102,41.0,41.0,40.0,40.0,40.0,40.0,38.0,39.0,40.0,41.0,40.0,40.0
103,42.0,42.0,42.0,42.0,42.0,41.0,43.0,40.0,42.0,43.0,41.0,42.0
104,42.0,42.0,42.0,41.0,41.0,41.0,40.0,41.0,42.0,43.0,42.0,42.0
105,40.0,40.0,40.0,39.0,39.0,39.0,38.0,39.0,40.0,36.0,39.0,40.0
106,41.0,41.0,41.0,41.0,41.0,40.0,39.0,40.0,41.0,40.0,40.0,41.0
107,42.0,42.0,42.0,41.0,41.0,41.0,40.0,40.0,42.0,39.0,41.0,42.0
108,41.0,41.0,41.0,39.0,39.0,40.0,37.0,38.0,41.0,36.0,40.0,41.0
109,42.0,42.0,42.0,40.0,40.0,41.0,38.0,40.0,42.0,38.0,41.0,42.0
