Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
117,39.0,35.0,35.0,35.0,35.0,35.0,35.0,32.0,37.0
118,40.0,36.0,36.0,36.0,36.0,36.0,36.0,35.0,36.0
119,43.0,39.0,39.0,39.0,39.0,39.0,39.0,37.0,41.0
120,42.0,38.0,38.0,38.0,38.0,38.0,38.0,40.0,40.0
121,43.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,40.0
122,40.0,40.0,40.0,40.0,40.0,40.0,40.0,44.0,44.0
123,43.0,39.0,39.0,39.0,39.0,39.0,39.0,40.0,41.0
124,44.0,41.0,41.0,41.0,41.0,41.0,41.0,43.0,42.0
125,45.0,39.0,39.0,39.0,39.0,39.0,39.0,44.0,43.0
126,44.0,40.0,40.0,40.0,40.0,40.0,40.0,39.0,41.0
127,45.0,39.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0
128,46.0,40.0,40.0,40.0,40.0,40.0,40.0,44.0,42.0
129,43.0,38.0,38.0,38.0,38.0,38.0,38.0,39.0,40.0
130,44.0,40.0,40.0,40.0,40.0,40.0,40.0,42.0,41.0
131,44.0,40.0,40.0,40.0,40.0,40.0,40.0,43.0,42.0
132,44.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,41.0
133,45.0,38.0,39.0,39.0,39.0,39.0,39.0,41.0,41.0
134,45.0,41.0,41.0,41.0,41.0,41.0,41.0,44.0,43.0
135,41.0,37.0,37.0,37.0,37.0,37.0,37.0,35.0,37.0
136,41.0,37.0,37.0,37.0,37.0,37.0,37.0,35.0,39.0
137,46.0,42.0,42.0,42.0,42.0,42.0,42.0,40.0,42.0
138,39.0,37.0,37.0,37.0,37.0,37.0,37.0,42.0,38.0
139,40.0,38.0,38.0,38.0,38.0,38.0,38.0,44.0,40.0
140,38.0,40.0,40.0,40.0,40.0,40.0,40.0,42.0,41.0
141,43.0,39.0,39.0,39.0,39.0,39.0,39.0,42.0,43.0
142,43.0,42.0,42.0,42.0,42.0,42.0,42.0,44.0,44.0
143,42.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,45.0
144,44.0,39.0,39.0,39.0,39.0,39.0,39.0,41.0,40.0
145,42.0,43.0,43.0,43.0,43.0,43.0,43.0,44.0,42.0
146,43.0,42.0,42.0,42.0,42.0,42.0,42.0,43.0,46.0
147,44.0,39.0,39.0,39.0,39.0,39.0,39.0,41.0,43.0
148,43.0,41.0,41.0,41.0,41.0,41.0,41.0,43.0,43.0
149,45.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0,45.0
150,45.0,39.0,39.0,39.0,39.0,39.0,39.0,41.0,41.0
151,42.0,42.0,42.0,42.0,42.0,42.0,42.0,44.0,43.0
152,46.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,46.0
153,44.0,40.0,40.0,40.0,40.0,40.0,40.0,42.0,41.0
154,40.0,41.0,41.0,41.0,41.0,41.0,41.0,42.0,43.0
155,45.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,43.0
156,44.0,38.0,38.0,38.0,38.0,38.0,38.0,40.0,42.0
157,42.0,40.0,40.0,40.0,40.0,40.0,40.0,42.0,42.0
158,45.0,43.0,43.0,43.0,43.0,43.0,43.0,45.0,44.0
159,45.0,38.0,38.0,38.0,38.0,38.0,38.0,41.0,40.0
160,41.0,41.0,41.0,41.0,41.0,41.0,41.0,43.0,42.0
161,46.0,44.0,44.0,44.0,44.0,44.0,44.0,46.0,45.0
162,44.0,39.0,39.0,39.0,39.0,39.0,39.0,42.0,41.0
163,40.0,40.0,40.0,40.0,40.0,40.0,40.0,42.0,42.0
164,45.0,45.0,45.0,45.0,45.0,45.0,45.0,47.0,43.0
165,39.0,37.0,37.0,37.0,37.0,37.0,37.0,35.0,36.0
166,35.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,38.0
167,39.0,41.0,41.0,41.0,41.0,41.0,41.0,40.0,38.0
