Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
70,56.0,57.0,50.0,55.0,57.0,56.0,55.0,50.0,49.0,53.0,58.0,54.0,56.0,56.0
71,62.0,61.0,54.0,61.0,58.0,60.0,60.0,54.0,55.0,53.0,62.0,55.0,53.0,55.0
72,63.0,64.0,64.0,62.0,59.0,62.0,62.0,64.0,63.0,61.0,59.0,61.0,62.0,58.0
73,55.0,56.0,56.0,54.0,60.0,55.0,54.0,56.0,55.0,59.0,59.0,59.0,61.0,64.0
74,61.0,60.0,60.0,60.0,60.0,59.0,59.0,60.0,61.0,59.0,61.0,59.0,60.0,58.0
75,59.0,60.0,64.0,58.0,58.0,62.0,58.0,63.0,62.0,56.0,58.0,57.0,61.0,58.0
76,52.0,53.0,56.0,51.0,60.0,54.0,51.0,55.0,55.0,59.0,59.0,59.0,62.0,64.0
77,58.0,57.0,59.0,57.0,60.0,56.0,56.0,58.0,60.0,59.0,58.0,59.0,60.0,58.0
78,58.0,59.0,60.0,57.0,59.0,64.0,57.0,59.0,58.0,58.0,58.0,58.0,63.0,57.0
79,56.0,57.0,51.0,55.0,57.0,62.0,55.0,53.0,52.0,50.0,56.0,54.0,55.0,58.0
80,59.0,58.0,56.0,58.0,57.0,61.0,57.0,57.0,58.0,54.0,56.0,53.0,60.0,52.0
81,57.0,58.0,59.0,56.0,59.0,59.0,56.0,59.0,58.0,56.0,55.0,55.0,59.0,58.0
82,57.0,58.0,51.0,56.0,57.0,57.0,56.0,51.0,50.0,54.0,56.0,55.0,57.0,57.0
83,63.0,62.0,55.0,62.0,58.0,61.0,61.0,55.0,56.0,54.0,57.0,56.0,53.0,51.0
84,64.0,65.0,65.0,63.0,60.0,63.0,63.0,65.0,64.0,62.0,60.0,62.0,63.0,59.0
85,56.0,57.0,57.0,55.0,61.0,56.0,55.0,57.0,56.0,60.0,60.0,60.0,62.0,65.0
86,62.0,61.0,61.0,61.0,61.0,60.0,60.0,61.0,62.0,60.0,60.0,60.0,61.0,59.0
87,60.0,61.0,60.0,59.0,59.0,63.0,59.0,61.0,60.0,57.0,59.0,58.0,62.0,59.0
88,53.0,54.0,56.0,52.0,61.0,55.0,52.0,55.0,55.0,60.0,59.0,60.0,63.0,65.0
89,59.0,58.0,60.0,58.0,61.0,57.0,57.0,59.0,61.0,60.0,57.0,60.0,61.0,59.0
90,56.0,57.0,53.0,55.0,56.0,59.0,55.0,52.0,52.0,53.0,53.0,54.0,57.0,50.0
91,49.0,49.0,49.0,47.0,58.0,55.0,49.0,46.0,47.0,50.0,54.0,53.0,52.0,43.0
92,54.0,52.0,53.0,52.0,62.0,51.0,51.0,50.0,51.0,54.0,57.0,53.0,54.0,46.0
93,56.0,57.0,58.0,55.0,57.0,58.0,55.0,58.0,57.0,58.0,57.0,58.0,59.0,57.0
94,50.0,49.0,55.0,48.0,59.0,57.0,51.0,54.0,55.0,56.0,59.0,56.0,60.0,49.0
