Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
152,54.0,49.0,46.0,49.0,49.0,50.0,50.0,46.0,54.0
153,49.0,44.0,43.0,48.0,48.0,49.0,49.0,43.0,53.0
154,49.0,39.0,42.0,49.0,47.0,46.0,46.0,42.0,55.0
155,51.0,43.0,42.0,48.0,48.0,51.0,51.0,42.0,55.0
156,53.0,47.0,47.0,49.0,49.0,50.0,50.0,47.0,55.0
157,49.0,43.0,46.0,51.0,49.0,51.0,51.0,46.0,57.0
158,55.0,49.0,48.0,50.0,50.0,52.0,52.0,48.0,57.0
159,51.0,48.0,48.0,50.0,50.0,51.0,51.0,48.0,54.0
160,50.0,44.0,47.0,52.0,50.0,49.0,49.0,47.0,54.0
161,53.0,48.0,46.0,48.0,48.0,53.0,53.0,46.0,54.0
162,49.0,43.0,48.0,47.0,47.0,48.0,48.0,48.0,53.0
163,48.0,38.0,47.0,48.0,48.0,46.0,46.0,47.0,55.0
164,51.0,42.0,43.0,48.0,48.0,50.0,50.0,43.0,55.0
165,47.0,43.0,42.0,43.0,43.0,45.0,45.0,42.0,51.0
166,47.0,38.0,41.0,45.0,45.0,46.0,46.0,41.0,51.0
167,47.0,43.0,42.0,45.0,45.0,46.0,46.0,42.0,49.0
