Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13,Roll 14,Roll 15
148,59.0,59.0,62.0,62.0,59.0,59.0,59.0,59.0,58.0,57.0,58.0,57.0,58.0,57.0,59.0,57.0
149,59.0,59.0,62.0,62.0,60.0,60.0,59.0,59.0,56.0,59.0,59.0,59.0,54.0,59.0,60.0,55.0
150,58.0,58.0,60.0,60.0,60.0,60.0,58.0,58.0,64.0,59.0,59.0,59.0,64.0,59.0,60.0,65.0
151,59.0,59.0,61.0,61.0,60.0,60.0,59.0,59.0,59.0,58.0,58.0,58.0,59.0,58.0,60.0,58.0
152,60.0,60.0,61.0,61.0,61.0,61.0,60.0,60.0,56.0,60.0,60.0,60.0,55.0,60.0,61.0,56.0
153,59.0,59.0,61.0,61.0,60.0,60.0,59.0,59.0,65.0,59.0,59.0,60.0,65.0,59.0,60.0,66.0
154,60.0,59.0,61.0,61.0,61.0,61.0,59.0,60.0,59.0,58.0,59.0,59.0,59.0,58.0,61.0,59.0
155,56.0,59.0,62.0,62.0,61.0,61.0,56.0,59.0,56.0,58.0,58.0,56.0,56.0,56.0,61.0,57.0
156,61.0,61.0,59.0,59.0,59.0,59.0,61.0,61.0,62.0,58.0,58.0,58.0,62.0,58.0,59.0,63.0
157,58.0,58.0,62.0,62.0,62.0,62.0,58.0,58.0,58.0,61.0,61.0,61.0,58.0,61.0,62.0,57.0
158,58.0,58.0,61.0,61.0,60.0,60.0,58.0,58.0,55.0,60.0,60.0,60.0,53.0,60.0,60.0,54.0
159,58.0,58.0,60.0,60.0,60.0,60.0,58.0,58.0,63.0,59.0,59.0,59.0,63.0,59.0,60.0,64.0
160,58.0,58.0,63.0,63.0,63.0,63.0,58.0,58.0,59.0,62.0,62.0,62.0,59.0,62.0,63.0,58.0
161,59.0,59.0,61.0,61.0,61.0,61.0,59.0,59.0,55.0,61.0,61.0,61.0,54.0,61.0,61.0,55.0
162,58.0,58.0,61.0,61.0,61.0,61.0,58.0,58.0,64.0,60.0,60.0,60.0,64.0,60.0,61.0,65.0
163,59.0,58.0,64.0,64.0,64.0,64.0,58.0,59.0,59.0,63.0,63.0,63.0,59.0,63.0,64.0,58.0
164,60.0,60.0,62.0,62.0,62.0,62.0,60.0,60.0,55.0,62.0,62.0,62.0,55.0,62.0,62.0,56.0
165,54.0,53.0,61.0,61.0,60.0,60.0,54.0,53.0,59.0,59.0,59.0,60.0,59.0,59.0,60.0,59.0
166,59.0,58.0,65.0,65.0,65.0,65.0,58.0,59.0,54.0,64.0,64.0,64.0,54.0,64.0,65.0,53.0
167,55.0,55.0,62.0,62.0,61.0,61.0,55.0,55.0,51.0,61.0,61.0,61.0,51.0,61.0,61.0,50.0
