Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12,Roll 13
151,47.0,48.0,47.0,44.0,47.0,45.0,47.0,44.0,46.0,45.0,46.0,45.0,46.0,46.0
152,46.0,48.0,46.0,45.0,48.0,45.0,45.0,45.0,45.0,45.0,46.0,42.0,46.0,46.0
153,40.0,41.0,41.0,40.0,41.0,40.0,41.0,40.0,40.0,39.0,39.0,39.0,39.0,39.0
154,47.0,46.0,46.0,43.0,46.0,45.0,46.0,44.0,45.0,44.0,46.0,44.0,45.0,46.0
155,46.0,47.0,47.0,43.0,47.0,44.0,45.0,43.0,43.0,43.0,46.0,42.0,45.0,46.0
156,38.0,40.0,38.0,38.0,39.0,37.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0,37.0
157,46.0,47.0,45.0,43.0,46.0,43.0,45.0,43.0,44.0,44.0,45.0,43.0,45.0,45.0
158,45.0,48.0,45.0,43.0,47.0,43.0,44.0,43.0,44.0,44.0,45.0,41.0,45.0,45.0
159,39.0,41.0,39.0,39.0,40.0,38.0,39.0,39.0,39.0,39.0,38.0,38.0,38.0,38.0
160,46.0,48.0,46.0,44.0,46.0,44.0,46.0,44.0,45.0,45.0,46.0,44.0,45.0,45.0
161,45.0,48.0,45.0,44.0,47.0,44.0,44.0,44.0,45.0,45.0,46.0,41.0,45.0,45.0
162,40.0,41.0,40.0,39.0,40.0,39.0,40.0,39.0,40.0,39.0,38.0,39.0,38.0,38.0
163,46.0,47.0,46.0,44.0,46.0,44.0,46.0,44.0,46.0,45.0,46.0,45.0,46.0,46.0
164,45.0,48.0,46.0,43.0,48.0,43.0,44.0,43.0,42.0,42.0,46.0,41.0,46.0,46.0
165,40.0,41.0,41.0,39.0,41.0,40.0,41.0,39.0,40.0,39.0,38.0,39.0,39.0,39.0
166,46.0,44.0,43.0,41.0,43.0,42.0,43.0,42.0,42.0,41.0,46.0,41.0,41.0,41.0
167,45.0,43.0,43.0,41.0,44.0,42.0,43.0,41.0,42.0,41.0,46.0,41.0,41.0,41.0
