Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9
99,48.0,46.0,45.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
100,48.0,47.0,45.0,49.0,47.0,48.0,48.0,48.0,48.0,47.0
101,52.0,48.0,46.0,51.0,51.0,53.0,53.0,53.0,53.0,51.0
102,49.0,47.0,46.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
103,48.0,48.0,46.0,47.0,47.0,48.0,48.0,48.0,48.0,47.0
104,53.0,49.0,47.0,52.0,52.0,54.0,54.0,54.0,54.0,52.0
105,41.0,42.0,42.0,40.0,40.0,42.0,42.0,42.0,42.0,40.0
106,41.0,49.0,47.0,40.0,40.0,44.0,44.0,44.0,44.0,40.0
107,46.0,47.0,46.0,45.0,45.0,46.0,46.0,46.0,46.0,45.0
108,38.0,42.0,41.0,38.0,38.0,38.0,38.0,38.0,43.0,37.0
109,40.0,46.0,46.0,40.0,40.0,41.0,41.0,42.0,42.0,39.0
110,40.0,45.0,45.0,40.0,40.0,41.0,41.0,41.0,41.0,39.0
111,46.0,44.0,43.0,46.0,46.0,44.0,44.0,44.0,44.0,45.0
112,47.0,45.0,45.0,47.0,47.0,45.0,45.0,46.0,46.0,46.0
113,48.0,48.0,48.0,48.0,47.0,45.0,45.0,48.0,48.0,47.0
114,46.0,43.0,42.0,46.0,46.0,45.0,45.0,46.0,46.0,45.0
115,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,45.0
116,48.0,47.0,47.0,48.0,48.0,47.0,47.0,52.0,52.0,47.0
117,39.0,42.0,41.0,39.0,39.0,41.0,41.0,42.0,42.0,38.0
118,40.0,47.0,47.0,40.0,40.0,42.0,42.0,43.0,43.0,39.0
119,43.0,46.0,46.0,43.0,43.0,43.0,43.0,45.0,45.0,42.0
120,46.0,43.0,43.0,46.0,46.0,44.0,44.0,45.0,45.0,45.0
121,48.0,46.0,46.0,48.0,47.0,45.0,45.0,46.0,46.0,47.0
122,48.0,48.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,47.0
123,47.0,47.0,46.0,47.0,47.0,46.0,46.0,47.0,47.0,46.0
124,47.0,47.0,46.0,47.0,46.0,46.0,46.0,47.0,47.0,46.0
125,50.0,48.0,48.0,49.0,49.0,48.0,48.0,51.0,51.0,49.0
126,46.0,48.0,47.0,45.0,45.0,44.0,44.0,44.0,45.0,45.0
127,47.0,46.0,46.0,47.0,47.0,45.0,45.0,46.0,46.0,46.0
128,51.0,49.0,48.0,50.0,50.0,49.0,49.0,49.0,49.0,50.0
129,46.0,46.0,45.0,46.0,46.0,45.0,45.0,46.0,46.0,45.0
130,46.0,46.0,46.0,46.0,46.0,46.0,46.0,47.0,47.0,45.0
131,49.0,47.0,47.0,48.0,48.0,47.0,47.0,50.0,50.0,48.0
132,47.0,47.0,46.0,47.0,47.0,46.0,46.0,47.0,47.0,46.0
133,47.0,47.0,47.0,47.0,47.0,46.0,46.0,47.0,47.0,46.0
134,50.0,48.0,48.0,49.0,49.0,48.0,48.0,51.0,51.0,49.0
135,39.0,41.0,41.0,39.0,39.0,40.0,40.0,41.0,41.0,38.0
