Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7
121,52.0,52.0,56.0,56.0,55.0,56.0,55.0,58.0
122,53.0,53.0,56.0,56.0,55.0,56.0,55.0,58.0
123,62.0,62.0,60.0,60.0,50.0,61.0,49.0,57.0
124,57.0,57.0,61.0,61.0,55.0,58.0,55.0,59.0
125,60.0,60.0,61.0,61.0,55.0,58.0,55.0,61.0
126,55.0,55.0,60.0,60.0,49.0,57.0,49.0,50.0
127,55.0,55.0,61.0,61.0,55.0,54.0,55.0,52.0
128,61.0,61.0,61.0,61.0,55.0,54.0,55.0,52.0
129,61.0,61.0,59.0,59.0,49.0,60.0,48.0,56.0
130,56.0,56.0,61.0,61.0,54.0,59.0,54.0,58.0
131,59.0,59.0,61.0,61.0,54.0,59.0,54.0,60.0
132,54.0,54.0,60.0,60.0,50.0,57.0,49.0,49.0
133,54.0,54.0,62.0,62.0,55.0,56.0,55.0,51.0
134,60.0,60.0,62.0,62.0,55.0,56.0,55.0,51.0
135,45.0,46.0,50.0,50.0,42.0,50.0,41.0,50.0
136,45.0,46.0,52.0,52.0,48.0,51.0,47.0,52.0
137,51.0,52.0,52.0,53.0,48.0,51.0,47.0,52.0
138,52.0,52.0,55.0,55.0,49.0,57.0,49.0,55.0
139,47.0,47.0,56.0,52.0,50.0,57.0,50.0,59.0
140,49.0,49.0,52.0,52.0,54.0,57.0,54.0,58.0
141,57.0,57.0,60.0,60.0,51.0,61.0,49.0,56.0
142,52.0,52.0,56.0,55.0,54.0,58.0,54.0,61.0
143,55.0,55.0,56.0,56.0,56.0,58.0,54.0,61.0
144,55.0,55.0,61.0,61.0,49.0,57.0,49.0,55.0
145,50.0,51.0,56.0,55.0,55.0,57.0,55.0,59.0
146,56.0,56.0,57.0,57.0,55.0,57.0,55.0,58.0
147,61.0,61.0,60.0,60.0,50.0,61.0,48.0,55.0
148,55.0,55.0,57.0,56.0,54.0,59.0,54.0,60.0
149,60.0,60.0,56.0,56.0,55.0,59.0,54.0,61.0
150,60.0,60.0,61.0,61.0,51.0,61.0,49.0,56.0
151,55.0,56.0,58.0,57.0,55.0,58.0,55.0,59.0
152,56.0,56.0,57.0,57.0,56.0,58.0,55.0,58.0
153,53.0,54.0,61.0,61.0,48.0,57.0,48.0,50.0
