Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
149,55.0,55.0,51.0,54.0,61.0,57.0,54.0,54.0,59.0,57.0,58.0,56.0,58.0
150,54.0,54.0,56.0,56.0,57.0,57.0,54.0,53.0,55.0,55.0,57.0,56.0,53.0
151,56.0,56.0,51.0,53.0,60.0,55.0,55.0,55.0,56.0,55.0,57.0,55.0,55.0
152,56.0,56.0,51.0,53.0,61.0,58.0,55.0,55.0,60.0,58.0,59.0,57.0,59.0
153,53.0,53.0,54.0,54.0,55.0,55.0,53.0,52.0,53.0,52.0,57.0,55.0,50.0
154,55.0,55.0,46.0,48.0,57.0,52.0,54.0,54.0,57.0,54.0,58.0,53.0,52.0
155,55.0,55.0,50.0,52.0,59.0,56.0,54.0,54.0,59.0,57.0,59.0,56.0,56.0
156,52.0,52.0,54.0,55.0,56.0,56.0,52.0,52.0,55.0,53.0,55.0,54.0,54.0
157,55.0,55.0,50.0,52.0,59.0,53.0,54.0,54.0,56.0,53.0,55.0,53.0,53.0
158,54.0,54.0,50.0,53.0,60.0,56.0,53.0,54.0,58.0,56.0,57.0,55.0,57.0
159,53.0,53.0,55.0,55.0,56.0,56.0,53.0,53.0,54.0,54.0,56.0,55.0,52.0
160,55.0,55.0,50.0,52.0,59.0,54.0,54.0,54.0,56.0,54.0,56.0,54.0,54.0
161,55.0,55.0,51.0,53.0,60.0,57.0,54.0,55.0,59.0,57.0,58.0,56.0,58.0
162,54.0,54.0,55.0,55.0,56.0,56.0,53.0,53.0,54.0,51.0,56.0,55.0,52.0
163,54.0,54.0,47.0,49.0,56.0,53.0,53.0,53.0,56.0,53.0,57.0,53.0,53.0
164,54.0,54.0,51.0,53.0,58.0,57.0,53.0,54.0,58.0,57.0,58.0,56.0,58.0
165,46.0,46.0,50.0,50.0,51.0,51.0,45.0,45.0,52.0,51.0,52.0,53.0,47.0
166,47.0,47.0,42.0,44.0,52.0,48.0,46.0,46.0,52.0,52.0,54.0,47.0,48.0
167,50.0,50.0,46.0,48.0,55.0,52.0,49.0,51.0,55.0,56.0,54.0,52.0,52.0
