Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8,Roll 9,Roll 10,Roll 11,Roll 12
79,29.0,33.0,29.0,31.0,29.0,29.0,29.0,31.0,29.0,29.0,31.0,29.0,32.0
80,28.0,33.0,26.0,32.0,26.0,26.0,26.0,32.0,29.0,27.0,32.0,28.0,30.0
81,30.0,31.0,32.0,31.0,32.0,30.0,30.0,31.0,30.0,30.0,29.0,30.0,33.0
82,28.0,33.0,30.0,32.0,30.0,28.0,28.0,32.0,28.0,28.0,31.0,29.0,33.0
83,29.0,31.0,28.0,33.0,28.0,28.0,28.0,33.0,29.0,28.0,33.0,28.0,35.0
84,32.0,31.0,32.0,30.0,31.0,31.0,32.0,32.0,33.0,32.0,30.0,32.0,33.0
85,32.0,32.0,32.0,31.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,35.0
86,33.0,33.0,34.0,32.0,32.0,32.0,34.0,34.0,34.0,34.0,32.0,33.0,35.0
87,33.0,32.0,33.0,30.0,32.0,31.0,33.0,30.0,34.0,33.0,28.0,33.0,34.0
88,33.0,33.0,33.0,31.0,33.0,33.0,33.0,31.0,33.0,33.0,29.0,33.0,36.0
89,34.0,34.0,35.0,32.0,33.0,33.0,35.0,32.0,35.0,35.0,31.0,34.0,36.0
90,30.0,32.0,32.0,32.0,32.0,31.0,31.0,32.0,30.0,30.0,29.0,33.0,32.0
91,29.0,32.0,30.0,31.0,29.0,29.0,29.0,33.0,28.0,28.0,31.0,30.0,32.0
92,31.0,34.0,29.0,33.0,29.0,28.0,28.0,33.0,28.0,28.0,31.0,30.0,34.0
93,33.0,32.0,32.0,31.0,32.0,30.0,32.0,32.0,31.0,31.0,30.0,34.0,32.0
94,32.0,34.0,34.0,32.0,33.0,32.0,34.0,32.0,31.0,31.0,32.0,32.0,34.0
95,33.0,33.0,34.0,32.0,34.0,32.0,32.0,32.0,33.0,33.0,31.0,32.0,34.0
96,33.0,31.0,33.0,30.0,33.0,31.0,33.0,31.0,32.0,32.0,27.0,33.0,33.0
97,33.0,35.0,35.0,32.0,34.0,33.0,35.0,32.0,32.0,32.0,31.0,33.0,35.0
98,34.0,33.0,34.0,32.0,34.0,33.0,33.0,32.0,34.0,34.0,31.0,33.0,35.0
99,32.0,31.0,31.0,30.0,31.0,29.0,31.0,31.0,32.0,31.0,29.0,33.0,31.0
100,33.0,33.0,33.0,31.0,32.0,31.0,33.0,33.0,33.0,33.0,31.0,31.0,33.0
101,34.0,32.0,33.0,31.0,33.0,31.0,33.0,31.0,33.0,33.0,30.0,32.0,33.0
102,32.0,31.0,32.0,29.0,32.0,30.0,32.0,30.0,33.0,32.0,27.0,32.0,32.0
