Scenario,Roll 0,Roll 1,Roll 2,Roll 3,Roll 4,Roll 5,Roll 6,Roll 7,Roll 8
107,48.0,49.0,54.0,48.0,49.0,47.0,49.0,55.0,53.0
108,45.0,46.0,44.0,44.0,40.0,43.0,44.0,43.0,43.0
109,46.0,43.0,45.0,46.0,42.0,43.0,46.0,45.0,43.0
110,48.0,48.0,50.0,46.0,42.0,44.0,46.0,47.0,44.0
111,47.0,44.0,45.0,45.0,44.0,44.0,44.0,44.0,44.0
112,48.0,48.0,51.0,47.0,46.0,44.0,45.0,48.0,44.0
113,49.0,48.0,51.0,47.0,46.0,49.0,46.0,49.0,49.0
114,47.0,46.0,49.0,50.0,43.0,43.0,43.0,46.0,43.0
115,47.0,47.0,51.0,52.0,45.0,44.0,46.0,47.0,44.0
116,48.0,50.0,51.0,52.0,48.0,48.0,49.0,52.0,48.0
117,46.0,44.0,45.0,45.0,40.0,44.0,44.0,44.0,44.0
118,46.0,45.0,46.0,46.0,42.0,45.0,45.0,46.0,45.0
119,49.0,48.0,49.0,50.0,44.0,49.0,50.0,47.0,49.0
120,48.0,48.0,46.0,44.0,44.0,51.0,43.0,45.0,51.0
121,49.0,48.0,50.0,44.0,46.0,50.0,45.0,48.0,50.0
122,49.0,45.0,50.0,50.0,46.0,50.0,48.0,49.0,50.0
123,48.0,53.0,50.0,49.0,47.0,52.0,42.0,47.0,53.0
124,49.0,49.0,52.0,45.0,49.0,49.0,45.0,48.0,49.0
125,50.0,50.0,52.0,49.0,49.0,50.0,47.0,51.0,50.0
126,46.0,50.0,46.0,46.0,44.0,50.0,43.0,45.0,50.0
127,48.0,49.0,50.0,44.0,46.0,49.0,45.0,48.0,49.0
128,49.0,49.0,50.0,49.0,46.0,49.0,48.0,49.0,49.0
129,47.0,52.0,49.0,50.0,46.0,51.0,43.0,46.0,52.0
130,48.0,48.0,51.0,44.0,48.0,48.0,44.0,47.0,48.0
131,49.0,49.0,51.0,48.0,51.0,49.0,49.0,51.0,49.0
132,47.0,49.0,49.0,51.0,43.0,49.0,44.0,47.0,49.0
133,48.0,48.0,50.0,45.0,45.0,48.0,45.0,48.0,48.0
134,49.0,50.0,50.0,49.0,47.0,49.0,50.0,51.0,49.0
135,46.0,44.0,45.0,45.0,40.0,44.0,44.0,44.0,44.0
136,45.0,45.0,46.0,44.0,42.0,44.0,44.0,46.0,44.0
137,49.0,45.0,48.0,49.0,42.0,44.0,50.0,47.0,48.0
138,48.0,47.0,46.0,43.0,44.0,48.0,42.0,44.0,51.0
139,49.0,46.0,49.0,49.0,46.0,51.0,47.0,48.0,50.0
140,50.0,46.0,49.0,49.0,46.0,45.0,44.0,49.0,50.0
141,49.0,52.0,51.0,42.0,46.0,53.0,42.0,48.0,53.0
142,51.0,49.0,53.0,48.0,48.0,55.0,46.0,50.0,55.0
143,51.0,49.0,53.0,48.0,49.0,51.0,48.0,51.0,55.0
144,48.0,51.0,48.0,43.0,43.0,47.0,43.0,44.0,51.0
145,50.0,50.0,49.0,48.0,46.0,50.0,44.0,48.0,50.0
146,50.0,50.0,50.0,48.0,46.0,52.0,49.0,49.0,50.0
147,49.0,55.0,52.0,43.0,45.0,52.0,42.0,47.0,54.0
148,50.0,54.0,52.0,47.0,50.0,54.0,48.0,49.0,54.0
149,55.0,54.0,54.0,48.0,50.0,50.0,48.0,50.0,56.0
150,50.0,56.0,53.0,43.0,46.0,52.0,43.0,48.0,53.0
151,50.0,55.0,53.0,47.0,48.0,54.0,49.0,50.0,55.0
152,56.0,55.0,55.0,49.0,49.0,51.0,49.0,51.0,55.0
153,47.0,51.0,44.0,44.0,43.0,45.0,42.0,43.0,51.0
154,48.0,49.0,49.0,44.0,45.0,50.0,49.0,48.0,48.0
155,51.0,49.0,49.0,50.0,45.0,49.0,46.0,49.0,48.0
156,48.0,54.0,51.0,42.0,44.0,51.0,41.0,46.0,53.0
157,49.0,53.0,51.0,46.0,50.0,53.0,47.0,48.0,53.0
158,54.0,53.0,53.0,48.0,49.0,49.0,47.0,50.0,55.0
159,49.0,55.0,52.0,43.0,45.0,51.0,42.0,47.0,52.0
160,49.0,54.0,52.0,46.0,48.0,53.0,48.0,49.0,54.0
161,55.0,54.0,54.0,49.0,49.0,50.0,48.0,50.0,54.0
162,47.0,50.0,46.0,44.0,42.0,44.0,42.0,47.0,50.0
163,49.0,49.0,50.0,44.0,44.0,49.0,48.0,49.0,47.0
164,50.0,49.0,50.0,50.0,45.0,48.0,46.0,50.0,49.0
165,44.0,44.0,43.0,42.0,38.0,41.0,42.0,42.0,43.0
166,44.0,43.0,45.0,43.0,40.0,45.0,43.0,45.0,43.0
167,49.0,45.0,45.0,48.0,41.0,43.0,46.0,45.0,44.0
